"Attribute","Type","Value","Default","All","Name","Description"
"adj_stock","cha","y","y","aeo;y;n","Fleet stock adjustement","If ""y"", the total stock is asjusted to match prospective total stocks. If ""aeo"", technology-specific stocks are adjusted to match prospective technology-specific stocks of AEO"
"aeo_scen","cha","REF","REF","REF;LOP;HOP","AEO scenario","Scenario of the Annual Energy Outlook. Potentially influences prospective stock, sales, fuel prices, electricity sources."
"agtp_last_yr","num","2100","2100",NA,"Time horizon for global temperature change","Final year for calculations of global temperature change"
"bat_impro","cha","y","y","y;n","Battery improvement","Prospective battery technology improvements"
"bat_mat_comp_mdl","cha","def","def","low;high","Battery material composition","Model of battery material composition. The ""low"" case refers to the low case of material composition for the considered critical materials and the ""high"" refers to the high case."
"bat_resz_ratio","num","0.5","0.5","0;1","Battery resizing ratio","When weight changes occur, this ratio determines if the weight changes reduce the battery weight to get the same driving range (ratio of 1) or if the battery weight is unchanged to gain driving ranges (ratio of 0)."
"BEV_bat_t","cha","Li_ion LMO","Li_ion LMO","Li_ion LMO;Ni_MH","Battery chemistry for BEV","Battery chemistry for BEV"
"crf_last_yr","num","2100","2100",NA,"Time horizon for radiative forcing","Final year for calculations of radiative forcing"
"discount_rate","num","3","3","2.5;3;5","Economic discount rate","Economic discount rate for the Dynamic Global Warming Impact values"
"ef_bat_mdl","cha","def","def","low;high","Emission factor EV battery","Emission factor for EV battery production"
"ef_elec_adj_coef","num","0","0","0","Coefficient of changes for electricity production EF","In case of linear adjustment of electricity emission factor, annual change (in kg CO2/kWh)"
"ef_elec_adj_mdl","cha","n","n","constant;renewable","Adjustment electricity production EF","Determine the model of adjustments for emissions factors of electricity production."
"ef_elec_mdl","cha","def","def","low;def;high;gcam","Emission factors of electricity production technoogies","Emission factors for electricity production by source. GCAM refers to the use of the emission factors in the GCAM simulation results"
"ef_fuel_prod_mdl","cha","def","def","low;high","Emission factors of fuel production","Emission factors of fuel production"
"ef_prim_mat_mdl","cha","def","def","low;high","Emission factors of primary metal","Emission factors of primary metal"
"elec_methane_leak_rate","cha","def","def","low;high","Methane leakage rate","Rate of methane leakage in electricity production"
"elec_mix_adj_coef","num","0.001","0.001","0.001","Coefficient of changes of renewable sources","Annual increase of renewable sources for electricity production. To be activated, elec_mix_adj_mdl = ""linear"""
"elec_mix_adj_mdl","cha","n","n","n;constant;linear","Electricity mixes adjustments","Adjustment method of electricity mixes. ""constant"" refers to constant sources, ""coal"", ""gas"" or ""renewable"" refer to only coal, natural gas or renewable sources."
"elec_mix_mdl","cha","aeo_us","aeo_us","aeo_us;ascc;frcc;hicc;mro;npcc;rfc;serc;spp;tre;wecc","Electricity mixes","Source of electricity mixes. Can national or regional sources"
"ev_bat_size_mdl","cha","def","def","low;high","EV battery size","Model of EV battery to be considered in the last historical years of the model."
