"Function","Attribute","Value","Type"
"backcasting_procedure_f","s_and_f_ghg",,"External"
"backcasting_procedure_f","s_and_f_metric",,"External"
"backcasting_procedure_f","s_and_f_target_year",,"External"
"backcasting_procedure_f","s_and_f_target_sector",,"External"
"backcasting_procedure_f","s_and_f_attribute_name",,"External"
"backcasting_procedure_f","s_and_f_max_attribute_value",,"External"
"backcasting_procedure_f","s_and_f_cut_off",,"External"
"backcasting_results_f",,,
"battery_density_f","vehicle","","Internal"
"battery_density_f","model_year","","Internal"
"battery_density_f","bat_impro",,"External"
"climate_change_metric_f","emission_matrix","","Internal"
"climate_change_metric_f","ghg",,"Internal"
"climate_change_metric_f","gwp_th",,"External"
"climate_change_metric_f","crf_last_yr",,"External"
"climate_change_metric_f","agtp_last_yr",,"External"
"climate_change_metric_f","discount_rate",,"External"
"climate_change_metric_f","ssp_scen",,"External"
"climate_change_metric_f","ssp_mitigation_scen",,"External"
"climate_change_metric_f","ghg_concentration_scen",,"External"
"ef_elec_gcam_f","ssp_scen",,"External"
"ef_elec_gcam_f","ssp_mitigation_scen",,"External"
"ef_elec_gcam_f","last_yr",,"External"
"ef_elec_own_f","ghg",,"Internal"
"ef_elec_own_f","elec_methane_leak_rate",,"External"
"elec_source_ev_f","aeo_scen",,"External"
"elec_source_ev_f","elec_mix_adj_mdl",,"External"
"elec_source_ev_f","elec_mix_adj_coef",,"External"
"elec_source_ev_f","elec_mix_mdl",,"External"
"elec_source_ev_f","first_yr",,"External"
"elec_source_ev_f","last_yr",,"External"
"elec_source_reg_ev_f","aeo_scen",,"External"
"elec_source_reg_ev_f","first_yr",,"External"
"elec_source_reg_ev_f","last_yr",,"External"
"fleet_battery_flow_f","bat_mat_comp_mdl",,"External"
"fleet_climate_change_metric_f",,,
"fleet_demand_matrix_f","first_yr",,"External"
"fleet_demand_matrix_f","last_yr",,"External"
"fleet_driving_cost_per_vkt_f","aeo_scen",,"External"
"fleet_driving_cost_per_vkt_f","last_yr",,"External"
"fleet_emission_target_f","ghg_budget_mdl",,"External"
"fleet_emission_target_gcam_f","ssp_scen",,"External"
"fleet_emission_target_gcam_f","ssp_mitigation_scen",,"External"
"fleet_emission_target_gcam_f","last_yr",,"External"
"fleet_emission_target_lit_rev_f","last_yr",,"External"
"fleet_env_matrix_f","first_yr",,"External"
"fleet_env_matrix_f","last_yr",,"External"
"fleet_env_matrix_f","ghg",,"Internal"
"fleet_fuel_u_f","first_yr",,"External"
"fleet_fuel_u_f","last_yr",,"External"
"fleet_fuel_u_reg_f","first_yr",,"External"
"fleet_fuel_u_reg_f","last_yr",,"External"
"fleet_gwp_f","gwp_th",,"External"
"fleet_gwp_f","gwp_cc_fb",,"External"
"fleet_i_comp_wgt_f","wgt_scen_GREET",,"External"
"fleet_i_comp_wgt_f","mod_scen_GREET",,"External"
"fleet_i_ev_bat_f","FCV_bat_t",,"External"
"fleet_i_ev_bat_f","BEV_bat_t",,"External"
"fleet_i_ev_bat_f","PHEV_bat_t",,"External"
"fleet_i_ev_bat_f","HEV_bat_t",,"External"
"fleet_i_ev_bat_f","wgt_scen_GREET",,"External"
"fleet_i_ev_bat_f","ev_bat_size_mdl",,"External"
"fleet_i_mat_cont_f","mat_cont_adj",,"External"
"fleet_i_mat_cont_f","rel_mat_cont","n","Internal"
"fleet_initialize_f","first_yr",,"External"
"fleet_initialize_f","last_yr",,"External"
"fleet_lci_f",,,
"fleet_ldv_stock_update_constant_f","fleet","","Internal"
"fleet_ldv_stock_update_constant_f","last_yr",,"External"
"fleet_ldv_stock_update_gcam_f","fleet","","Internal"
"fleet_ldv_stock_update_gcam_f","last_yr",,"External"
"fleet_ldv_stock_update_gcam_f","ssp_scen",,"External"
"fleet_ldv_stock_update_gcam_f","ssp_mitigation_scen",,"External"
"fleet_ldv_stock_update_gcam_f","gcam_stock_adj",,"External"
"fleet_mfa_f","rec_scen",,"External"
"fleet_mfa_f","first_yr",,"External"
"fleet_mfa_f","last_yr",,"External"
"fleet_rebound_vkt_f","first_yr",,"External"
"fleet_rebound_vkt_f","last_yr",,"External"
"fleet_rebound_vkt_f","rebound_effect_mdl",,"External"
"fleet_rebound_vkt_f","rebound_effect_value",,"External"
"fleet_sales_reg_f","aeo_scen",,"External"
"fleet_sales_reg_f","first_yr",,"External"
"fleet_sales_reg_f","last_yr",,"External"
"fleet_technology_market_share_proj_f","market_share_source",,"External"
"fleet_technology_market_share_proj_f","market_share_adj_size",,"External"
"fleet_technology_market_share_proj_f","market_share_adj_size_an_grw",,"External"
"fleet_technology_market_share_proj_f","market_share_adj_size_mdl",,"External"
"fleet_technology_market_share_proj_f","market_share_adj_techno",,"External"
"fleet_technology_market_share_proj_f","market_share_adj_start_yr",,"External"
"fleet_technology_market_share_proj_f","aeo_scen",,"External"
"fleet_technology_market_share_proj_f","last_yr",,"External"
"fleet_vint_stock_f","first_yr",,"External"
"fleet_vint_stock_f","last_yr",,"External"
"fleet_vint_stock_f","ldv_stock_proj",,"External"
"fleet_vint_stock_f","aeo_scen",,"External"
"fleet_vint_stock_initialization_f","fleet","","Internal"
"fleet_vint_stock_initialization_f","survival_rate_mdl",,"External"
"fleet_vint_stock_reg_f","aeo_scen",,"External"
"fleet_vint_stock_reg_f","survival_rate_mdl",,"External"
"fleet_vint_stock_reg_f","first_yr",,"External"
"fleet_vint_stock_reg_f","last_yr",,"External"
"fleet_vint_stock_update_with_sales_f","fleet","","Internal"
"fleet_vint_stock_update_with_sales_f","year","","Internal"
"fleet_vint_stock_update_with_sales_f","survival_rate_mdl",,"External"
"fleet_vint_stock_update_with_sales_f","adj_stock",,"External"
"fleet_vint_stock_update_with_stock_f","fleet","","Internal"
"fleet_vint_stock_update_with_stock_f","year","","Internal"
"fleet_vint_stock_update_with_stock_f","survival_rate_mdl",,"External"
"fleet_vkt_f","first_yr",,"External"
"fleet_vkt_f","last_yr",,"External"
"fleet_vkt_f","vkt_model",,"External"
"fleet_vkt_f","vkt_growth_rate",,"External"
"fleet_vkt_reg_f","first_yr",,"External"
"fleet_vkt_reg_f","last_yr",,"External"
"fleet_vkt_reg_f","vkt_model",,"External"
"fuel_price_f","aeo_scen",,"External"
"fuel_price_f","first_yr",,"External"
"fuel_price_f","last_yr",,"External"
"lca_ef_elec_f","ghg",,"Internal"
"lca_ef_elec_f","first_yr",,"External"
"lca_ef_elec_f","last_yr",,"External"
"lca_ef_elec_f","ef_elec_mdl",,"External"
"lca_ef_elec_f","ef_elec_adj_mdl",,"External"
"lca_ef_elec_f","ef_elec_adj_coef",,"External"
"lca_ef_greet_f","ghg",,"Internal"
"lca_ef_greet_f","ef_prim_mat_mdl",,"External"
"lca_ef_greet_f","ef_fuel_prod_mdl",,"External"
"lca_ef_lit_f","techno","ns","Internal"
"lca_ef_lit_f","ghg",,"Internal"
"lca_ef_lit_f","FCV_bat_t",,"External"
"lca_ef_lit_f","HEV_bat_t",,"External"
"lca_ef_lit_f","BEV_bat_t",,"External"
"lca_ef_lit_f","PHEV_bat_t",,"External"
"lca_ef_lit_f","ef_bat_mdl",,"External"
"rec_rate_f","rec_scen",,"External"
"sub_fac_f","rpd_mat","","Internal"
"sub_fac_f","rpg_mat","","Internal"
