"Function","Type","Description"
"backcasting_procedure_f","Result","Runs a backcasting procedure to balance climate change targets with climate change impacts of the LDV fleet. Perform the backcasting on an unique attribute."
"backcasting_results_f","Result","Runs the backasting procedure to balance climate change target with climate change impacts of the LDV fleet. Then returns the result of some functions with the backcasted value of the attribute."
"battery_density_f","Internal","Return the density of the battery for the specified vehicle"
"climate_change_metric_f","Internal","Calculate alternative climate change metrics of an input matrix of GHG emissions"
"ef_elec_gcam_f","Result","Returns GHG emission factors of electricity production derived from the GCAM model"
"ef_elec_own_f","Internal","Returns GHG emission factors of elecricity production calculated from source specific emission factors and source mixes."
"elec_source_ev_f","Result","Returns electricity mixes by source for the electricity used in EVs."
"elec_source_reg_ev_f","Result","DEPRECIATED. Calculate electricity sources mixes that are weighted by regional deployment of EVs"
"fleet_battery_flow_f","Result","Calculates material flow associated with batteries used by EVs."
"fleet_climate_change_metric_f","Result","Calculate climate change metrics of the U.S. LDV fleet"
"fleet_demand_matrix_f","Result","Creates a matrix of demand by life cycle stage, process and phase. This matrix is multiplied by a matrix of GHG emission factors to obtain the U.S. LDV fleet GHG emissions."
"fleet_driving_cost_per_vkt_f","Result","Calculated driving costs of the U.S. LDVs by vehicle technology, size and model year."
"fleet_emission_target_f","Result","Calculates GHG emission budgets for the US LDV fleet that are consistent with given climate change targets"
"fleet_emission_target_gcam_f","Result","Calculates GHG emission budgets for the US LDV fleet derived from the GCAM model that are consistent with given climate change targets"
"fleet_emission_target_lit_rev_f","Result","Calculates GHG emission budgets for the US LDV fleet derived from a literature review that are consistent with given climate change targets"
"fleet_env_matrix_f","Internal","Creates a matrix of GHG emission factors for the U.S. LDV fleet to calculate fleet life cycle GHG emissions"
"fleet_fuel_u_f","Result","Calculates on-road fuel use by LDVs"
"fleet_fuel_u_reg_f","Result","DEPRECIATED. Calculates on-road fuel use of LDVs by region."
"fleet_gwp_f","Result","Calculate life cycle Global Warming Potential of the U.S. LDV fleet by life cycle processes, stages and GHGs."
"fleet_i_comp_wgt_f","Result","Create the initial weights of components and subscomponents from GREET and EPA assumptions for all vehicle technologies"
"fleet_i_ev_bat_f","Result","Return the initial electric range[miles], battery capacity [kWh], and battery weight[kg] for all technologies with ev batteries"
"fleet_i_mat_cont_f","Internal","Builds the material composition  of the vehicles by size and technology type for all sucomponents"
