"Function","Attributes"
"backcasting_procedure_f","s_and_f_ghg;s_and_f_metric;s_and_f_target_year;s_and_f_target_sector;s_and_f_attribute_name;s_and_f_max_attribute_value;s_and_f_cut_off"
"backcasting_results_f",""
"battery_density_f","bat_impro"
"climate_change_metric_f","gwp_th;crf_last_yr;agtp_last_yr;discount_rate;ssp_scen;ssp_mitigation_scen;ghg_concentration_scen"
"ef_elec_gcam_f","ssp_scen;ssp_mitigation_scen;last_yr"
"ef_elec_own_f","elec_methane_leak_rate"
"elec_source_ev_f","aeo_scen;elec_mix_adj_mdl;elec_mix_adj_coef;elec_mix_mdl;first_yr;last_yr"
"elec_source_reg_ev_f","aeo_scen;first_yr;last_yr"
"fleet_battery_flow_f","bat_mat_comp_mdl"
"fleet_climate_change_metric_f",""
"fleet_demand_matrix_f","first_yr;last_yr"
"fleet_driving_cost_per_vkt_f","aeo_scen;last_yr"
"fleet_emission_target_f","ghg_budget_mdl"
"fleet_emission_target_gcam_f","ssp_scen;ssp_mitigation_scen;last_yr"
"fleet_emission_target_lit_rev_f","last_yr"
"fleet_env_matrix_f","first_yr;last_yr"
"fleet_fuel_u_f","first_yr;last_yr"
"fleet_fuel_u_reg_f","first_yr;last_yr"
"fleet_gwp_f","gwp_th;gwp_cc_fb"
"fleet_i_comp_wgt_f","wgt_scen_GREET;mod_scen_GREET"
"fleet_i_ev_bat_f","FCV_bat_t;BEV_bat_t;PHEV_bat_t;HEV_bat_t;wgt_scen_GREET;ev_bat_size_mdl"
"fleet_i_mat_cont_f","mat_cont_adj"
"fleet_initialize_f","first_yr;last_yr"
"fleet_lci_f",""
"fleet_ldv_stock_update_constant_f","last_yr"
"fleet_ldv_stock_update_gcam_f","last_yr;ssp_scen;ssp_mitigation_scen;gcam_stock_adj"
"fleet_mfa_f","rec_scen;first_yr;last_yr"
"fleet_rebound_vkt_f","first_yr;last_yr;rebound_effect_mdl;rebound_effect_value"
"fleet_sales_reg_f","aeo_scen;first_yr;last_yr"
"fleet_technology_market_share_proj_f","market_share_source;market_share_adj_size;market_share_adj_size_an_grw;market_share_adj_size_mdl;market_share_adj_techno;market_share_adj_start_yr;aeo_scen;last_yr"
"fleet_vint_stock_f","first_yr;last_yr;ldv_stock_proj;aeo_scen"
"fleet_vint_stock_initialization_f","survival_rate_mdl"
"fleet_vint_stock_reg_f","aeo_scen;survival_rate_mdl;first_yr;last_yr"
"fleet_vint_stock_update_with_sales_f","survival_rate_mdl;adj_stock"
"fleet_vint_stock_update_with_stock_f","survival_rate_mdl"
"fleet_vkt_f","first_yr;last_yr;vkt_model;vkt_growth_rate"
"fleet_vkt_reg_f","first_yr;last_yr;vkt_model"
"fuel_price_f","aeo_scen;first_yr;last_yr"
"lca_ef_elec_f","first_yr;last_yr;ef_elec_mdl;ef_elec_adj_mdl;ef_elec_adj_coef"
"lca_ef_greet_f","ef_prim_mat_mdl;ef_fuel_prod_mdl"
"lca_ef_lit_f","FCV_bat_t;HEV_bat_t;BEV_bat_t;PHEV_bat_t;ef_bat_mdl"
"rec_rate_f","rec_scen"
"sub_fac_f","sub_fac_fun"
"survival_rate_f","survival_rate_mdl"
"technology_market_share_diffusion_f","last_yr;market_share_diffusion_mdl;market_share_linear_diff_coef;market_share_bass_innovation_coef;market_share_bass_imitation_coef;market_share_market_potential"
"vehicle_climate_change_metric_f",""
"vehicle_fc_changes_efficiency_f","fc_impro;fc_dr_city"
"vehicle_fc_changes_weight_f",""
"vehicle_frv_f","fc_impro;fc_dr_city;frv_pwt_r"
"vehicle_hist_fc_f","first_yr;last_yr;fc_ev_mdl;fc_conv_mdl"
"vehicle_hist_material_composition_f","first_yr;last_yr"
"vehicle_initialize_f","first_yr;last_yr;BEV_bat_t;PHEV_bat_t;HEV_bat_t"
"vehicle_lca_demand_matrix_f","lca_veh_lifetime_mdl;first_yr;last_yr"
"vehicle_lci_f","vh_lca_yrs"
"vehicle_module_f","last_yr"
"vehicle_peak_power_f","HEV_bat_t"
"vehicle_specifications_f","fc_impro;first_yr;last_yr"
"vehicle_utility_factor_f",""
"vehicle_weight_changes_battery_f","bat_resz_ratio"
"vehicle_weight_changes_f","sms_cutoff"
"vehicle_weight_changes_powertrain_f","pwtr_resz_ratio"
"vehicle_weight_changes_secondary_f","sms_coef_rand;sms_ratio"
"vehicle_wgt_changes_feature_f","feature_wgt"
"vehicle_wgt_changes_lightweighting_f","lw_scen;lw_first_yr;lw_period"
