"Function","Input","Type"
"backcasting_procedure_f","fleet_emission_target_f",".R"
"backcasting_procedure_f","fleet_climate_change_metric_f",".R"
"backcasting_procedure_f","fleet_climate_change_metric_f",".R"
"backcasting_procedure_f","fleet_climate_change_metric_f",".R"
"backcasting_procedure_f","climate_change_metric_f",".R"
"backcasting_results_f","backcasting_procedure_f",".R"
"battery_density_f","greet_battery","Input"
"climate_change_metric_f","ssp_diagnostic_dt","Input"
"climate_change_metric_f","rcp_concentration_dt","Input"
"climate_change_metric_f","dgwi_dt","Input"
"ef_elec_gcam_f","gcam_ef_elec","Input"
"ef_elec_own_f","elec_source_ev_f",".R"
"ef_elec_own_f","EF_elec_GREET","Input"
"ef_elec_own_f","ef_us_elec","Input"
"ef_elec_own_f","model_matching_electricity","Input"
"ef_elec_own_f","conversion_units","Input"
"ef_elec_own_f","fuel_specs","Input"
"elec_source_ev_f","elec_source_reg_ev_f",".R"
"elec_source_ev_f","us_elec_mix_hist","Input"
"elec_source_ev_f","us_elec_mix_proj","Input"
"elec_source_reg_ev_f","fleet_fuel_u_reg_f",".R"
"elec_source_reg_ev_f","us_elec_mix_reg_hist","Input"
"elec_source_reg_ev_f","us_elec_mix_reg_proj","Input"
"fleet_battery_flow_f","fleet_vint_stock_f",".R"
"fleet_battery_flow_f","vehicle_module_f",".R"
"fleet_battery_flow_f","battery_material_composition","Input"
"fleet_climate_change_metric_f","fleet_lci_f",".R"
"fleet_climate_change_metric_f","climate_change_metric_f",".R"
"fleet_demand_matrix_f","fleet_vint_stock_f",".R"
"fleet_demand_matrix_f","vehicle_module_f",".R"
"fleet_demand_matrix_f","fleet_fuel_u_f",".R"
"fleet_demand_matrix_f","fleet_mfa_f",".R"
"fleet_demand_matrix_f","lca_process","Input"
"fleet_driving_cost_per_vkt_f","fuel_price_f",".R"
"fleet_driving_cost_per_vkt_f","vehicle_module_f",".R"
"fleet_emission_target_f","fleet_emission_target_gcam_f",".R"
"fleet_emission_target_f","fleet_emission_target_lit_rev_f",".R"
"fleet_emission_target_gcam_f","gcam_ldv_emissions","Input"
"fleet_emission_target_lit_rev_f","lit_rev_ldv_co2_budget","Input"
"fleet_env_matrix_f","lca_process","Input"
"fleet_env_matrix_f","lca_ef_elec_f",".R"
"fleet_env_matrix_f","lca_ef_greet_f",".R"
"fleet_env_matrix_f","lca_ef_lit_f",".R"
"fleet_fuel_u_f","vehicle_module_f",".R"
"fleet_fuel_u_f","fleet_vkt_f",".R"
"fleet_fuel_u_f","model_matching_technology","Input"
"fleet_fuel_u_reg_f","vehicle_module_f",".R"
"fleet_fuel_u_reg_f","fleet_vkt_reg_f",".R"
"fleet_fuel_u_reg_f","model_matching_technology","Input"
"fleet_gwp_f","fleet_lci_f",".R"
"fleet_gwp_f","ipcc_gwp","Input"
"fleet_i_comp_wgt_f","fleet_i_ev_bat_f",".R"
"fleet_i_comp_wgt_f","model_matching_technology","Input"
"fleet_i_comp_wgt_f","model_matching_component","Input"
"fleet_i_comp_wgt_f","greet_rel_cpt_wgt_2017","Input"
"fleet_i_comp_wgt_f","greet_wgt_2017","Input"
"fleet_i_comp_wgt_f","epa_fleet_wgt_hist","Input"
"fleet_i_comp_wgt_f","conversion_units","Input"
"fleet_i_comp_wgt_f","c2g_rel_subcpt_wgt","Input"
"fleet_i_comp_wgt_f","greet_battery","Input"
"fleet_i_ev_bat_f","model_matching_technology","Input"
"fleet_i_ev_bat_f","c2g_rel_subcpt_wgt","Input"
"fleet_i_ev_bat_f","ev_bat_size","Input"
"fleet_i_ev_bat_f","greet_battery_size","Input"
"fleet_i_ev_bat_f","greet_battery","Input"
"fleet_i_ev_bat_f","conversion_units","Input"
"fleet_i_mat_cont_f","fleet_i_comp_wgt_f",".R"
"fleet_i_mat_cont_f","component_material_comp_acsm","Input"
"fleet_i_mat_cont_f","component_material_comp_adj","Input"
"fleet_i_mat_cont_f","model_matching_material","Input"
"fleet_i_mat_cont_f","model_matching_technology","Input"
"fleet_i_mat_cont_f","model_matching_component","Input"
"fleet_initialize_f","model_matching_technology","Input"
"fleet_initialize_f","fleet_stock_hist","Input"
"fleet_initialize_f","fleet_sales_hist","Input"
"fleet_lci_f","fleet_demand_matrix_f",".R"
"fleet_lci_f","lca_process","Input"
"fleet_lci_f","fleet_env_matrix_f",".R"
"fleet_ldv_stock_update_gcam_f","gcam_ldv_on_road_stock","Input"
"fleet_mfa_f","fleet_vint_stock_f",".R"
"fleet_mfa_f","vehicle_module_f",".R"
"fleet_mfa_f","model_matching_material","Input"
"fleet_mfa_f","model_matching_technology","Input"
"fleet_mfa_f","new_scrap_rate","Input"
"fleet_mfa_f","prim_sec_share","Input"
"fleet_mfa_f","rec_rate_f",".R"
"fleet_rebound_vkt_f","fleet_driving_cost_per_vkt_f",".R"
"fleet_sales_reg_f","fleet_sales_reg_hist_aeo_14-19","Input"
"fleet_sales_reg_f","fleet_sales_reg_proj_aeo","Input"
"fleet_technology_market_share_proj_f","fleet_sales_proj_aeo","Input"
"fleet_technology_market_share_proj_f","bnef_ev","Input"
"fleet_technology_market_share_proj_f","wsj_ihs_ms","Input"
"fleet_technology_market_share_proj_f","technology_market_share_diffusion_f",".R"
"fleet_vint_stock_f","fleet_technology_market_share_proj_f",".R"
"fleet_vint_stock_f","fleet_technology_market_share_proj_f",".R"
"fleet_vint_stock_f","fleet_technology_market_share_proj_f",".R"
"fleet_vint_stock_f","fleet_stock_proj_aeo","Input"
"fleet_vint_stock_f","fleet_sales_proj_aeo","Input"
"fleet_vint_stock_f","fleet_initialize_f",".R"
"fleet_vint_stock_f","fleet_vint_stock_initialization_f",".R"
"fleet_vint_stock_f","fleet_vint_stock_update_with_sales_f",".R"
"fleet_vint_stock_f","fleet_ldv_stock_update_gcam_f",".R"
