Data,Unit,LCI,Paint Production,Vehicle Assembly - Painting,Vehicle Assembly - HVAC & Lighting,Vehicle Assembly - Heating,Vehicle Assembly - Material Handling,Vehicle Assembly - Welding,Vehicle Assembly - Compressed Air,Vehicle Disposal,Battery Assembly: Lead-Acid,Battery Assembly: Ni_MH,Battery Assembly: Li_ion
Functional Unit,,,per vehicle,per vehicle,per vehicle,per vehicle,per vehicle,per vehicle,per vehicle,per vehicle,per ton,per ton,per kWh
Inventory: Energy,mmBtu,Total energy,0.517741449,3.360031677,1.785937404,3.283717681,0.369815321,0.492485769,0.737826665,2.699167478,3.146958216,3.146958216,0.197204393
Inventory: Energy,mmBtu,Fossil Fuels,0.368691534,3.119992237,1.271793095,3.280884858,0.263351095,0.350706581,0.525417551,1.922118073,2.691702415,2.691702415,0.182362413
Inventory: Energy,mmBtu,Coal,0.128490843,0.206907297,0.443226254,0.002412909,0.091779174,0.122222997,0.183110644,0.669867761,0.392446532,0.392446532,0.012793466
Inventory: Energy,mmBtu,Natural Gas,0.235646616,2.896425363,0.812857666,3.266300087,0.168319012,0.224151659,0.335816955,1.22850833,2.279566764,2.279566764,0.16857781
Inventory: Energy,mmBtu,Petroleum,0.004554074,0.016659577,0.015709175,0.012171862,0.00325291,0.004331924,0.006489952,0.023741983,0.019689119,0.019689119,0.000991136
Inventory: Energy,Gal,Water consumption,42.75284211,75.55768804,147.4749606,9.502967683,30.53774437,40.66733762,60.92652413,222.8855371,134.7394096,134.7394096,13.24383162
Inventory: Total Emissions,g,VOC,3.549360101,1635.160753,12.24343728,38.22638146,2.535257215,3.376220584,5.058147321,18.50405712,29.08880575,29.08880575,2.051059691
Inventory: Total Emissions,g,CO,13.62100126,167.2153199,46.98533537,159.4399764,9.729286618,12.95656218,19.4111133,71.01104939,117.724586,117.724586,8.4380323
Inventory: Total Emissions,g,NOx ,19.67107344,225.3020759,67.85492231,216.6331403,14.05076674,18.71150888,28.03299316,102.5521942,163.4987644,163.4987644,11.57979077
Inventory: Total Emissions,g,PM10,3.045407276,73.8888515,10.50506342,11.70117282,2.175290911,2.896850823,4.339970647,15.87677457,14.86969777,14.86969777,0.821243113
Inventory: Total Emissions,g,PM2.5,1.752134081,41.73137772,6.04394683,11.57977928,1.251524344,1.666664126,2.496943691,9.134488527,10.87324717,10.87324717,0.688155454
Inventory: Total Emissions,g,SOx,18.74367439,56.06769165,64.65588031,33.89774184,13.38833885,17.82934881,26.71136873,97.71733827,73.29002633,73.29002633,3.358646625
Inventory: Total Emissions,g,BC,0.0973004,1.712188805,0.335635526,2.017694253,0.069500286,0.092554039,0.138661546,0.507261058,1.26117507,1.26117507,0.099370347
Inventory: Total Emissions,g,OC,0.505832404,4.589999635,1.744857423,4.902329565,0.36130886,0.481157653,0.720855238,2.637081457,3.884715975,3.884715975,0.268037823
Inventory: Total Emissions,g,CH4,49.18351615,430.5693031,169.6574251,456.2828477,35.13108297,46.78432024,70.0907948,256.4108928,367.9739939,367.9739939,25.15520381
Inventory: Total Emissions,g,N2O,0.534461433,5.8450045,1.843612607,6.469552089,0.381758166,0.508390143,0.761654097,2.786334606,4.72134965,4.72134965,0.340587424
Inventory: Total Emissions,g,CO2,27383.47094,194564.5115,94458.66283,195515.5654,19559.6221,26047.69187,39023.83141,142759.6232,176886.8208,176886.8208,11401.76471
Inventory: Total Emissions,g,"CO2 (VOC, CO, CO2)",27415.93755,199923.5294,94570.65564,195885.2528,19582.81253,26078.57474,39070.09915,142928.8829,177162.4766,177162.4766,11421.41695
Inventory: Total Emissions,g,GHGs,29033.07531,214389.5347,100148.9357,211288.1695,20737.91094,27616.82773,41374.66133,151359.5884,189452.8541,189452.8541,12266.32873
Inventory: Urban Emissions,g,VOC,0.23834336,1.756500521,0.822160023,1.783431815,0.170245257,0.226716855,0.33966005,1.2425674,1.578667761,1.578667761,0.10287383
Inventory: Urban Emissions,g,CO,2.460318517,10.54750115,8.486813003,8.580945055,1.757370369,2.34030298,3.5061682,12.82650198,11.59582835,11.59582835,0.624662787
Inventory: Urban Emissions,g,NOx,4.982278757,15.78285714,17.18625773,10.15010943,3.558770541,4.739240769,7.100181226,25.97436386,20.0263226,20.0263226,0.943469625
Inventory: Urban Emissions,g,PM10,0.580449232,0.957984285,2.00224648,0.041087749,0.414606594,0.552134635,0.827190717,3.026085108,1.787288088,1.787288088,0.059136666
Inventory: Urban Emissions,g,PM2.5,0.486835085,0.805934471,1.679326598,0.037639793,0.347739346,0.463087032,0.693782403,2.538041776,1.500556462,1.500556462,0.049740588
Inventory: Urban Emissions,g,SOx,4.789652015,7.973649675,16.52179615,0.428096672,3.421180011,4.556010453,6.825671339,24.97013319,14.79062584,14.79062584,0.491935798
Inventory: Urban Emissions,g,BC,0.022827562,0.041452729,0.078743159,0.006511593,0.016305402,0.021714023,0.032531265,0.119008076,0.072630549,0.072630549,0.002543494
Inventory: Urban Emissions,g,OC,0.147257688,0.245209756,0.50796206,0.013239793,0.105184063,0.140074386,0.209855033,0.767705895,0.454774576,0.454774576,0.015128018
