Emission type,Unit,Fuel,Technology,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC,CH4,N2O,CO2 ,CO2 (w/ C in VOC & CO),Notes
Direct Combustion,g/kWh,Petroleum,Oil-Fired Boiler,0.0204,0.158,4.2264,0.1694,0.1315,3.6037,0.0083371,0.005786,0.031,0.0062,829.0577714,,
Direct Combustion,g/kWh,Petroleum,Oil-Fired Internal Combustion Engine,0.0114,0.0301,4.532,0.0081,0.0124,0.1086,0.00186,0.004836,0.0284,0.0056,763.8106766,,
Direct Combustion,g/kWh,Petroleum,Oil-Fired Gas Turbine,0.0028,0.0166,2.7341,0.17,0.0701,0.4336,0.004206,0.002804,0.0322,0.0064,907.0929204,,
Direct Combustion,g/kWh,Natural Gas,NG-Fired Boiler Power Plant,0.0304,0.458,0.822,0.0405,0.0405,0.1658,0.0066825,0.017334,0.0105,0.001,595.4051558,,
Direct Combustion,g/kWh,Natural Gas,NG-Fired Simple Cycle Power Plant,0.0106,0.4143,0.3208,0.0359,0.0359,0.016,0.0010411,0.024412,0.0106,0.001,595.5352622,,
Direct Combustion,g/kWh,Natural Gas,NG-Fired Combined Cycle Power Plant,0.0017,0.0902,0.1081,0.0008,0.0008,0.0038,0.0000232,0.000544,0.0071,0.0007,368.4234105,,
Direct Combustion,g/kWh,Natural Gas,NG-Fired Internal Combustion Engine,1.071,3.6839,2.9741,0.4551,0.4551,0.0059,0.09102,0.1947828,0.0106,0.0011,587.092406,,
Direct Combustion,g/kWh,Coal,Coal-Fired Boiler Power Plant,0.0086,0.056,0.3619,0.0614,0.0432,2.3641,0.0018576,0.0034992,0.01,0.015,948.0932416,,
Direct Combustion,g/kWh,Coal,Coal-Fired IGCC Power Plant,0.0009,0.0151,0.235,0.0284,0.00827,0.00491,0.00035561,0.00066987,0.009,0.0135,875.2430656,,
Direct Combustion,g/kWh,Biomass,Biomass-Fired Boiler Power Plants: Willow,0.1343,4.733,0.9225,2.0938,0.6103,0.913886378,0.0842214,0.1989578,0.4905,0.0654,1622.691427,-1631.896442,
Direct Combustion,g/kWh,Biomass,Biomass-Fired Boiler Power Plants: Poplar,0.1343,4.733,0.9225,2.0938,0.6103,0.353322736,0.0842214,0.1989578,0.4905,0.0654,1613.429652,-1622.634667,
Direct Combustion,g/kWh,Biomass,Biomass-Fired Boiler Power Plants: Switchgrass,0.1343,4.733,0.9225,2.0938,0.6103,2.142619802,0.0842214,0.1989578,0.4905,0.0654,1654.896365,-1664.10138,
Direct Combustion,g/kWh,Biomass,Biomass-Fired Boiler Power Plants: Miscanthus,0.1343,4.733,0.9225,2.0938,0.6103,1.467364847,0.0842214,0.1989578,0.4905,0.0654,1591.445472,-1600.650487,
Direct Combustion,g/kWh,Biomass,Biomass-Fired Boiler Power Plants: Forest Residue,0.1343,4.733,0.9225,2.0938,0.6103,0.651058808,0.0842214,0.1989578,0.4905,0.0654,1491.756813,-1500.961828,
Direct Combustion,g/kWh,Biomass,Biomass IGCC Power Plants: Willow,0.07,0.071,0.078,0.024,0.012,0.502637508,0.001656,0.003912,0.030423608,0.087287343,897.1296401,-897.5430431,
Direct Combustion,g/kWh,Biomass,Biomass IGCC Power Plants: Poplar,0.07,0.071,0.078,0.024,0.012,0.194327505,0.001656,0.003912,0.030423608,0.087287343,892.0356639,-892.449067,
Direct Combustion,g/kWh,Biomass,Biomass IGCC Power Plants: Switchgrass,0.07,0.071,0.078,0.024,0.012,1.178440891,0.001656,0.003912,0.030423608,0.087287343,914.8423557,-915.2557588,
Direct Combustion,g/kWh,Biomass,Biomass IGCC Power Plants: Miscanthus,0.07,0.071,0.078,0.024,0.012,0.807050666,0.001656,0.003912,0.030423608,0.087287343,879.9443647,-880.3577677,
Direct Combustion,g/kWh,Biomass,Biomass IGCC Power Plants: Forest Residue,0.07,0.071,0.078,0.024,0.012,0.358082345,0.001656,0.003912,0.030423608,0.087287343,825.1156023,-825.5290053,
Direct Combustion,g/kWh,Petroleum,Oil-Fired Power Plant,0.0167828,0.1263818,3.968859,0.1620894,0.1148466,2.8659672,0.007287293,0.005199576,0.0310988,0.0062088,840.2588022,,
Direct Combustion,g/kWh,Natural Gas,NG-Fired Power Plant,0.0143922,0.1746798,0.2096919,0.0105234,0.0105234,0.0188191,0.001490282,0.005225617,0.0076442,0.0007483,404.219648,,
