Data,Unit,LCI,Baseline Gasoline,CA Gasoline,"Low-Level EtOH Blend with Gasoline (E10, Corn)",Baseline Conventional and LS Diesel,"Compressed Natural Gas, NA NG","Liquefied Natural Gas, NA NG","Liquefied Petroleum Gas, Crude and NG Mix","Naphtha, NA NG","M85 for MeOH FFV, NA NG","M90 for Dedi. MeOH Vehicles, NA NG",MeOH for FCV: NA NG,"E85 for FFV, Corn","BtOH for FFV: BtOH100, Corn","E85 for Dedi. EtOH Vehicle, Corn","EtOH for FCV, Corn",Soybean-based RG100,Forest Residue-based Pyrolysis RG100,Grid-Connected SI PHEV: Gasoline and Electricity (U.S. Mix),Grid-Connected SI PHEV: CA gasoline and Electricity (U.S. Mix),"Grid-Connected SI PHEV: Low-Level EtOH Blend with Gasoline (E10, Corn) and Electricity (U.S. Mix)",Grid-Connected SI PHEV: CNG (NA NG) and Electricity (U.S. Mix),Grid-Connected SI PHEV: LNG (NA NG) and Electricity (U.S. Mix),Grid-Connected SI PHEV: LPG (Crude and NG Mix) and Electricity (U.S. Mix),Grid-Connected SI PHEV: M90 (NA NG) and Electricity (U.S. Mix),Grid-Connected SI PHEV: LPG (NA NG) and Electricity (U.S. Mix),"Grid-Connected SI PHEV: G.H2 (Central Plants, NA NG) and Electricity (U.S. Mix)","Grid-Connected SI PHEV: L.H2 (Central Plants, NA NG) and Electricity (U.S. Mix)",DME: NA NG,FTD100: NA NG,Soybean-based BD20,Soybean-based RDII 100,Forest Residue-based RDII 100,"E-Diesel, Corn",Grid-Connected CIDI PHEV: Diesel and Electricity (U.S. Mix),Grid-Connected CIDI PHEV: DME (NA NG) and Electricity (U.S. Mix),Grid-Connected CIDI PHEV: FTD100 (NA NG) and Electricity (U.S. Mix),Grid-Connected CIDI PHEV: BD20 (Soybean) and Electricity (U.S. Mix),Grid-Connected CIDI PHEV: E-Diesel (Corn) and Electricity (U.S. Mix),Electricity  (U.S. Mix),"FCV: G.H2, Central Plants, NA NG","FCV: L.H2, Central Plants, NA NG","Grid-Connected FC PHEV: G.H2 (Central Plants, NA NG) and Electricity (U.S. Mix)","Grid-Connected FC PHEV: L.H2 (Central Plants, NA NG) and Electricity (U.S. Mix)",Blended feedstock-based RG100 via Indirect Liquefaction (IDL),Low Octane Gasoline-Like Fuel,Co-Optima: Isobutanol,Co-Optima: ARHC
WTP,Btu per mmBtu,Total Energy ,260166.6315,248887.9171,260166.6315,179928.5711,148192.3951,187629.8427,138230.5306,731939.9742,442121.5208,465494.9271,519448.506,617878.0113,694425.2859,617878.0113,738038.4586,430036.1642,937340.9713,524408.5037,517391.5834,524408.5037,454745.0421,479280.5889,448547.3846,597173.4904,708936.3474,684692.8774,979116.0678,613291.7246,650536.3101,240478.7677,470945.257,928919.6824,216363.6854,474691.7739,744191.051,767352.6622,512346.6462,497349.9923,959475.0697,563885.955,987751.1562,761880.2173,973598.8384,1500979.509,189360.1658,300326.6263,268759.858
WTP,,WTP Efficiency,0.793545849,0.800712367,0.793545849,0.847508929,0.870934178,0.842013196,0.878556648,0.577387216,0.69342284,0.682363331,0.658133524,0.618093573,0.590170607,0.618093573,0.575361261,0.699283015,0.516171399,0.655992142,0.659025667,0.655992142,0.687405677,0.676004274,0.690346764,0.626106059,0.585159302,0.593580001,0.505276076,0.619850697,0.605863678,0.80614036,0.679834953,0.518424903,0.822122538,0.678107804,0.573331688,0.565818029,0.661224067,0.667846532,0.510340762,0.639432816,0.503081081,0.567575474,0.506688584,0.39984334,0.840788206,0.769037548,0.788171216
WTP,Btu per mmBtu,Fossil Fuels,240707.129,230570.8726,240707.129,174191.3224,137836.4847,186255.018,135078.8472,756060.4657,426609.7317,449003.8144,500696.7894,461982.1555,659699.7808,461982.1555,536574.1745,119725.7231,338180.1343,435330.9756,429024.8222,435330.9756,371331.2074,401454.2316,369615.5754,530778.3353,540297.0853,582874.4517,817388.6371,593871.9954,649514.9921,184465.3495,224827.8685,377284.1229,198394.0956,394099.976,655090.4111,689693.6008,400489.1737,409151.1631,755773.485,506860.064,844477.4992,631442.4332,800080.7117,178497.1171,183224.1445,258988.0988,259277.1016
WTP,Btu per mmBtu,Coal,13484.3525,11887.20119,13484.3525,8933.43681,15758.51912,2199.388116,4981.182492,-38632.60257,24771.43655,26360.39974,30028.25411,49193.48753,20381.01903,49193.48753,61124.38527,23093.5753,31600.76021,131662.6258,130668.9768,131662.6258,133077.4719,124641.8172,126372.478,106298.1839,123044.7351,163067.2269,259014.1074,31099.0597,1633.637379,11352.13257,20530.0869,30354.9868,12448.23823,128913.7283,142698.0552,124374.1392,130417.8635,131099.5082,326239.7195,91329.07502,229458.6285,208902.987,277898.0319,22933.19158,9573.428775,14640.40796,14553.9245
WTP,Btu per mmBtu,Natural Gas,155121.4428,159608.1274,155121.4428,118303.2629,117422.8832,173820.9832,107393.103,787036.4949,370258.1147,395653.8447,454275.6179,361299.9933,594823.5634,361299.9933,430226.4224,54533.31177,249228.0673,253679.1679,256470.5062,253679.1679,230225.4499,265312.8682,223985.5395,401064.5463,375868.2812,409752.8903,540995.3881,550213.9874,639353.9695,127279.3669,162653.48,291465.5142,139409.0335,230850.4644,499446.507,554880.7554,236432.5116,243975.6918,415951.599,407027.6521,595970.4037,411494.1306,505870.1226,49104.55126,132145.7801,163848.325,148695.4258
WTP,Btu per mmBtu,Petroleum,7.21E+04,5.91E+04,7.21E+04,4.70E+04,4.66E+03,10234.64667,22704.56169,7.66E+03,3.16E+04,2.70E+04,1.64E+04,5.15E+04,4.45E+04,5.15E+04,4.52E+04,42098.83607,57351.30677,5.00E+04,41885.33925,49989.18194,8.03E+03,1.15E+04,1.93E+04,2.34E+04,4.14E+04,10054.33451,1.74E+04,1.26E+04,8.53E+03,4.58E+04,41644.30159,55463.62191,46536.82386,34335.78326,12945.84896,10438.70614,33638.79868,34075.96312,13582.16647,8503.336911,19048.4669,11045.31563,16312.55714,106459.3743,41504.93558,80499.36588,96027.75128
WTP,Gal per mmBtu,Water consumption,47.96793813,50.42757753,47.96793813,22.7774605,7.123987565,3.830935313,9.294690707,-5.391884863,15.91602031,14.72398783,11.97238126,268.6575535,408.0311321,268.6575535,342.3737361,657.3125464,12.27670813,97.0817143,98.61195018,97.0817143,71.67112815,69.6223942,73.02160572,58.23354218,244.4769231,88.32489122,114.1777704,12.42836718,31.03235329,134.698036,627.265009,9.799104314,42.34338457,81.45004914,75.01416934,86.58359042,151.0510614,93.61767888,177.94612,48.92326651,86.14226349,113.4998277,132.090537,32.54892957,21.5128606,29.26532276,24.83832025
WTP,g per mmBtu,CO2,13723.35963,13199.29809,13723.35963,12860.26693,9087.21781,11413.87537,9938.706893,29969.05144,18467.39294,18629.28479,19002.98492,-20393.7429,-30813.48334,-20393.7429,-31733.91029,-65968.40133,-52320.60004,53803.80006,53477.76129,53803.80006,50919.47864,52366.98143,51449.22262,45596.69812,16975.90278,101793.05,119849.393,26793.5087,22377.65814,955.8709185,-61509.50981,-51785.69887,10224.62392,53294.60702,61959.39209,59213.26907,45891.51773,51655.55699,119795.0808,93878.52715,119873.2711,106849.8874,119834.1365,-59365.65417,12837.21592,6408.580622,3657.383538
WTP,g per mmBtu,CH4,105.9454361,105.1633213,105.9454361,103.2855319,190.2228348,236.0675516,108.0440419,158.9835027,137.0894533,140.2042368,147.3941908,81.25954389,89.9383976,81.25954389,73.08900092,14.97112293,46.90142205,145.4768218,144.9902382,145.4768218,197.9090197,226.4307741,146.7824448,158.95982,115.7278083,171.3956927,202.9079204,156.5802452,153.1726989,88.93082274,25.04436272,49.77685824,100.9437577,143.8498527,176.9926951,174.873615,134.9229661,142.3935535,210.5640998,154.1754547,199.5419109,182.3982439,205.0585697,21.08908265,105.1288928,41.12122832,39.08674088
WTP,g per mmBtu,N2O,2.326456998,2.341576739,2.326456998,0.219690173,1.61597318,0.173920448,0.186010875,0.087091432,0.322427264,0.326436444,0.335690963,23.74528029,30.64880715,23.74528029,30.89863428,23.55850447,0.443198704,2.363262427,2.372668997,2.363262427,1.921243229,1.024086988,1.031608905,0.885539724,18.06170406,1.365963012,1.722729396,0.450440637,0.209300012,4.342956328,22.47152282,0.47304523,2.11150335,1.05313449,1.196633268,1.046673071,3.61730553,2.229612646,2.423861497,0.900862057,1.414479394,1.663130631,1.919680011,1.949380643,0.252042678,-1.124400658,0.850765954
