Reference,GHG,Functional Unit,Technology,Phase,Process,Battery type,LCI,Modele
Notter et al,CO2,kWh,NA,Battery production and assembly,Battery production,Li_ion LMO,53,
Notter et al,CO2,kg,NA,Battery production and assembly,Battery production,Li_ion LMO,6.042,
Majeau-Bettez et al,CO2,kWh,NA,Battery production and assembly,Battery production,Li_ion NMC,196,
Majeau-Bettez et al,CO2,kg,NA,Battery production and assembly,Battery production,Li_ion NMC,21.952,
Dunn et al,CO2,kWh,NA,Battery production and assembly,Battery production,Li_ion LMO,39,
Dunn et al,CO2,kg,NA,Battery production and assembly,Battery production,Li_ion LMO,5.07,
EPA,CO2,kWh,NA,Battery production and assembly,Battery production,Li_ion LMO,63.4,
EPA,CO2,kg,NA,Battery production and assembly,Battery production,Li_ion LMO,5.072,
EPA,CO2,kWh,NA,Battery production and assembly,Battery production,Li_ion NMC,121,
EPA,CO2,kg,NA,Battery production and assembly,Battery production,Li_ion NMC,12.1,
Elligsen et al,CO2,kWh,NA,Battery production and assembly,Battery production,Li_ion NMC,172,
Elligsen et al,CO2,kg,NA,Battery production and assembly,Battery production,Li_ion NMC,18.92,
ecoInvent,CO2,kg,NA,Battery production and assembly,Battery production,Li_ion LMO,6.35,
ecoInvent,CO2,kg,NA,Battery production and assembly,Battery production,Ni_MH,21.93050522,
Kim et al,CO2,kWh,NA,Battery production and assembly,Battery production,Li_ion LMO,140,
Kim et al,CO2,kg,NA,Battery production and assembly,Battery production,Li_ion LMO,11.2,def
GREET,CO2,kg,NA,Battery production and assembly,Battery production,Ni_MH,5.145264667,
GREET,CO2,kg,HEV,Battery production and assembly,Battery production,Li_ion LMO,6.966285855,
GREET,CO2,kg,PHEV,Battery production and assembly,Battery production,Li_ion LMO,5.044297625,
GREET,CO2,kg,BEV,Battery production and assembly,Battery production,Li_ion LMO,4.58115549,
GREET,CO2,kg,FCV,Battery production and assembly,Battery production,Li_ion LMO,6.966285855,
Kim et al,CO2,kg,NA,Battery production and assembly,Battery Assembly,NA,0,def
GREET,CO2,kg,NA,Battery production and assembly,Battery Assembly,Li_ion LMO,1.71,
GREET,CO2,kg,NA,Battery production and assembly,Battery Assembly,Ni_MH,0.24,
UCSB,CO2,kg,NA,Primary Material Production,Mild steel and other steels,NA,2.08,def
UCSB,CO2,kg,NA,Manufacturing,Mild steel and other steels,NA,0.42,def
UCSB,CO2,kg,NA,Secondary Material Production,Mild steel and other steels,NA,0.48,def
GREET,CO2,kg,NA,Primary Material Production,Mild steel and other steels,NA,3.21,
GREET,CO2,kg,NA,Manufacturing,Mild steel and other steels,NA,0.15,
GREET,CO2,kg,NA,Secondary Material Production,Mild steel and other steels,NA,1.51,
Steel Recycling Institute,CO2,kg,NA,Primary Material Production,Mild steel and other steels,NA,1.87,
UCSB,CO2,kg,NA,Manufacturing,Mild steel and other steels,NA,0.62,
