Unit,LCI,Virgin Steel,Virgin High-Strength Steel,Recycled Steel,Average Steel,Stainless Steel,Cast Iron,Virgin Wrought Aluminum,Recycled Wrought Aluminum,Average Wrought Aluminum,Virgin Cast Aluminum,Recycled Cast Aluminum,Average Cast Aluminum,Virgin Lead,Recycled Lead,Average Lead,Virgin Nickel,Recycled Nickel,Average Nickel,Virgin Nickel Hydroxide,Recycled Nickel Hydroxide,Average Nickel Hydroxide,Refined Nickel,Virgin Cobalt Oxide,Virgin Cobalt Chloride,Virgin Cobalt Metal,Copper,Zinc,Virgin Magnesium,Recycled Magnesium,Average Magnesium,Sulfuric Acid,Glass,Fiber Glass,High-Density Polyethylene,Polyethylene Terephthalate,Polypropylene,Average Plastic,Glass Fiber Composite Plastic,Carbon Fiber Composite Plastic for General Use,Carbon Fiber Composite Plastic for High Pressure Vessels,Rubber,Platinum,Vanadium,Zirconium,Titanium,Chromium,Rare Earth,Manganese in Manganese Ore (MnO),Manganese,Thermal Insulation,Carbon Fiber,Carbon Paper,Nafion117 Sheet,Nafion Dry Polymer,PTFE,LiMn2O4,NMC(442): Coprecipitation,NMC(111): Coprecipitation,NMC(532): Coprecipitation,NMC(622): Coprecipitation,NMC(811): Coprecipitation,Recycled NMC(111): Coprecipitation,LMR-NMC:Solid State,LFP: Hydrothermal,LFP: Solid State,LCO: Hydrothermal,LCO: Solid State,NCA,NMP,Graphite,PVDF,LiPF6,Ethylene Carbonate,Dimethyl Carbonate,BMS,Coolant,Silicon,Silicon as anode material,Molybdenum
mmBtu per lb of material product,Total energy,0.014641522,0.018594733,0.008803269,0.013100223,0.012062213,0.014848661,0.057086908,0.011424304,0.052064021,0.063436932,0.013117383,0.020665315,0.011455689,0.002114353,0.004636514,0.108130027,0.009558422,0.064758521,0,0,0,0.108130027,0.112674881,0.053097525,0.130012783,0.018581734,0.017981564,0.109005932,0.006778897,0.055745647,0.000255874,0.009734978,0.011317035,0.034526721,0.032750359,0.033509315,0.037439601,0.036515949,0.134341754,0.225091613,0.023430899,0.491364705,0,0.089134973,0,0,0.112971597,0.006255103,0.051653088,0.011317035,0.252766726,0.884683541,0.009059751,0.008869656,0.047907399,0.016608759,0.109301907,0.11310974,0.117903027,0.123987159,0.137123168,0.084921658,0.053608709,0.029415139,0.016255604,0.129571959,0.111751453,0.147054568,0.042469769,0.038420004,0.015276689,0.074534841,0.004282189,0.015742358,0.167557121,0.008445233,1.560041083,0.406577745,0.084332409
mmBtu per lb of material product,Fossil Fuels,0.013360175,0.016967423,0.007383435,0.011782316,0.010053638,0.01462528,0.035842532,0.009416385,0.032935656,0.04010996,0.010988716,0.015356903,0.010976038,0.002112721,0.004505816,0.090652181,0.009187899,0.054807897,0,0,0,0.090652181,0.102418317,0.047630578,0.116274844,0.016055136,0.014474748,0.097707223,0.00611114,0.049985664,0.000241453,0.009239983,0.0103294,0.033278173,0.03161307,0.032632963,0.036307995,0.034104516,0.12757087,0.211861996,0.02284562,0.478722294,0,0.082031169,0,0,0.089557624,0.005112643,0.050902388,0.0103294,0.237165555,0.830079444,0.008004118,0.007836172,0.046712511,0.015683686,0.098971507,0.102272233,0.106919374,0.112580773,0.124636997,0.076275558,0.049627189,0.028865465,0.01506131,0.11767787,0.099717936,0.134122035,0.041896066,0.03609361,0.013567899,0.05935292,0.004158255,0.015301756,0.142386405,0.008344655,1.120967205,0.251247599,0.081388312
mmBtu per lb of material product,Coal,0.010181124,0.012930028,0.00255849,0.008168749,0.003630828,0.010598725,0.013135634,0.001603559,0.011867106,0.0143225,0.001614316,0.003520543,0.009557372,0.002074146,0.004094617,0.030740374,0.001599065,0.017918198,0,0,0,0.030740374,0.019879391,0.010567283,0.034085485,0.005462609,0.006126959,0.019653429,0.001161529,0.010019149,2.50E-05,0.001351787,0.001750344,0.00217088,0.002354386,0.00152248,0.002178059,0.00421059,0.014753235,0.029959968,0.001016005,0.442230013,0,0.012356679,0,0,0.040727479,0.001987097,0.001300436,0.001750344,0.035845526,0.125459342,0.00183622,0.001797691,0.002073774,0.002647255,0.022036286,0.022833012,0.023601028,0.024666786,0.027658121,0.017780994,0.010691451,0.003588547,0.003266975,0.025088131,0.024410623,0.028595092,0.000997859,0.017876303,0.002972249,0.026407964,0.000215257,0.000765247,0.04378321,0.000174067,0.409096381,0.075719118,0.005106251
mmBtu per lb of material product,Natural Gas,0.003272448,0.00415601,0.004721855,0.003655092,0.006278437,0.003208033,0.015927508,0.007228804,0.014970651,0.018320282,0.008734432,0.01017231,0.001007568,6.71E-06,0.000276944,0.046689595,0.006609925,0.02905454,0,0,0,0.046689595,0.066928252,0.028315416,0.062716825,0.007976209,0.00773681,0.076722998,0.004891381,0.039298725,5.89E-05,0.007721291,0.008223307,0.027135876,0.015902276,0.022970402,0.025217635,0.024364079,0.094226266,0.158346534,0.012988917,0.00634512,0,0.06899314,0,0,0.047241876,0.002375027,0.02658902,0.008223307,0.178999651,0.626498779,0.006081869,0.005954256,0.024565687,0.010550667,0.059285364,0.062155604,0.062631901,0.06499389,0.06978784,0.053070998,0.026107624,0.021059221,0.007907643,0.076650207,0.060056754,0.077205339,0.040558471,0.004399447,0.010018249,0.030817389,0.002568846,0.009554845,0.096728104,0.004387608,0.671539225,0.16299199,0.012540564
mmBtu per lb of material product,Petroleum,-9.34E-05,-0.000118614,0.00010309,-4.15E-05,0.000144373,0.000818522,0.00677939,0.000584021,0.006097899,0.007467178,0.000639968,0.00166405,0.000411098,3.19E-05,0.000134255,0.013222212,0.000978908,0.007835159,0,0,0,0.013222212,0.015610675,0.00874788,0.019472533,0.002616318,0.000610979,0.001330797,5.82E-05,0.00066779,0.000157454,0.000166905,0.000355749,0.003971418,0.013356408,0.008140081,0.008912301,0.005529848,0.018591369,0.023555495,0.008840698,0.030147161,0,0.00068135,0,0,0.00158827,0.000750519,0.023012932,0.000355749,0.022320378,0.078121322,8.60E-05,8.42E-05,0.02007305,0.002485765,0.017649858,0.017283617,0.020686445,0.022920097,0.027191036,0.005423566,0.012828114,0.004217697,0.003886692,0.015939532,0.015250559,0.028321603,0.000339737,0.01381786,0.000577401,0.002127568,0.001374152,0.004981664,0.001875091,0.003782981,0.040331599,0.012536491,0.063741496
Gal per lb of material product,Water consumption,0.636930334,0.808901524,0.641364362,0.638100917,0.906261196,0.152364718,28.89662431,2.552336637,25.99875267,31.74816932,2.717134074,7.071789361,0.2478635,0.008044135,0.072795363,16.99631884,0.202360122,9.606977003,0,0,0,16.99631884,22.53736366,11.68711229,27.66428193,1.321315562,3.177292998,5.213096868,0.308611942,2.657860221,0.038485857,0.428609099,1.101037055,0.686759257,0.766791031,0.580156931,0.714790823,1.561732031,3.568894959,6.693669167,0.451159809,24.61700654,0,3.327387351,0,0,10.49654106,0.525236338,0.814887939,1.101037055,7.781323214,27.23463125,0.48356268,0.473416358,0.952609871,0.521507383,10.28589266,11.82264918,11.18617955,11.71629275,12.914681,7.81151575,5.918748664,3.036335774,4.137382076,20.70497276,19.25870225,13.91448788,0.437983008,2.840966216,0.79110225,6.995270683,0.148711314,0.53587646,11.40406196,0.183756439,343.3165811,153.8667647,2.553697554
,Total Emissions: grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g per lb of material product,VOC,1.556193015,1.976365129,0.163039259,1.188400424,0.237668629,1.007222653,0.56873194,0.282066169,0.537198705,0.481739997,0.165838341,0.21322359,0.841045094,0.016485579,0.239116648,1.524490034,0.096579635,0.896209459,0,0,0,1.524490034,2.253544096,0.788437316,1.832906013,0.161607575,0.141702886,1.035735814,0.065237285,0.530106081,0.00946336,0.10662532,0.122825557,0.640394178,0.332490385,0.574143159,0.508673681,0.334062964,1.281074818,2.183764321,2.852367192,4.321145013,0,0.893139651,0,0,0.828195661,0.058031769,0.461040953,0.122825557,2.472801476,8.654805167,0.083746843,0.081989631,0.41817608,1.023979917,1.585972579,1.64230949,1.715302587,1.807985945,2.100160464,1.09367434,1.746748188,0.682142433,0.735056759,1.924673309,2.099819105,2.860368859,0.913834499,0.562467203,0.140142536,0.590187761,0.069885504,0.256084766,1.429822405,4.40531095,10.92913387,2.548601669,2.12953366
g per lb of material product,CO,10.99522268,13.9639328,1.830863777,8.575831927,2.772564166,0.446119164,1.208665843,0.406691223,1.120448635,1.360017437,0.476252663,0.608817379,0.311210286,0.055562764,0.124587595,8.059270176,0.94159247,4.927491986,0,0,0,8.059270176,6.049070793,2.6786575,6.079547071,1.155387165,0.48094384,4.252962608,0.255281087,2.170170535,0.027273407,0.457100983,0.465059615,2.391644482,7.466498903,3.82356504,3.177347974,1.359321018,5.392236223,9.106771282,1.018425033,7.093719768,0,3.558303663,0,0,2.792997436,0.188154993,2.292527943,0.465059615,10.25816299,35.90357046,0.321762311,0.315010955,2.066749839,1.307469456,6.381590583,6.421656089,7.067570507,7.574239613,8.676087566,3.824662309,4.31875546,2.287944645,1.555358085,6.664212485,6.062036119,9.667063038,1.854219487,0.611215699,0.547593651,1.967708524,0.091170581,0.342357179,5.279194602,0.42870008,39.7646509,9.774210913,5.336627854
g per lb of material product,NOx ,1.288710456,1.63666228,0.474180375,1.073674515,0.647172792,0.721024709,2.601962951,0.676414928,2.390152668,2.90721937,0.785292476,1.10358151,0.543894604,0.279616103,0.350971298,9.724395288,2.452418041,6.524725299,0,0,0,9.724395288,11.34766903,5.780322569,13.33377051,2.761391074,0.880549122,6.969949126,0.393456767,3.543596607,0.204263565,1.030005269,1.88299368,1.540373613,2.057278051,1.415331386,2.28573922,2.925906657,9.488032794,16.03214814,2.262899307,31.54589289,0,5.37033241,0,0,5.119194061,0.372712338,5.346614779,1.88299368,17.96615274,62.88153459,0.506740925,0.496108267,4.787506225,2.569472837,12.77731009,12.81745764,14.30875539,15.43093142,17.74807657,7.284418033,8.758106136,4.737704123,3.72477005,13.30075403,11.71330313,18.67608649,2.208599889,6.049603014,0.897845777,4.515076886,0.143607504,0.536855714,8.711102609,1.051675663,75.73334978,19.04460536,12.53476714
