Unit,LCI,Virgin Hot Rolled Stamped Steel,Virgin Cold Rolled Stamped Steel,Virgin Galvanized Stamped Steel,Recycled Steel Rod and Bar,Stainless Steel Rod and Bar,Cast Iron,Forged Iron,Virgin Wrought Hot Rolled Stamped Aluminum,Virgin Wrought Cold Rolled Stamped Aluminum,Virgin Wrought Extruded Aluminum,Recycled Wrought Cold Rolled Stamped Aluminum,Recycled Wrought Hot Rolled Stamped Aluminum,Recycled Wrought Extruded Aluminum,Virgin Cast Aluminum,Recycled Cast Aluminum,Copper Wire,Glass Production,GFRP Fabrication,CFRP Fabrication,Plastic Blow Molding (HPDE),Plastic Calendaring (PVC),Plastic Compression Molding,Plastic Extrusion (HDPE),Plastic Extrusion (PVC),Plastic Extrusion (PP),Plastic Injection Molding (HDPE),Plastic Injection Molding (PVC),Plastic Injection Molding (PP),Rubber Compression Molding,Rubber Injection Molding (PVC)
mmBtu per lb,Total energy,0.000775625,0.000775625,0.000775625,0.002645777,0.002645777,0.012969668,0.019513277,0.000775625,0.000775625,0.003519487,0.000775625,0.000775625,0.003519487,0.005100402,0.005100402,0.002034534,0.000980587,0.003095084,0.005936841,0.004787312,0.001873799,0.004168716,0.001446159,0.001476482,0.001959031,0.005610041,0.003535572,0.00254237,0.004168716,0.003535572
mmBtu per lb,Fossil Fuels,0.000552334,0.000552334,0.000552334,0.002224931,0.002224931,0.012755634,0.019050366,0.000552334,0.000552334,0.003351407,0.000552334,0.000552334,0.003351407,0.0049562,0.0049562,0.001605315,0.000878151,0.002204056,0.005511082,0.003413812,0.001334361,0.003638852,0.001029832,0.001051426,0.001395056,0.003994995,0.002517734,0.001810461,0.003638852,0.002517734
mmBtu per lb,Coal,0.000192491,0.000192491,0.000192491,0.000362786,0.000362786,0.012196284,0.000398901,0.000192491,0.000192491,0.00015143,0.000192491,0.000192491,0.00015143,0.00012427,0.00012427,0.000375153,0.000578843,0.000768125,0.000361968,0.001184033,0.000465031,0.000456756,0.000358901,0.000366427,0.000486184,0.001392276,0.000877443,0.000630955,0.000456756,0.000877443
mmBtu per lb,Natural Gas,0.00035302,0.00035302,0.00035302,0.001844916,0.001844916,0.000383996,0.018571225,0.00035302,0.00035302,0.003182636,0.00035302,0.00035302,0.003182636,0.004810546,0.004810546,0.000773494,0.000188174,0.001408707,0.003038034,0.002181988,0.000852847,0.003157312,0.00065821,0.000672011,0.00089164,0.002553373,0.001609192,0.001157143,0.003157312,0.001609192
mmBtu per lb,Petroleum,6.82E-06,6.82E-06,6.82E-06,1.72E-05,1.72E-05,0.000175354,8.02E-05,6.82E-06,6.82E-06,1.73E-05,6.82E-06,6.82E-06,1.73E-05,2.14E-05,2.14E-05,0.000456668,0.000111134,2.72E-05,0.00211108,4.78E-05,1.65E-05,2.48E-05,1.27E-05,1.30E-05,1.72E-05,4.93E-05,3.11E-05,2.24E-05,2.48E-05,3.11E-05
Gal per lb,Water consumption,0.064047721,0.064047721,0.064047721,0.123856205,0.123856205,0.099700894,0.180308699,0.064047721,0.064047721,0.112455335,0.064047721,0.064047721,0.112455335,0.053571258,0.053571258,0.131004567,0.03849246,0.255578576,0.164327133,0.394108465,0.154730222,0.158163755,0.119417514,0.121921512,0.161768293,0.463252815,0.291952165,0.209937921,0.158163755,0.291952165
,Total Emissions: grams,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb,per lb
g per lb,VOC,0.00531727,0.00531727,0.00531727,0.023820994,0.023820994,1.121078226,0.219720002,0.00531727,0.00531727,0.160956473,0.00531727,0.00531727,0.160956473,0.057043743,0.057043743,0.013121605,0.012574794,0.021218248,0.04602288,0.032930248,0.012845772,0.039753994,0.009914096,0.010121979,0.013430076,0.038459456,0.024237999,0.01742914,0.039753994,0.024237999
g per lb,CO,0.020405523,0.020405523,0.020405523,0.096023384,0.096023384,0.286963286,0.912887492,0.020405523,0.020405523,0.165835688,0.020405523,0.020405523,0.165835688,0.236812993,0.236812993,0.060147688,0.072589858,0.08142701,0.23039123,0.127311699,0.049296853,0.161621453,0.038046269,0.038844039,0.051539173,0.147591759,0.093015589,0.066885955,0.161621453,0.093015589
g per lb,NOx ,0.029469092,0.029469092,0.029469092,0.133746906,0.133746906,0.359837903,1.243846173,0.029469092,0.029469092,0.216567417,0.029469092,0.029469092,0.216567417,0.322855944,0.322855944,0.124568491,0.054529023,0.117594637,0.499906751,0.183166783,0.071193151,0.223719512,0.054945369,0.056097487,0.074431449,0.213147938,0.134330543,0.096594847,0.223719512,0.134330543
g per lb,PM10,0.004562302,0.004562302,0.004562302,0.0128093,0.0128093,0.564051158,0.073137093,0.004562302,0.004562302,0.014444325,0.004562302,0.004562302,0.014444325,0.019304112,0.019304112,0.021737727,0.020276607,0.018205593,0.076363208,0.02817695,0.011021876,0.019106214,0.008506451,0.008684818,0.011523218,0.032998824,0.020796588,0.014954479,0.019106214,0.020796588
g per lb,PM2.5,0.002624859,0.002624859,0.002624859,0.009122706,0.009122706,0.250470831,0.068591023,0.002624859,0.002624859,0.012584043,0.002624859,0.002624859,0.012584043,0.017916896,0.017916896,0.011896566,0.012859726,0.010474343,0.04398792,0.01625765,0.006341288,0.014439861,0.004894072,0.004996693,0.006629729,0.018985429,0.011965037,0.008603858,0.014439861,0.011965037
