"Light-Duty Vehicle Sales by Technology Type"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=48-AEO2010&sourcekey=0"
"Thu Jul 06 2017 13:41:59 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","Growth (2008-2035)"
New Car Sales,"",""48-AEO2010.2.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Conventional Cars,"",""48-AEO2010.3.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gasoline ICE Vehicles,"Light-Duty Vehicle Sales: Conventional Cars: Gasoline": Reference case,""48-AEO2010.4.aeo2010r-d111809a,"thousands",7142.541992,5945.575684,4227.791016,4406.311035,5562.47168,6272.939453,6718.405762,6892.083496,6943.308594,7213.921875,7147.637695,7122.026367,7271.675781,7555.87793,7531.743652,7471.819336,7501.054199,7605.260742,7703.499512,7768.826172,7827.706543,7881.342773,7928.900391,7992.278809,8042.69043,8119.594727,8213.556641,8322.25293,8432.756836,"1.3%"
TDI Diesel ICE,"Light-Duty Vehicle Sales: Conventional Cars: TDI Diesel": Reference case,""48-AEO2010.5.aeo2010r-d111809a,"thousands",8.105304,7.486101,6.09229,6.915895,8.545896,13.203359,21.566626,31.457964,39.674831,52.976326,63.383274,77.249977,98.481636,129.540146,156.826553,185.720398,221.253754,253.698471,285.624207,320.960388,354.629547,391.267548,424.228149,453.243774,473.028778,494.398529,511.721954,525.165894,533.624756,"17.1%"
Total Conventional Cars,"Light-Duty Vehicle Sales: Conventional Cars: Total": Reference case,""48-AEO2010.6.aeo2010r-d111809a,"thousands",7150.647461,5953.062012,4233.883301,4413.227051,5571.017578,6286.142578,6739.972168,6923.541504,6982.983398,7266.898438,7211.020996,7199.276367,7370.157227,7685.417969,7688.570312,7657.539551,7722.308105,7858.958984,7989.123535,8089.786621,8182.335938,8272.610352,8353.128906,8445.522461,8515.71875,8613.993164,8725.27832,8847.418945,8966.381836,"1.5%"
Alternative-Fuel Cars,"",""48-AEO2010.8.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ethanol-Flex Fuel ICE,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Ethanol-Flex Fuel ICE": Reference case,""48-AEO2010.9.aeo2010r-d111809a,"thousands",260.77002,406.223358,387.712402,504.151154,729.741333,906.224304,1163.545288,1336.614868,1531.143677,1415.691284,1433.343262,1444.507568,1486.314941,1552.812012,1556.751221,1568.25769,1567.668213,1595.265015,1619.067627,1635.901245,1653.728516,1675.951782,1696.021851,1715.924316,1744.212158,1771.576538,1803.358032,1843.819946,1889.107666,"5.9%"
Ethanol ICE,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Ethanol ICE": Reference case,""48-AEO2010.10.aeo2010r-d111809a,"thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","- -"
Electric Vehicle,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Electric Vehicle": Reference case,""48-AEO2010.11.aeo2010r-d111809a,"thousands",0.075128,0.064423,0.046988,0.049918,0.064237,0.073499,0.081,0.084942,0.088015,0.090087,0.089969,0.090309,0.092756,0.097124,0.097504,0.097605,0.0986,0.100622,0.102852,0.104576,0.106146,0.107678,0.109048,0.110511,0.111658,0.113121,0.11475,0.116597,0.118438,"2.3%"
Plug-in 10 Gasoline Hybrid,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Plug-in 10 Gasoline Hybrid": Reference case,""48-AEO2010.12.aeo2010r-d111809a,"thousands","","","","",3.96783,6.223896,9.884569,13.778007,37.732227,44.31308,48.079002,58.362679,63.337387,87.826202,99.444939,108.915672,122.917099,136.258743,174.458817,197.937027,218.140518,232.068695,244.612473,257.157227,268.908844,282.742828,297.504211,313.703125,330.548859,"- -"
Plug-in 40 Gasoline Hybrid,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Plug-in 40 Gasoline Hybrid": Reference case,""48-AEO2010.13.aeo2010r-d111809a,"thousands","","","","",0.321366,0.894743,2.633507,7.063544,14.407962,15.137784,18.297609,23.400908,27.659678,29.804819,34.244621,40.03656,43.498535,46.877502,51.34029,59.008614,64.290947,70.934708,76.515465,82.826286,83.425049,84.665237,85.882927,87.272957,88.798065,"- -"
Electric-Diesel Hybrid,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Electric-Diesel Hybrid": Reference case,""48-AEO2010.14.aeo2010r-d111809a,"thousands","","","","","","","",2.747971,2.845549,3.064669,3.101051,3.098165,6.855124,7.224233,7.255494,8.979367,9.178529,9.413697,9.742435,11.185922,11.469484,11.84669,12.148171,12.350604,12.545353,12.872789,13.214131,13.631942,14.115375,"- -"
Electric-Gasoline Hybrid,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Electric-Gasoline Hybrid": Reference case,""48-AEO2010.15.aeo2010r-d111809a,"thousands",283.944,250.843109,205.144104,215.961761,308.256409,375.75351,441.429047,490.091858,529.839966,578.34314,607.837891,635.979431,675.040344,731.237305,758.786987,783.382812,816.910461,857.738403,905.970581,948.453186,988.961243,1028.735474,1066.409302,1101.866943,1124.825073,1151.307129,1177.275635,1205.560913,1231.084473,"6.1%"
Compressed Natural Gas ICE,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Compressed Natural Gas ICE": Reference case,""48-AEO2010.16.aeo2010r-d111809a,"thousands",1.845287,1.215347,0.864705,0.940176,1.15942,1.326242,1.48298,1.579328,1.636893,1.682647,1.678945,1.689287,1.740948,1.820433,1.829433,1.830491,1.852809,1.89379,1.933685,1.964973,1.993213,2.021086,2.0472,2.071777,2.086657,2.115329,2.148127,2.181986,2.219205,"2.3%"
