"Light-Duty Vehicle Sales by Technology Type"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=48-AEO2012&sourcekey=0"
"Thu Jul 06 2017 13:44:37 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","Growth (2010-2035)"
New Car Sales,"",""48-AEO2012.2.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Conventional Cars,"",""48-AEO2012.3.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gasoline ICE Vehicles,"Light-Duty Vehicle Sales: Conventional Cars: Gasoline": Reference case,""48-AEO2012.4.ref2012-d020112c,"thousands",4388.493652,5035.622559,5749.699707,5838.848145,6466.637695,6886.973145,7225.112793,7462.432617,7454.103516,7303.25,7427.081055,7526.27832,7677.085938,7920.776855,8051.940918,8139.858398,8158.672363,8209.325195,8227.904297,8238.475586,8191.470215,8172.15332,8137.021973,8124.057617,8207.592773,8274.691406,8321.505859,"2.0%"
TDI Diesel ICE,"Light-Duty Vehicle Sales: Conventional Cars: TDI Diesel": Reference case,""48-AEO2012.5.ref2012-d020112c,"thousands",187.959763,147.731674,271.890961,338.305542,471.151123,535.844421,582.500549,607.717285,605.368713,588.151611,602.598572,612.713379,625.466003,646.322937,663.94397,679.734924,682.275513,689.254517,696.022766,698.175537,697.783447,699.29541,693.229065,698.35907,687.156067,692.453186,684.737427,"6.3%"
Total Conventional Cars,"Light-Duty Vehicle Sales: Conventional Cars: Total": Reference case,""48-AEO2012.6.ref2012-d020112c,"thousands",4576.453613,5183.354004,6021.59082,6177.153809,6937.789062,7422.817383,7807.613281,8070.149902,8059.472168,7891.401367,8029.679688,8138.991699,8302.551758,8567.099609,8715.884766,8819.59375,8840.948242,8898.580078,8923.926758,8936.651367,8889.253906,8871.449219,8830.250977,8822.416992,8894.749023,8967.144531,9006.243164,"2.2%"
Alternative-Fuel Cars,"",""48-AEO2012.8.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ethanol-Flex Fuel ICE,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Ethanol-Flex Fuel ICE": Reference case,""48-AEO2012.9.ref2012-d020112c,"thousands",276.390472,179.216751,302.929047,332.671326,396.913147,427.158539,472.443298,509.434174,536.561951,584.610718,624.511353,661.031555,692.935974,746.905457,771.912903,791.602661,824.426025,843.697388,864.516663,843.779358,857.143005,879.321106,925.395752,930.431091,921.1474,915.853882,930.096497,"6.8%"
100 Mile Electric Vehicle,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: 100 Mile Electric Vehicle": Reference case,""48-AEO2012.10.ref2012-d020112c,"thousands",0.129222,0.809831,1.355947,0.824573,1.129689,1.740371,3.105964,4.28068,5.559023,11.101564,10.990394,33.323498,46.410229,60.444721,69.567261,79.423584,94.008369,110.581909,126.756477,145.842102,167.274384,191.545959,218.341171,248.387802,266.821381,294.47226,312.959045,"26.9%"
200 Mile Electric Vehicle,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: 200 Mile Electric Vehicle": Reference case,""48-AEO2012.11.ref2012-d020112c,"thousands","","","","","","","","","","",0.000001,0.000001,0.000003,0.000006,0.000011,0.000019,0.000037,0.000067,0.000117,0.000205,0.000351,0.000595,0.000947,0.001499,0.002178,0.003262,0.003854,"- -"
Plug-in 10 Gasoline Hybrid,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Plug-in 10 Gasoline Hybrid": Reference case,""48-AEO2012.12.ref2012-d020112c,"thousands","","","","","",23.351267,34.860485,28.847397,66.300377,76.114174,61.636189,70.986382,70.614021,71.534851,69.040428,68.672836,90.870079,96.843071,100.38855,104.190376,108.429626,111.710754,115.249458,118.895729,119.51461,122.112976,125.064758,"- -"
Plug-in 40 Gasoline Hybrid,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Plug-in 40 Gasoline Hybrid": Reference case,""48-AEO2012.13.ref2012-d020112c,"thousands","","",27.916849,11.560216,11.326406,32.708549,34.48859,45.480488,53.257683,61.380707,62.42498,69.593262,71.91658,74.608223,74.227943,71.219025,73.327148,72.354584,74.53643,76.967102,75.841621,74.955696,75.799126,76.778099,79.097633,78.192871,74.171303,"- -"
Electric-Diesel Hybrid,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Electric-Diesel Hybrid": Reference case,""48-AEO2012.14.ref2012-d020112c,"thousands","","","","","","","","",0.825126,3.3567,5.038087,6.060698,9.54916,33.639893,67.866257,88.655273,100.111809,112.051575,124.516258,132.291641,136.622986,140.076706,141.639282,144.287064,144.670105,145.266693,144.687988,"- -"
