"Light-Duty Vehicle Sales by Technology Type"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=48-AEO2013&cases=ref2013&sourcekey=0"
"Thu Jul 06 2017 17:08:14 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2011-2040)"
New Car Sales,"",""48-AEO2013.2.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Conventional Cars,"",""48-AEO2013.3.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gasoline ICE Vehicles,"Light-Duty Vehicle Sales: Conventional Cars: Gasoline": Reference case,""48-AEO2013.4.ref2013-d102312a,"thousands",5127.681152,5410.327148,6354.940918,6491.324707,6757.714355,6993.89209,7245.984863,7379.453125,7308.286621,7529.514648,7601.850098,7517.117676,7469.25,7675.285156,7694.638184,7554.73877,7755.765625,7907.284668,8021.706543,8111.216309,8205.96875,8284.852539,8344.282227,8397.541992,8493.793945,8599.344727,8691.761719,8821.006836,8951.6875,9068.216797,9170.438477,"1.8%"
TDI Diesel ICE,"Light-Duty Vehicle Sales: Conventional Cars: TDI Diesel": Reference case,""48-AEO2013.5.ref2013-d102312a,"thousands",133.404938,505.255341,578.937439,570.670105,551.107361,532.266968,531.983826,535.422119,530.71759,566.945679,601.508118,613.684875,634.312439,411.092743,433.47049,514.289612,457.534607,465.133575,468.570465,474.45755,481.666321,485.949646,489.502106,493.666901,497.309509,503.578613,507.819763,516.331604,529.999207,541.105896,553.478516,"0.3%"
Total Conventional Cars,"Light-Duty Vehicle Sales: Conventional Cars: Total": Reference case,""48-AEO2013.6.ref2013-d102312a,"thousands",5261.085938,5915.58252,6933.878418,7061.994629,7308.821777,7526.15918,7777.96875,7914.875,7839.004395,8096.460449,8203.358398,8130.802734,8103.5625,8086.37793,8128.108887,8069.02832,8213.299805,8372.417969,8490.277344,8585.673828,8687.634766,8770.801758,8833.78418,8891.208984,8991.103516,9102.923828,9199.581055,9337.338867,9481.686523,9609.322266,9723.916992,"1.7%"
Alternative-Fuel Cars,"",""48-AEO2013.8.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ethanol-Flex Fuel ICE,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Ethanol-Flex Fuel ICE": Reference case,""48-AEO2013.9.ref2013-d102312a,"thousands",180.544418,368.530487,50.866291,126.823753,134.211456,137.881882,144.964508,147.561157,144.784225,148.074722,149.714035,148.655487,147.875473,151.791885,154.824234,155.95549,156.331039,162.116287,165.094727,166.961426,168.938751,170.589066,171.793884,172.915848,174.891144,177.057068,179.011414,181.755005,184.537262,187.062897,193.31926,"-2.2%"
100 Mile Electric Vehicle,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: 100 Mile Electric Vehicle": Reference case,""48-AEO2013.10.ref2013-d102312a,"thousands",0.754658,0.701295,0.582185,0.632308,0.710311,0.982192,1.419065,1.756745,2.988429,2.970467,8.861385,10.908527,14.6409,18.888813,22.794914,34.103531,34.326672,39.817627,45.386082,51.421791,58.097736,64.490852,71.187004,78.935043,87.630249,94.674019,101.600174,109.428795,117.822815,126.925407,136.913956,"19.9%"
200 Mile Electric Vehicle,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: 200 Mile Electric Vehicle": Reference case,""48-AEO2013.11.ref2013-d102312a,"thousands","","","","","","","","","","","","",0.000001,0.000001,0.000003,0.000006,0.00001,0.000016,0.000025,0.00004,0.000062,0.000089,0.000126,0.00018,0.000256,0.000312,0.000379,0.000462,0.000563,0.000686,0.000837,"91.2%"
Plug-in 10 Gasoline Hybrid,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Plug-in 10 Gasoline Hybrid": Reference case,""48-AEO2013.12.ref2013-d102312a,"thousands","","","","",78.81324,70.646927,47.815624,72.640717,79.339684,66.680702,63.685997,138.342819,140.90947,134.608215,131.4319,190.189713,156.671402,169.869293,176.927322,183.67511,188.262207,191.056931,196.412094,201.691101,208.80603,216.299438,222.300018,229.036575,235.567062,241.958679,248.368393,"- -"
Plug-in 40 Gasoline Hybrid,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Plug-in 40 Gasoline Hybrid": Reference case,""48-AEO2013.13.ref2013-d102312a,"thousands","",3.556621,3.64919,3.337526,22.669008,34.039474,57.336117,48.579556,62.515095,40.293293,64.406853,56.911369,55.500751,56.59697,60.175884,73.692947,81.406235,58.4967,65.696892,73.675705,82.728882,98.490242,98.207825,102.099792,102.013123,98.585831,104.065147,110.361137,116.981628,124.373772,132.929489,"13.3%"
Electric-Diesel Hybrid,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Electric-Diesel Hybrid": Reference case,""48-AEO2013.14.ref2013-d102312a,"thousands","","","","","","","",0.933028,4.307367,8.941154,14.578238,25.366119,76.227028,153.057159,190.559189,225.670654,242.058426,259.744812,272.931763,284.142029,295.550629,305.779297,313.239197,321.59552,329.871277,338.279724,346.87088,358.418945,373.815216,388.934052,403.687592,"- -"
Electric-Gasoline Hybrid,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Electric-Gasoline Hybrid": Reference case,""48-AEO2013.15.ref2013-d102312a,"thousands",231.147202,221.959381,274.624359,286.016815,349.607697,352.042511,363.46994,388.075043,408.122925,417.443024,437.074799,466.500946,440.874023,435.000885,448.873199,527.838196,463.828339,469.273987,479.947021,490.508972,501.809357,512.137939,519.209045,527.5271,538.154602,548.25946,559.373657,572.51416,584.518494,596.526611,608.554871,"3.5%"
Natural Gas ICE,"Light-Duty Vehicle Sales: Alternative-Fuel Cars: Natural Gas ICE": Reference case,""48-AEO2013.16.ref2013-d102312a,"thousands",2.51682,2.82806,3.294686,3.383228,3.384368,3.596352,3.72509,3.824191,3.806326,3.899812,3.995176,4.01235,4.009426,4.033683,4.079622,4.142914,4.17705,4.264885,4.341662,4.408093,4.477961,4.538845,4.581741,4.626156,4.689409,4.756225,4.819941,4.906358,4.996746,5.083102,5.164797,"2.1%"
