"Light-Duty Vehicle Stock by Technology Type"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=49-AEO2010&cases=aeo2010r&sourcekey=0"
"Thu Jul 06 2017 13:42:36 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","Growth (2008-2035)"
Car Stock,"",""49-AEO2010.2.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Conventional Cars,"",""49-AEO2010.3.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gasoline ICE Vehicles,"Light-Duty Vehicle Stock: Conventional Cars: Gasoline": Reference case,""49-AEO2010.4.aeo2010r-d111809a,"millions",132.547897,131.058441,127.732437,124.492493,122.422127,121.078293,120.205727,119.546036,119.020805,118.870422,118.745911,118.678162,118.832947,119.338608,119.884819,120.41861,121.020119,121.753899,122.606094,123.521317,124.482704,125.478134,126.492241,127.528137,128.560394,129.609879,130.691849,131.820297,132.997253,"0.1%"
TDI Diesel ICE,"Light-Duty Vehicle Stock: Conventional Cars: TDI Diesel": Reference case,""49-AEO2010.5.aeo2010r-d111809a,"millions",0.508493,0.481615,0.455507,0.432068,0.411369,0.395574,0.389347,0.394123,0.408175,0.436468,0.47603,0.530087,0.605734,0.712427,0.846079,1.007723,1.203593,1.429914,1.685185,1.971569,2.286263,2.630761,2.999737,3.387621,3.783549,4.187395,4.593438,4.996114,5.388917,"9.4%"
Total Conventional Cars,"Light-Duty Vehicle Stock: Conventional Cars: Total": Reference case,""49-AEO2010.6.aeo2010r-d111809a,"millions",133.056396,131.540054,128.187943,124.924561,122.833496,121.473869,120.595078,119.940163,119.428978,119.306892,119.221939,119.208252,119.438683,120.051033,120.730896,121.426331,122.223709,123.183815,124.291283,125.492889,126.768967,128.108902,129.491974,130.915756,132.343948,133.797272,135.285294,136.816406,138.386169,"0.2%"
Alternative-Fuel Cars,"",""49-AEO2010.8.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ethanol-Flex Fuel ICE,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Ethanol-Flex Fuel ICE": Reference case,""49-AEO2010.9.aeo2010r-d111809a,"millions",0.99415,1.389435,1.762311,2.248587,2.955667,3.829952,4.950286,6.22804,7.683231,9.000565,10.305328,11.582965,12.85411,14.134776,15.355422,16.522871,17.622824,18.681713,19.693638,20.649876,21.551863,22.405293,23.210133,23.968225,24.690159,25.378401,26.040766,26.689699,27.333992,"11.7%"
Ethanol ICE,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Ethanol ICE": Reference case,""49-AEO2010.10.aeo2010r-d111809a,"millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","- -"
Electric Vehicle,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Electric Vehicle": Reference case,""49-AEO2010.11.aeo2010r-d111809a,"millions",0.026537,0.025404,0.024184,0.022952,0.021713,0.020467,0.019244,0.017984,0.016705,0.015415,0.014144,0.012885,0.011673,0.010514,0.009413,0.008381,0.007469,0.006665,0.005958,0.005339,0.004796,0.004321,0.003905,0.003541,0.003223,0.002944,0.002701,0.002489,0.002305,"-8.5%"
Plug-in 10 Gasoline Hybrid,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Plug-in 10 Gasoline Hybrid": Reference case,""49-AEO2010.12.aeo2010r-d111809a,"millions","","","","",0.003968,0.010192,0.020076,0.033854,0.071587,0.115876,0.163794,0.221762,0.284328,0.370725,0.467393,0.571835,0.688262,0.815584,0.978208,1.160575,1.358813,1.566086,1.780356,2.000848,2.225447,2.455218,2.690192,2.931077,3.177895,"- -"
Plug-in 40 Gasoline Hybrid,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Plug-in 40 Gasoline Hybrid": Reference case,""49-AEO2010.13.aeo2010r-d111809a,"millions","","","","",0.000321,0.001216,0.00385,0.010913,0.025321,0.040457,0.058739,0.082085,0.109576,0.138931,0.172225,0.210711,0.251897,0.295487,0.34237,0.395592,0.452548,0.514357,0.579764,0.64932,0.717086,0.783427,0.848083,0.91097,0.972001,"- -"
Electric-Diesel Hybrid,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Electric-Diesel Hybrid": Reference case,""49-AEO2010.14.aeo2010r-d111809a,"millions","","","","","","","",0.002748,0.005594,0.008658,0.011759,0.014857,0.021696,0.028818,0.035868,0.044521,0.053243,0.062036,0.070893,0.080892,0.090843,0.100779,0.110598,0.120178,0.129484,0.138603,0.147528,0.156323,0.165047,"- -"
Electric-Gasoline Hybrid,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Electric-Gasoline Hybrid": Reference case,""49-AEO2010.15.aeo2010r-d111809a,"millions",0.721621,0.970597,1.1721,1.381691,1.679372,2.037383,2.450747,2.902474,3.38404,3.903058,4.43747,4.983211,5.548478,6.148139,6.751508,7.353681,7.962037,8.582604,9.221247,9.870522,10.527646,11.191619,11.859761,12.528889,13.185459,13.832323,14.468524,15.096096,15.712122,"10.9%"
Compressed Natural Gas ICE,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Compressed Natural Gas ICE": Reference case,""49-AEO2010.16.aeo2010r-d111809a,"millions",0.011163,0.011094,0.010804,0.010705,0.010903,0.011294,0.011864,0.012544,0.013289,0.014055,0.014764,0.015411,0.016032,0.016654,0.017217,0.017728,0.018216,0.018703,0.019187,0.01966,0.020123,0.020578,0.021023,0.021456,0.021867,0.022268,0.022665,0.023059,0.023456,"2.8%"
Compressed Natural Gas Bi-fuel,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Compressed Natural Gas Bi-fuel": Reference case,""49-AEO2010.17.aeo2010r-d111809a,"millions",0.026578,0.027934,0.02851,0.029287,0.030443,0.031769,0.033309,0.034986,0.036691,0.038422,0.040024,0.041528,0.043008,0.044524,0.045941,0.047255,0.048532,0.049815,0.051099,0.052356,0.053594,0.054834,0.056063,0.057248,0.058373,0.05949,0.060602,0.061711,0.062842,"3.0%"
Liquefied Petroleum Gases ICE,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Liquefied Petroleum Gases ICE": Reference case,""49-AEO2010.18.aeo2010r-d111809a,"millions",0.002666,0.002268,0.002007,0.001785,0.00159,0.00141,0.001248,0.001104,0.000974,0.000859,0.000756,0.000665,0.000585,0.000514,0.000451,0.000397,0.000348,0.000306,0.000269,0.000236,0.000208,0.000182,0.00016,0.000141,0.000124,0.000109,0.000096,0.000084,0.000074,"-11.9%"
Liquefied Petroleum Gases Bi-fuel,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Liquefied Petroleum Gases Bi-fuel": Reference case,""49-AEO2010.19.aeo2010r-d111809a,"millions",0.005337,0.00482,0.004472,0.004188,0.003964,0.003764,0.003597,0.003457,0.003341,0.003248,0.003169,0.003098,0.00304,0.002999,0.002962,0.00293,0.002904,0.002888,0.00288,0.002878,0.002881,0.002888,0.0029,0.002914,0.00293,0.002949,0.002969,0.002993,0.00302,"-1.7%"
Fuel Cell Gasoline,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Fuel Cell Gasoline": Reference case,""49-AEO2010.20.aeo2010r-d111809a,"millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","- -"
