"Light-Duty Vehicle Stock by Technology Type"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=49-AEO2012&cases=ref2012&sourcekey=0"
"Thu Jul 06 2017 13:44:55 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","Growth (2010-2035)"
Car Stock,"",""49-AEO2012.2.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Conventional Cars,"",""49-AEO2012.3.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gasoline ICE Vehicles,"Light-Duty Vehicle Stock: Conventional Cars: Gasoline": Reference case,""49-AEO2012.4.ref2012-d020112c,"millions",128.119736,125.466507,123.521439,121.643509,120.393906,119.622047,119.295868,119.314667,119.427704,119.493813,119.773071,120.229134,120.898132,121.856094,122.9841,124.228645,125.512573,126.847649,128.194244,129.525314,130.770691,131.940994,133.014542,134.007263,135.009659,135.999023,136.95311,"0.4%"
TDI Diesel ICE,"Light-Duty Vehicle Stock: Conventional Cars: TDI Diesel": Reference case,""49-AEO2012.5.ref2012-d020112c,"millions",0.615337,0.730371,0.971564,1.280288,1.723594,2.23206,2.783169,3.35468,3.914905,4.445393,4.972805,5.48931,5.994557,6.494495,6.984708,7.462932,7.914724,8.344172,8.750632,9.129161,9.477168,9.797108,10.082081,10.344481,10.568702,10.773167,10.946292,"11.4%"
Total Conventional Cars,"Light-Duty Vehicle Stock: Conventional Cars: Total": Reference case,""49-AEO2012.6.ref2012-d020112c,"millions",128.735077,126.196877,124.493004,122.923798,122.1175,121.854111,122.079041,122.66935,123.342606,123.939209,124.74588,125.718445,126.892693,128.350586,129.968811,131.691574,133.427292,135.191818,136.94487,138.65448,140.247864,141.738098,143.096619,144.351746,145.578354,146.772186,147.899399,"0.6%"
Alternative-Fuel Cars,"",""49-AEO2012.8.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ethanol-Flex Fuel ICE,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Ethanol-Flex Fuel ICE": Reference case,""49-AEO2012.9.ref2012-d020112c,"millions",1.713485,1.875838,2.155819,2.455322,2.807346,3.174328,3.574041,3.999355,4.437571,4.90807,5.40054,5.910151,6.430954,6.983286,7.537438,8.086282,8.641824,9.189483,9.729469,10.218868,10.691476,11.155334,11.634232,12.087062,12.500016,12.878392,13.241892,"8.1%"
100 Mile Electric Vehicle,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: 100 Mile Electric Vehicle": Reference case,""49-AEO2012.10.ref2012-d020112c,"millions",0.009082,0.009609,0.010618,0.011044,0.011744,0.013024,0.015651,0.019416,0.024416,0.034927,0.045283,0.077907,0.123511,0.182996,0.251376,0.329228,0.421111,0.52835,0.649994,0.788374,0.945344,1.123192,1.323765,1.549551,1.788154,2.047895,2.318653,"24.5%"
200 Mile Electric Vehicle,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: 200 Mile Electric Vehicle": Reference case,""49-AEO2012.11.ref2012-d020112c,"millions","","","","","","","","","","","","","","","","","","","","",0.000001,0.000001,0.000002,0.000004,0.000006,0.000009,0.000013,"- -"
Plug-in 10 Gasoline Hybrid,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Plug-in 10 Gasoline Hybrid": Reference case,""49-AEO2012.12.ref2012-d020112c,"millions","","","","","",0.023351,0.058212,0.087059,0.15336,0.229474,0.29097,0.361023,0.429543,0.497597,0.560688,0.620517,0.699694,0.781631,0.863738,0.946147,1.029293,1.112067,1.194149,1.275464,1.352835,1.428128,1.501665,"- -"
Plug-in 40 Gasoline Hybrid,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Plug-in 40 Gasoline Hybrid": Reference case,""49-AEO2012.13.ref2012-d020112c,"millions","","",0.027917,0.039477,0.050803,0.083512,0.118001,0.163314,0.215636,0.275586,0.335931,0.402232,0.469395,0.537365,0.602679,0.662351,0.721266,0.776053,0.829643,0.882146,0.929986,0.973416,1.014163,1.052473,1.089672,1.122627,1.148371,"- -"
Electric-Diesel Hybrid,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Electric-Diesel Hybrid": Reference case,""49-AEO2012.14.ref2012-d020112c,"millions","","","","","","","","",0.000825,0.004182,0.00922,0.015281,0.02483,0.058465,0.126285,0.214777,0.314542,0.425997,0.549414,0.679258,0.810958,0.942756,1.07207,1.199286,1.321453,1.438241,1.548057,"- -"
Electric-Gasoline Hybrid,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Electric-Gasoline Hybrid": Reference case,""49-AEO2012.15.ref2012-d020112c,"millions",1.321458,1.55209,1.802641,2.049331,2.324558,2.650232,2.987547,3.342166,3.711964,4.088621,4.470076,4.856302,5.24911,5.650785,6.04693,6.442805,6.827403,7.198528,7.550417,7.883641,8.197051,8.493689,8.774137,9.040106,9.290072,9.524616,9.746024,"7.6%"
Natural Gas ICE,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Natural Gas ICE": Reference case,""49-AEO2012.16.ref2012-d020112c,"millions",0.028748,0.030637,0.032764,0.034959,0.037425,0.039842,0.042483,0.045155,0.047771,0.050218,0.052614,0.054997,0.057361,0.059773,0.062159,0.064496,0.066771,0.068977,0.071095,0.073103,0.074989,0.076771,0.078453,0.08004,0.081546,0.082981,0.084347,"4.1%"
Natural Gas Bi-fuel,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Natural Gas Bi-fuel": Reference case,""49-AEO2012.17.ref2012-d020112c,"millions",0.048734,0.051344,0.054978,0.058609,0.062892,0.067228,0.071779,0.076367,0.080842,0.085023,0.089061,0.092993,0.096849,0.100736,0.104571,0.108327,0.111976,0.115525,0.118891,0.122093,0.125117,0.127975,0.130718,0.133357,0.135771,0.137995,0.140093,"4.1%"
Liquefied Petroleum Gases ICE,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Liquefied Petroleum Gases ICE": Reference case,""49-AEO2012.18.ref2012-d020112c,"millions",0.023675,0.023643,0.025269,0.028283,0.031022,0.034034,0.037379,0.04106,0.044779,0.048404,0.052085,0.055702,0.059362,0.06313,0.066968,0.070905,0.074964,0.079046,0.082995,0.086747,0.090256,0.09362,0.096854,0.099987,0.102905,0.105439,0.107771,"6.3%"
Liquefied Petroleum Gases Bi-fuel,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Liquefied Petroleum Gases Bi-fuel": Reference case,""49-AEO2012.19.ref2012-d020112c,"millions",0.033699,0.033696,0.03393,0.034164,0.034655,0.035315,0.03597,0.036715,0.03747,0.038195,0.038949,0.039729,0.040565,0.041493,0.042461,0.043451,0.044439,0.045427,0.046398,0.047333,0.048219,0.049064,0.049869,0.050632,0.051363,0.052068,0.052739,"1.8%"
Fuel Cell Gasoline,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Fuel Cell Gasoline": Reference case,""49-AEO2012.20.ref2012-d020112c,"millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","- -"
Fuel Cell Methanol,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Fuel Cell Methanol": Reference case,""49-AEO2012.21.ref2012-d020112c,"millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","- -"
Fuel Cell Hydrogen,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Fuel Cell Hydrogen": Reference case,""49-AEO2012.22.ref2012-d020112c,"millions","","","","","","",0.002186,0.004483,0.006736,0.011405,0.015988,0.02047,0.025179,0.029816,0.034268,0.039286,0.043869,0.048267,0.052664,0.056801,0.060679,0.064323,0.067701,0.070829,0.073769,0.076493,0.079022,"- -"
Total Alternative Cars,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Total": Reference case,""49-AEO2012.23.ref2012-d020112c,"millions",3.178882,3.576855,4.143935,4.711188,5.360445,6.120867,6.943248,7.815091,8.76137,9.774102,10.800717,11.886787,13.006657,14.205441,15.435823,16.682425,17.967859,19.257284,20.54472,21.784512,23.003366,24.212208,25.436117,26.638792,27.787561,28.894882,29.968647,"8.9%"
Total Car Stock,"Light-Duty Vehicle Stock: Car Stock: Total": Reference case,""49-AEO2012.25.ref2012-d020112c,"millions",131.913956,129.773727,128.636932,127.634987,127.477943,127.974976,129.022293,130.484436,132.103973,133.713318,135.5466,137.605225,139.899353,142.55603,145.404633,148.373993,151.395157,154.449097,157.489594,160.438995,163.251236,165.950302,168.53273,170.99054,173.365921,175.667068,177.868042,"1.3%"
Light Truck Stock,"",""49-AEO2012.27.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Conventional Light Trucks,"",""49-AEO2012.28.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gasoline ICE Vehicles,"Light-Duty Vehicle Stock: Conventional Light Trucks: Gasoline": Reference case,""49-AEO2012.29.ref2012-d020112c,"millions",87.956383,87.043915,86.131584,85.218719,84.715401,84.285973,83.86393,83.415878,82.805031,81.864441,80.828682,79.640968,78.462578,77.358505,76.279182,75.255661,74.248085,73.305183,72.440453,71.668335,70.911835,70.177757,69.405891,68.669823,68.111931,67.661949,67.26519,"-1.0%"
