"Light-Duty Vehicle Stock by Technology Type"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=49-AEO2013&sourcekey=0"
"Thu Jul 06 2017 17:07:59 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2011-2040)"
Car Stock,"",""49-AEO2013.2.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Conventional Cars,"",""49-AEO2013.3.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gasoline ICE Vehicles,"Light-Duty Vehicle Stock: Conventional Cars: Gasoline": Reference case,""49-AEO2013.4.ref2013-d102312a,"millions",125.644875,123.360413,121.99884,120.773575,119.872223,119.312057,119.112457,119.154144,119.216919,119.588615,120.112877,120.621147,121.133354,121.894791,122.705811,123.396988,124.289307,125.334053,126.481133,127.69416,128.964935,130.275742,131.597534,132.916473,134.264496,135.645966,137.042786,138.491272,139.992737,141.532928,143.097366,"0.5%"
TDI Diesel ICE,"Light-Duty Vehicle Stock: Conventional Cars: TDI Diesel": Reference case,""49-AEO2013.5.ref2013-d102312a,"millions",0.702393,1.17695,1.726306,2.269132,2.792942,3.294326,3.78964,4.272301,4.730058,5.201888,5.685087,6.156322,6.623077,6.840676,7.054366,7.321091,7.502866,7.663752,7.801031,7.9234,8.033289,8.127707,8.209302,8.279922,8.341402,8.39776,8.449143,8.501907,8.562593,8.629948,8.706076,"7.1%"
Total Conventional Cars,"Light-Duty Vehicle Stock: Conventional Cars: Total": Reference case,""49-AEO2013.6.ref2013-d102312a,"millions",126.347267,124.537361,123.725143,123.042709,122.665169,122.606384,122.9021,123.426445,123.946976,124.790504,125.797966,126.777466,127.756432,128.735474,129.760178,130.718079,131.792175,132.997803,134.282166,135.617554,136.99823,138.403442,139.806839,141.196396,142.605896,144.043732,145.491928,146.993179,148.555328,150.162872,151.803436,"0.7%"
Alternative-Fuel Cars,"",""49-AEO2013.8.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ethanol-Flex Fuel ICE,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Ethanol-Flex Fuel ICE": Reference case,""49-AEO2013.9.ref2013-d102312a,"millions",1.869017,2.214599,2.232296,2.314227,2.388309,2.453707,2.514417,2.563578,2.602552,2.636568,2.664465,2.684347,2.696832,2.707701,2.716776,2.723036,2.726824,2.73372,2.741938,2.750941,2.760834,2.772142,2.785005,2.799213,2.816232,2.835437,2.857179,2.881537,2.908291,2.936957,2.971066,"1.0%"
100 Mile Electric Vehicle,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: 100 Mile Electric Vehicle": Reference case,""49-AEO2013.10.ref2013-d102312a,"millions",0.009556,0.00991,0.010094,0.010296,0.010546,0.01105,0.01196,0.013181,0.015614,0.018009,0.026274,0.03656,0.050537,0.068708,0.090693,0.123855,0.156946,0.195122,0.238304,0.286782,0.340966,0.400228,0.464717,0.535229,0.612438,0.694407,0.780713,0.871956,0.968395,1.070397,1.178503,"17.9%"
200 Mile Electric Vehicle,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: 200 Mile Electric Vehicle": Reference case,""49-AEO2013.11.ref2013-d102312a,"millions","","","","","","","","","","","","","","","","","","","","","","","",0.000001,0.000001,0.000001,0.000001,0.000002,0.000002,0.000003,0.000004,"- -"
Plug-in 10 Gasoline Hybrid,"Light-Duty Vehicle Stock: Alternative-Fuel Cars: Plug-in 10 Gasoline Hybrid": Reference case,""49-AEO2013.12.ref2013-d102312a,"millions","","","","",0.078813,0.14946,0.197276,0.269917,0.349256,0.415464,0.476283,0.609312,0.742607,0.866551,0.983932,1.156822,1.29246,1.435636,1.579764,1.724493,1.867198,2.004762,2.140264,2.273179,2.405096,2.536289,2.665218,2.792604,2.918293,3.042316,3.164873,"- -"
