Source,Vehicle age,Car,Light truck
tedb35,0,13843,15962
tedb35,1,13580,15670
tedb35,2,13296,15320
tedb35,3,12992,15098
tedb35,4,12672,14528
tedb35,5,12337,14081
tedb35,6,11989,13548
tedb35,7,11630,13112
tedb35,8,11262,12544
tedb35,9,10887,12078
tedb35,10,10509,11595
tedb35,11,10129,11131
tedb35,12,9748,10641
tedb35,13,9370,10153
tedb35,14,8997,9691
tedb35,15,8629,9239
tedb35,16,8270,8797
tedb35,17,7922,8383
tedb35,18,7586,8009
tedb35,19,7265,7666
tedb35,20,6962,7358
tedb35,21,6679,7089
tedb35,22,6416,6862
tedb35,23,6177,6684
tedb35,24,5963,6556
tedb35,25,5778,6481
tedb35,26,5623,6466
tedb35,27,5499,6466
tedb35,28,5410,6466
tedb35,29,5358,6466
tedb35,30,5358,6466
