"Size","Technology","Source","Component","Subcomponent","Cast Aluminum","Cast Iron","HSS/AHSS","Mild steel and other steels","Other","Wrought Aluminum"
"LDV","Glo","Argonne","Glider","Body",0.00171957762409702,0,0.417536825989059,0.383001236781188,0.154535589207871,0.0432067703977849
"LDV","Glo","Argonne","Glider","Exterior",0,0,0.00500000000000001,0.00458643660800382,0.990413563391996,0
"LDV","Glo","Argonne","Glider","Interior",0.0596964410498144,0,0,0.312156140120623,0.598147418829562,0.03
"LDV","Glo","Argonne","Glider","Chassis",0.0258575792542631,0.034048359337603,0.310651015290091,0.448959900849738,0.170483145268305,0.01
"LDV","Glo","Argonne","Glider","Weld blanks and fasteners - G",0,0,0,0.568718139392473,0.431281860607527,0
"LDV","Glo","Argonne","Powertrain","Engine",0.2968504251506,0.380315229485461,0,0.195230246603539,0.1276040987604,0
"LDV","Glo","Argonne","Powertrain","Fuel storage system",0,0,0,0.917287321600763,0.0827126783992366,0
"LDV","Glo","Argonne","Powertrain","Powertrain thermal",0,0,0,0.458643660800382,0.541356339199618,0
"LDV","Glo","Argonne","Powertrain","Fuel cell stack",0,0,0,0,1,0
"LDV","Glo","Argonne","Powertrain","Fuel cell auxiliaries",0,0,0,0.35,0.48,0.17
"LDV","Glo","Argonne","Powertrain","Exhaust",0,0,0,0.917287321600763,0.0827126783992366,0
"LDV","Glo","Argonne","Powertrain","Powertrain electrical",0,0,0,0,1,0
"LDV","Glo","Argonne","Powertrain","Emission controls",0,0,0,0,1,0
"LDV","Glo","Argonne","Powertrain","Weld blanks and fasteners - P",0,0,0,0.917287321600763,0.0827126783992366,0
"LDV","ICEV-G,ICEV-D,FFV,CNG","Argonne","Transmission","Transmission",0.188169262747792,0.23284605886865,0,0.164180376242029,0.11480430214153,0.3
"LDV","HEV,PHEV,BEV,FCV","Argonne","Transmission","Transmission",0,0,0,0.61,0.19,0.2
"LDV","Glo","Argonne","Battery Lead-Acid","Battery Lead-Acid",0,0,0,0,1,0
"LDV","Glo","Argonne","EV Battery","EV Battery",0,0,0,0,1,0
"LDV","Glo","Argonne","Traction Motor","Traction Motor",0.36,0,0,0.36,0.28,0
"LDV","Glo","Argonne","Generator","Generator",0.36,0,0,0.36,0.28,0
"LDV","Glo","Argonne","Electronic Controller","Electronic Controller",0.469,0,0,0.05,0.481,0
"LDV","Glo","Argonne","Fluids","Fluids",0,0,0,0,1,0
"LDV","Glo","Argonne","Wheels","Wheels",1,0,0,0,0,0
"LDV","Glo","Argonne","Wheels","Tires",0,0,0,0.302704816128253,0.697295183871747,0
