Year,Discount_rate,GHG,Value
2020,2.5,CO2,1
2021,2.5,CO2,1.016129032
2022,2.5,CO2,1.032258065
2023,2.5,CO2,1.048387097
2024,2.5,CO2,1.064516129
2025,2.5,CO2,1.096774194
2026,2.5,CO2,1.112903226
2027,2.5,CO2,1.129032258
2028,2.5,CO2,1.14516129
2029,2.5,CO2,1.161290323
2030,2.5,CO2,1.177419355
2031,2.5,CO2,1.193548387
2032,2.5,CO2,1.209677419
2033,2.5,CO2,1.225806452
2034,2.5,CO2,1.241935484
2035,2.5,CO2,1.258064516
2036,2.5,CO2,1.274193548
2037,2.5,CO2,1.306451613
2038,2.5,CO2,1.322580645
2039,2.5,CO2,1.338709677
2040,2.5,CO2,1.35483871
2041,2.5,CO2,1.370967742
2042,2.5,CO2,1.387096774
2043,2.5,CO2,1.403225806
2044,2.5,CO2,1.419354839
2045,2.5,CO2,1.435483871
2046,2.5,CO2,1.451612903
2047,2.5,CO2,1.483870968
2048,2.5,CO2,1.5
2049,2.5,CO2,1.516129032
2050,2.5,CO2,1.532258065
2020,3,CO2,1
2021,3,CO2,1
2022,3,CO2,1.023809524
2023,3,CO2,1.047619048
2024,3,CO2,1.071428571
2025,3,CO2,1.095238095
2026,3,CO2,1.119047619
2027,3,CO2,1.142857143
2028,3,CO2,1.166666667
2029,3,CO2,1.166666667
2030,3,CO2,1.19047619
2031,3,CO2,1.214285714
2032,3,CO2,1.238095238
2033,3,CO2,1.261904762
2034,3,CO2,1.285714286
2035,3,CO2,1.30952381
2036,3,CO2,1.333333333
2037,3,CO2,1.357142857
2038,3,CO2,1.380952381
2039,3,CO2,1.404761905
2040,3,CO2,1.428571429
2041,3,CO2,1.452380952
2042,3,CO2,1.452380952
2043,3,CO2,1.476190476
2044,3,CO2,1.5
2045,3,CO2,1.523809524
2046,3,CO2,1.547619048
2047,3,CO2,1.571428571
2048,3,CO2,1.595238095
2049,3,CO2,1.619047619
2050,3,CO2,1.642857143
2020,5,CO2,1
2021,5,CO2,1
2022,5,CO2,1.083333333
2023,5,CO2,1.083333333
2024,5,CO2,1.083333333
2025,5,CO2,1.166666667
2026,5,CO2,1.166666667
2027,5,CO2,1.25
2028,5,CO2,1.25
2029,5,CO2,1.25
2030,5,CO2,1.333333333
2031,5,CO2,1.333333333
2032,5,CO2,1.416666667
2033,5,CO2,1.416666667
2034,5,CO2,1.5
2035,5,CO2,1.5
2036,5,CO2,1.583333333
2037,5,CO2,1.583333333
2038,5,CO2,1.666666667
2039,5,CO2,1.666666667
2040,5,CO2,1.75
2041,5,CO2,1.75
2042,5,CO2,1.833333333
2043,5,CO2,1.833333333
2044,5,CO2,1.916666667
2045,5,CO2,1.916666667
2046,5,CO2,2
2047,5,CO2,2
2048,5,CO2,2.083333333
2049,5,CO2,2.083333333
2050,5,CO2,2.166666667
2020,2.5,CH4,25.80645161
2021,2.5,CH4,25.80645161
2022,2.5,CH4,27.41935484
2023,2.5,CH4,27.41935484
2024,2.5,CH4,29.03225806
2025,2.5,CH4,29.03225806
2026,2.5,CH4,30.64516129
2027,2.5,CH4,30.64516129
2028,2.5,CH4,32.25806452
2029,2.5,CH4,32.25806452
2030,2.5,CH4,32.25806452
2031,2.5,CH4,33.87096774
2032,2.5,CH4,33.87096774
2033,2.5,CH4,35.48387097
2034,2.5,CH4,35.48387097
2035,2.5,CH4,37.09677419
2036,2.5,CH4,38.70967742
2037,2.5,CH4,38.70967742
2038,2.5,CH4,40.32258065
2039,2.5,CH4,40.32258065
2040,2.5,CH4,41.93548387
2041,2.5,CH4,41.93548387
2042,2.5,CH4,43.5483871
2043,2.5,CH4,43.5483871
2044,2.5,CH4,45.16129032
2045,2.5,CH4,45.16129032
2046,2.5,CH4,46.77419355
2047,2.5,CH4,46.77419355
2048,2.5,CH4,48.38709677
2049,2.5,CH4,48.38709677
2050,2.5,CH4,50
2020,3,CH4,28.57142857
