Vehicle,Type,Make,2011,2012,2013,2014,2015,2016,2017,2018,2019
Audi A3 Plug In,PHEV,Audi,A3 e-tron,A3 e-tron,A3 e-tron,A3 e-tron,A3 e-tron,A3 e-tron,A3 e-tron,A3 e-tron,A3 e-tron
Audi e-Tron,BEV,Audi,e-tron,e-tron,e-tron,e-tron,e-tron,e-tron,e-tron,e-tron,e-tron
BMW Active E,BEV,BMW,Active E,Active E,Active E,Active E,Active E,Active E,Active E,Active E,Active E
BMW i3,BEV,BMW,i3 BEV,i3 BEV,i3 BEV,i3 BEV,i3 BEV,i3 BEV,i3 BEV,i3 BEV,i3 BEV
BMW i8,PHEV,BMW,i8,i8,i8,i8,i8,i8,i8,i8,i8
BMW X5,PHEV,BMW,X5 xDrive40e,X5 xDrive40e,X5 xDrive40e,X5 xDrive40e,X5 xDrive40e,X5 xDrive40e,X5 xDrive40e,X5 xDrive40e,X5 xDrive40e
BMW 3 Series Plug In,PHEV,BMW,330e,330e,330e,330e,330e,330e,330e,330e,330e
BMW 5 Series Plug In,PHEV,BMW,530e,530e,530e,530e,530e,530e,530e,530e,530e
BMW 7 Series Plug In,PHEV,BMW,740e xDrive,740e xDrive,740e xDrive,740e xDrive,740e xDrive,740e xDrive,740e xDrive,740e xDrive,740e xDrive
Cadillac CT6,PHEV,Cadillac,CT6 Plug-In,CT6 Plug-In,CT6 Plug-In,CT6 Plug-In,CT6 Plug-In,CT6 Plug-In,CT6 Plug-In,CT6 Plug-In,CT6 Plug-In
Cadillac ELR,PHEV,Cadillac,ELR,ELR,ELR,ELR,ELR,ELR,ELR,ELR,ELR
Chevrolet Bolt,BEV,Chevrolet,Bolt EV,Bolt EV,Bolt EV,Bolt EV,Bolt EV,Bolt EV,Bolt EV,Bolt EV,Bolt EV
Chevrolet Spark,BEV,Chevrolet,Spark EV,Spark EV,Spark EV,Spark EV,Spark EV,Spark EV,Spark EV,Spark EV,Spark EV
Chevrolet Volt,PHEV,Chevrolet,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt
Chrysler Pacifica,PHEV,Chrysler,Pacifica Hybrid,Pacifica Hybrid,Pacifica Hybrid,Pacifica Hybrid,Pacifica Hybrid,Pacifica Hybrid,Pacifica Hybrid,Pacifica Hybrid,Pacifica Hybrid
Fiat 500E,BEV,Fiat,500e,500e,500e,500e,500e,500e,500e,500e,500e
Ford C-MAX Energi,PHEV,Ford,C-MAX Energi Plug-in Hybrid,C-MAX Energi Plug-in Hybrid,C-MAX Energi Plug-in Hybrid,C-MAX Energi Plug-in Hybrid,C-MAX Energi Plug-in Hybrid,C-MAX Energi Plug-in Hybrid,C-MAX Energi Plug-in Hybrid,C-MAX Energi Plug-in Hybrid,C-MAX Energi Plug-in Hybrid
Ford Focus EV,BEV,Ford,Focus Electric,Focus Electric,Focus Electric,Focus Electric,Focus Electric,Focus Electric,Focus Electric,Focus Electric,Focus Electric
