Data,Vehicle,Type,2011,2012,2013,2014,2015,2016,2017,2018,2019
U.S. Plug-in Electric Vehicle Sales by Model,Audi A3 Plug In,PHEV,,,,,,4280,2877,2597,437
U.S. Plug-in Electric Vehicle Sales by Model,Audi e-Tron,BEV,,,,,,,,,5369
U.S. Plug-in Electric Vehicle Sales by Model,BMW Active E,BEV,,965,,,,,,,
U.S. Plug-in Electric Vehicle Sales by Model,BMW i3,BEV,,,,6092,11004,7625,6276,6117,4854
U.S. Plug-in Electric Vehicle Sales by Model,BMW i8,PHEV,,,,555,2265,1594,488,772,1102
U.S. Plug-in Electric Vehicle Sales by Model,BMW X5,PHEV,,,,,774,5995,5349,4434,165
U.S. Plug-in Electric Vehicle Sales by Model,BMW 3 Series Plug In,PHEV,,,,,54,851,4141,2600,719
U.S. Plug-in Electric Vehicle Sales by Model,BMW 5 Series Plug In,PHEV,,,,,,,3759,8664,5862
U.S. Plug-in Electric Vehicle Sales by Model,BMW 7 Series Plug In,PHEV,,,,,,23,707,339,87
U.S. Plug-in Electric Vehicle Sales by Model,Cadillac CT6,PHEV,,,,,,,205,231,24
U.S. Plug-in Electric Vehicle Sales by Model,Cadillac ELR,PHEV,,,6,1310,1024,534,17,,
U.S. Plug-in Electric Vehicle Sales by Model,Chevrolet Bolt,BEV,,,,,,579,23297,18019,16418
U.S. Plug-in Electric Vehicle Sales by Model,Chevrolet Spark,BEV,,,560,1145,2629,3035,23,,
U.S. Plug-in Electric Vehicle Sales by Model,Chevrolet Volt,PHEV,7671,23461,23094,18805,15393,24739,20349,18306,4910
U.S. Plug-in Electric Vehicle Sales by Model,Chrysler Pacifica,PHEV,,,,,,,2764,7062,5723
U.S. Plug-in Electric Vehicle Sales by Model,Fiat 500E,BEV,,,260,1503,3477,3737,3336,2250,615
U.S. Plug-in Electric Vehicle Sales by Model,Ford C-MAX Energi,PHEV,,2374,7154,8433,7591,7957,8140,582,
U.S. Plug-in Electric Vehicle Sales by Model,Ford Focus EV,BEV,,683,1738,1964,1582,901,1817,560,
U.S. Plug-in Electric Vehicle Sales by Model,Ford Fusion Energi,PHEV,,,6089,11550,9750,15938,9632,8074,5646
U.S. Plug-in Electric Vehicle Sales by Model,Jaguar I-Pace,BEV,,,,,,,,393,2594
U.S. Plug-in Electric Vehicle Sales by Model,Honda Accord,PHEV,,,526,449,63,,,,
U.S. Plug-in Electric Vehicle Sales by Model,Honda Clarity BEV,BEV,,,,,,,1111,948,742
U.S. Plug-in Electric Vehicle Sales by Model,Honda Clarity Plug-in,PHEV,,,,,,,898,18602,10728
U.S. Plug-in Electric Vehicle Sales by Model,Honda Fit EV,BEV,,93,569,407,2,,,,
U.S. Plug-in Electric Vehicle Sales by Model,Hyundai Kona,BEV,,,,,,,,,1461
U.S. Plug-in Electric Vehicle Sales by Model,Hyundai Sonata Plug-in,PHEV,,,,,,3000,2254,460,463
U.S. Plug-in Electric Vehicle Sales by Model,Hyundai Ioniq EV,BEV,,,,,,,427,345,704
U.S. Plug-in Electric Vehicle Sales by Model,Hyundai Ioniq Plug-in,PHEV,,,,,,,,1590,1621
U.S. Plug-in Electric Vehicle Sales by Model,Kia Niro Plug-in,PHEV,,,,,,,,3389,3881
U.S. Plug-in Electric Vehicle Sales by Model,Kia Niro EV,BEV,,,,,,,,,1166
U.S. Plug-in Electric Vehicle Sales by Model,Kia Optima Plug-in,PHEV,,,,,,,1542,965,335
U.S. Plug-in Electric Vehicle Sales by Model,Kia Soul EV,BEV,,,,250,1015,1728,2157,1134,87
U.S. Plug-in Electric Vehicle Sales by Model,Mercedes B-Class Electric,BEV,,,,774,1906,632,744,135,9
U.S. Plug-in Electric Vehicle Sales by Model,Mercedes C350We Plug-in Hybrid,PHEV,,,,,,171,810,2288,2172
U.S. Plug-in Electric Vehicle Sales by Model,Mercedes GLC 350e,PHEV,,,,,,,,,2459
U.S. Plug-in Electric Vehicle Sales by Model,Mercedes GLE 550e Hybrid,PHEV,,,,,,212,430,966,1509
U.S. Plug-in Electric Vehicle Sales by Model,Mercedes S550 Plug In,PHEV,,,,,118,550,583,96,371
U.S. Plug-in Electric Vehicle Sales by Model,Mini Cooper Countryman Plug In,PHEV,,,,,,,475,1564,524
U.S. Plug-in Electric Vehicle Sales by Model,Mitsubishi i-MiEV,BEV,76,588,1029,196,115,94,6,,
U.S. Plug-in Electric Vehicle Sales by Model,Mitsubishi Outlander,PHEV,,,,,,,,4166,2810
U.S. Plug-in Electric Vehicle Sales by Model,Nissan LEAF,BEV,9674,9819,22610,30200,17269,14006,11230,14715,12365
U.S. Plug-in Electric Vehicle Sales by Model,Porsche Cayenne S E-Hybrid,PHEV,,,,112,1163,2111,1574,1022,1140
U.S. Plug-in Electric Vehicle Sales by Model,Porsche Panamera S E-Hybrid,PHEV,,,51,879,407,393,18,2036,2060
U.S. Plug-in Electric Vehicle Sales by Model,Porsche Taycan,BEV,,,,,,,,,130
U.S. Plug-in Electric Vehicle Sales by Model,Smart ED,BEV,310,2,,,,,,1219,680
U.S. Plug-in Electric Vehicle Sales by Model,Smart for Two EV,BEV,,137,923,2594,1387,657,543,,
U.S. Plug-in Electric Vehicle Sales by Model,Subaru Crosstrek Hybrid,PHEV,,,,,,,,,970
U.S. Plug-in Electric Vehicle Sales by Model,Tesla Model 3,BEV,,,,,,,1770,139782,158925
U.S. Plug-in Electric Vehicle Sales by Model,Tesla Model S,BEV,,2171,19000,16750,26200,30200,26500,25745,14100
U.S. Plug-in Electric Vehicle Sales by Model,Tesla Model X,BEV,,,,,208,19600,21700,26100,19225
U.S. Plug-in Electric Vehicle Sales by Model,Toyota Prius Prime,PHEV,,12749,12088,13264,4191,2474,20936,27595,23630
U.S. Plug-in Electric Vehicle Sales by Model,Toyota RAV4 EV,BEV,,192,1005,1184,18,,,,
U.S. Plug-in Electric Vehicle Sales by Model,Volvo S90 Plug In ,PHEV,,,,,,,112,437,456
U.S. Plug-in Electric Vehicle Sales by Model,Volvo XC60,PHEV,,,,,,,518,2267,1603
U.S. Plug-in Electric Vehicle Sales by Model,Volvo XC90,PHEV,,,,,86,2015,2196,1387,1672
U.S. Plug-in Electric Vehicle Sales by Model,VW e-Golf,BEV,,,,357,4232,3937,3534,1354,4863
