IAM,SSP_scenario,Mitigation_scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM4,SSP1,baseline,USA,GDP|MER,billion US$2005/yr,13644.1704,17940,22908,27876,32292,36432,40848,45126,49266,53130
GCAM4,SSP1,baseline,USA,GDP|PPP,billion US$2005/yr,13168.77343,17314.9256,22109.82808,26904.73055,31166.86609,35162.61815,39424.75368,43553.69748,47549.44954,51278.81813
GCAM4,SSP1,baseline,USA,Population,million,314.242,340.456,367.213,392.065,414.016,434.591,453.285,467.265,472.314,467.93
GCAM4,SSP1,baseline,USA,Primary Energy,EJ/yr,86.84148703,93.7798842,100.7202035,104.7640457,106.9100844,109.9447335,111.3999533,111.2639308,110.0251921,107.1699211
GCAM4,SSP1,baseline,USA,Primary Energy|Biomass,EJ/yr,2.79882,4.03239,5.70645,7.28184,8.74849,10.7334,11.6466,12.2199,12.361,12.1892
GCAM4,SSP1,baseline,USA,Primary Energy|Biomass|Traditional,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Primary Energy|Biomass|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Primary Energy|Biomass|w/o CCS,EJ/yr,2.79882,4.03239,5.70645,7.28184,8.74849,10.7334,11.6466,12.2199,12.361,12.1892
GCAM4,SSP1,baseline,USA,Primary Energy|Coal,EJ/yr,20.9225,23.6172,25.8568,25.9631,25.975,27.8367,28.6111,28.0654,27.9044,26.4972
GCAM4,SSP1,baseline,USA,Primary Energy|Coal|w/ CCS,EJ/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Primary Energy|Coal|w/o CCS,EJ/yr,20.9225,23.6172,25.8568,25.9631,25.975,27.8367,28.6111,28.0654,27.9044,26.4972
GCAM4,SSP1,baseline,USA,Primary Energy|Fossil,EJ/yr,79.65724,83.62231,87.15828,87.78686,87.30908,87.25369,86.6345,84.1227,81.0923,76.9937
