model,scenario,region,Variable,Unit,X2010,X2020,X2030,X2040,X2050,X2060,X2070,X2080,X2090,X2100
GCAM4,SSP1-Ref-SPA0-V17,USA,Emissions|CO2,Mt CO2/yr,4958.388197,5445.780295,5516.126428,5700.431926,5696.538235,5936.0278,5879.995402,5701.053445,5511.720717,5179.557418
GCAM4,SSP1-Ref-SPA0-V17,World,Emissions|CO2,Mt CO2/yr,35775.43167,36838.78221,41740.18445,46587.93071,48042.78214,49156.29381,48076.49646,44057.05718,39667.8823,34839.84627
GCAM4,SSP1-45-SPA1-V17,USA,Emissions|CO2,Mt CO2/yr,4958.388197,5130.670994,5195.438787,5186.472905,5032.341804,4913.625078,4561.677112,3738.858464,2885.159818,2471.410377
GCAM4,SSP1-45-SPA1-V17,World,Emissions|CO2,Mt CO2/yr,35775.43167,35526.56048,37863.67064,39249.54715,37248.00758,35779.83325,32498.6574,24544.54224,17402.23779,15369.05912
GCAM4,SSP1-34-SPA1-V17,USA,Emissions|CO2,Mt CO2/yr,4958.388197,5130.670994,5080.24958,4906.737944,4506.147088,4076.668411,3159.068378,1921.976559,698.681323,-871.9798548
GCAM4,SSP1-34-SPA1-V17,World,Emissions|CO2,Mt CO2/yr,35775.43167,35526.56048,34640.07409,33537.16666,30082.26598,27347.87914,20878.86653,11018.50548,4100.073619,-1345.64382
GCAM4,SSP1-26-SPA-1-V17,USA,Emissions|CO2,Mt CO2/yr,4958.388197,5130.670994,4728.10222,4162.35943,3181.391696,2167.389562,961.964588,-640.6306191,-2507.780706,-3789.661994
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2,Mt CO2/yr,35775.43167,35526.56077,28026.92351,23573.063,17766.7692,11324.00927,4920.97541,-555.5890482,-5880.160665,-10963.87157
GCAM4,SSP1-19-SPA1-V18,USA,Emissions|CO2,Mt CO2/yr,4958.388197,5404.43973,3868.734267,2778.90352,1471.647157,181.1481587,-1466.23899,-3122.180248,-4128.644974,-4578.922152
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2,Mt CO2/yr,35775.43172,37684.35973,19308.13258,10579.88731,3262.704401,-633.599659,-4335.441436,-8420.983075,-12963.8288,-17674.16641
GCAM4,SSP2-Ref-SPA0-V17,USA,Emissions|CO2,Mt CO2/yr,4958.387024,6130.405137,6575.421597,7126.52417,7378.980174,7806.968091,7933.102691,7795.164437,7778.620936,7792.33083
GCAM4,SSP2-Ref-SPA0-V17,World,Emissions|CO2,Mt CO2/yr,35775.42842,41468.53817,49521.21437,56866.99413,61923.48987,67511.0112,71213.26177,72604.28155,73788.76961,75357.35645
GCAM4,SSP2-60-SPA2-V17,USA,Emissions|CO2,Mt CO2/yr,4958.387024,5755.246637,5615.572137,6031.659536,6156.991913,6226.000078,6005.229792,5334.559402,4404.834105,3097.018517
GCAM4,SSP2-60-SPA2-V17,World,Emissions|CO2,Mt CO2/yr,35775.42842,39892.55839,46337.37841,50605.30403,51972.22114,51829.27792,50229.51275,45525.53142,38529.8131,28723.42246
GCAM4,SSP2-45-SPA2-V17,USA,Emissions|CO2,Mt CO2/yr,4958.387024,5755.246637,5615.572137,5816.751982,4716.71035,3355.439188,2385.199637,1094.114987,27.86041458,-1144.519226
GCAM4,SSP2-45-SPA2-V17,World,Emissions|CO2,Mt CO2/yr,35775.42842,39892.55843,46337.3786,42790.41028,32301.73394,20978.69743,12694.57321,9462.231031,8865.920301,6128.501101
