model,scenario,region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2,Mt CO2/yr,35775.43167,35526.56077,28026.92351,23573.063,17766.7692,11324.00927,4920.97541,-555.5890482,-5880.160665,-10963.87157
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,32646.98008,37041.88874,37631.79593,36715.31763,31831.34666,22695.41549,13375.93121,4621.378077,-2491.657334,-7917.314332
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,19347.72179,20933.75535,21147.22681,21557.16127,20448.50622,17746.75669,13953.75781,9687.864324,5608.745109,2366.009579
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,9307.491622,9895.01475,9171.065192,8598.112129,7257.031774,5236.234206,3000.754699,1018.452327,-620.824306,-1906.709013
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2853.628947,3225.666354,3633.015337,4007.195594,3932.936122,3314.759727,2308.077482,1326.736941,589.9471207,231.4508454
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial and Industry,Mt CO2/yr,12161.12057,13120.6811,12804.08053,12605.30772,11189.9679,8550.993933,5308.832181,2345.189268,-30.87718527,-1675.258167
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,7186.601323,7813.074401,8343.146741,8951.854186,9258.538886,9195.763101,8644.927035,7342.677564,5639.62361,4041.269522
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,13299.2591,16108.13455,16484.56992,15158.15833,11382.84221,4948.659471,-577.8259547,-5066.486039,-8100.402373,-10283.32387
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,11668.83114,14040.84956,14249.60618,12944.55388,9489.883033,3923.62256,12.32357867,-1544.778616,-2049.18875,-2512.886383
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2|Land Use,Mt CO2/yr,3128.451586,-1515.327972,-9604.872418,-13142.25463,-14064.57746,-11371.40622,-8454.955801,-5176.967125,-3388.503331,-3046.557235
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,1813.315031,2360.500853,3368.032378,4188.269946,5118.544186,6943.893789,9416.931518,12292.0865,14457.37098,16216.80975
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass,Mt CO2/yr,0,46.09077816,229.0168681,427.8560287,680.0789501,1486.445753,3376.110089,6363.896502,8750.973731,10561.47249
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy,Mt CO2/yr,0,46.09077816,229.0168681,427.8560287,680.0789501,1486.445753,3376.110089,6363.896502,8750.973731,10561.47249
GCAM4,SSP1-26-SPA-1-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
