MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM/CGE,SSP1-19,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,1753.16,1812.864,1901.4266,1655.6136,1300.0583,1130.7862,1042.235,999.23363,975.9356,961.10566,948.4793
AIM/CGE,SSP1-19,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.5053,413.94753,428.61405,430.16544,425.37712,417.82477,409.71485,402.37698,396.12275,390.8121
AIM/CGE,SSP1-19,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,319.855,323.68957,331.0723,335.51956,336.18643,336.18959,335.71871,334.97234,334.07633,333.03675,331.81657
AIM/CGE,SSP1-19,World,Diagnostics|MAGICC6|Forcing,W/m2,1.8709164,2.1389874,2.6451627,2.9470729,2.7947198,2.6067095,2.4072379,2.2442151,2.113304,2.0075565,1.9169489
AIM/CGE,SSP1-19,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,-1.11516835,-1.05162144,-0.90499564,-0.58874168,-0.47917045,-0.40531036,-0.385632881,-0.369056827,-0.353076028,-0.336667214,-0.321807
AIM/CGE,SSP1-19,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,0.562304717,0.58827586,0.626004579,0.518875351,0.348243154,0.258536718,0.208843026,0.183926875,0.170196455,0.16136851,0.15379685
AIM/CGE,SSP1-19,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,1.6897843,1.837859,2.1498914,2.3362492,2.3555876,2.2956741,2.1997913,2.0948806,1.9981519,1.9143051,1.8420624
AIM/CGE,SSP1-19,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,0.021105041,0.031102416,0.056934483,0.072425774,0.066802573,0.054934535,0.048376179,0.044595167,0.042280395,0.040555985,0.038881788
AIM/CGE,SSP1-19,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,2.3467499,2.5390686,2.9321929,3.0564371,2.9265957,2.7782349,2.6319021,2.4996234,2.3860808,2.2897489,2.2055786
AIM/CGE,SSP1-19,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,0.15571104,0.16780423,0.1908844,0.2046617,0.20671962,0.20672937,0.20527647,0.20297146,0.20020089,0.19698162,0.19319661
AIM/CGE,SSP1-19,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.91338626,0.98926686,1.2507893,1.5080144,1.569444,1.5580587,1.508667,1.4563461,1.411167,1.3726627,1.3336911
AIM/CGE,SSP1-26,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,1753.16,1812.864,1905.9962,1774.2605,1503.4857,1344.1234,1269.7667,1226.0747,1193.0086,1167.7255,1143.6023
AIM/CGE,SSP1-26,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.5053,413.92383,433.69066,445.11075,449.64181,450.50481,448.3633,444.7302,440.97271,437.45257
AIM/CGE,SSP1-26,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,319.855,323.68957,330.98613,335.60553,336.78328,337.76392,339.0719,339.9677,340.3684,340.41325,340.04549
AIM/CGE,SSP1-26,World,Diagnostics|MAGICC6|Forcing,W/m2,1.8709164,2.138996,2.6435819,3.0136217,3.0678393,3.0241041,2.963604,2.8987517,2.8221155,2.7533729,2.6886162
AIM/CGE,SSP1-26,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,-1.11516835,-1.05161295,-0.90845958,-0.66761326,-0.52568666,-0.43461922,-0.40047361,-0.370847529,-0.351667755,-0.333216337,-0.316660994
AIM/CGE,SSP1-26,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,0.562304717,0.58827586,0.627926555,0.571534536,0.448434125,0.370593909,0.332651949,0.309822829,0.292266211,0.278672572,0.265560695
AIM/CGE,SSP1-26,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,1.6897843,1.837859,2.149585,2.3992718,2.5383894,2.5925994,2.6028624,2.5773586,2.5338113,2.4883972,2.4454994
AIM/CGE,SSP1-26,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,0.021105041,0.031102416,0.056939418,0.072544224,0.066722876,0.054760607,0.048167687,0.044367646,0.042036258,0.040293136,0.038601995
AIM/CGE,SSP1-26,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,2.3467499,2.5390686,2.9332627,3.164766,3.196669,3.1755038,3.1508067,3.1047625,3.0451228,2.9864964,2.9295841
AIM/CGE,SSP1-26,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,0.15571104,0.16780423,0.19061654,0.2049271,0.20855968,0.21157938,0.21560016,0.21834936,0.2195779,0.21971537,0.21858793
AIM/CGE,SSP1-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.91338626,0.98926837,1.2507088,1.5173531,1.6674238,1.7377047,1.7697079,1.7867216,1.7888925,1.7861682,1.7742532
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,1753.16,1812.864,1905.9812,1847.2733,1659.4387,1499.7248,1392.1959,1328.9858,1290.4411,1261.1969,1233.173
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.5053,413.92417,436.28954,455.83225,471.34903,482.74205,490.25119,495.03269,498.29421,500.53619
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,319.855,323.68957,330.98613,336.58598,339.95035,342.732,345.09536,346.82842,348.09864,348.92317,349.24922
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Forcing,W/m2,1.8709164,2.138996,2.6447454,3.071848,3.2919512,3.4193572,3.4699599,3.5017152,3.5159729,3.5184565,3.5138687
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,-1.11516835,-1.05161295,-0.91048488,-0.71268056,-0.58754499,-0.47500875,-0.434174,-0.40055473,-0.37276502,-0.34802796,-0.32734916
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,0.562304717,0.58827586,0.627920259,0.603044653,0.520602714,0.44664738,0.394551934,0.362958851,0.343313573,0.32820645,0.31355983
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,1.6897843,1.837859,2.1495894,2.4312503,2.6657857,2.8449519,2.9727864,3.055403,3.107353,3.1425015,3.1665296
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,0.021105041,0.031102416,0.060027874,0.092708301,0.11391213,0.12125377,0.11827055,0.10930065,0.095472329,0.079077653,0.067370557
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,2.3467499,2.5390686,2.9363502,3.2468102,3.4425681,3.5744879,3.662086,3.7140351,3.73924,3.7475945,3.7483981
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,0.15571104,0.16780423,0.19061654,0.2079516,0.21829614,0.22680985,0.23401577,0.23928405,0.24313685,0.24563397,0.24662062
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.91338626,0.98926837,1.2512823,1.529772,1.7452652,1.9043985,2.0093936,2.0889336,2.1518834,2.2006799,2.2340344
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,1753.16,1812.864,1899.046,1945.0775,2051.3556,2095.2994,1926.3772,1683.4476,1515.1305,1417.1037,1347.9852
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.5053,413.64511,437.82604,462.97312,486.37622,507.56167,526.24157,541.87416,554.67104,565.17811
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,319.855,323.68957,330.84987,337.5978,345.10846,352.83325,358.47853,361.98131,364.06521,365.14164,365.33515
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Forcing,W/m2,1.8709164,2.1392831,2.6418855,3.1287558,3.5832345,3.9718126,4.1694533,4.2657703,4.3254762,4.3697589,4.4032043
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,-1.11516835,-1.05131795,-0.90584865,-0.74057204,-0.63845816,-0.51660511,-0.47015354,-0.42955178,-0.39480055,-0.36495733,-0.34008681
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,0.562304717,0.58827586,0.625002359,0.644268465,0.68787494,0.70556564,0.636470153,0.531398473,0.453951924,0.406798183,0.372534583
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,1.6897843,1.837859,2.1459796,2.450067,2.7489841,3.0129294,3.241133,3.4345802,3.5912633,3.7161958,3.8166374
