MODEL,SCENARIO,REGION,VARIABLE,UNIT,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
IIASA-WiC POP,SSP3_v9_130115,USA,Population,million,,,,,,,,,,,,,310.383948,320.5893799,328.7737701,334.2483497,337.3472851,338.8968652,338.9179407,337.2772387,334.2320399,330.4214616,326.1079963,321.1353579,315.3132724,308.4939361,300.5742641,291.7309047,282.2320423,272.218958,261.7740264,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female,million,,,,,,,,,,,,,157.244385,162.1959707,166.2099861,168.9780419,170.6544386,171.5732878,171.6967662,170.9239337,169.3929155,167.4744716,165.3414579,162.9432473,160.1772978,156.9033161,153.0566421,148.6974137,143.9772295,138.9859332,133.7490793,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged0-4,million,,,,,,,,,,,,,10.583318,9.442052445,9.332528506,8.916138694,8.313134623,8.217815844,8.101839654,7.777520051,7.319880356,6.978654785,6.669190112,6.427819947,6.227115098,5.983741386,5.679322956,5.362183702,5.071645633,4.817995576,4.586866449,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged0-4|No Education,million,,,,,,,,,,,,,10.583318,9.442052445,9.332528506,8.916138694,8.313134623,8.217815844,8.101839654,7.777520051,7.319880356,6.978654785,6.669190112,6.427819947,6.227115098,5.983741386,5.679322956,5.362183702,5.071645633,4.817995576,4.586866449,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged10-14,million,,,,,,,,,,,,,9.661107,10.30651221,10.84428715,9.660181296,9.499494091,9.06723921,8.449580596,8.349071094,8.230519391,7.901859308,7.436647549,7.079845228,6.750648453,6.492675449,6.277240621,6.019705505,5.701742527,5.371707808,5.069687193,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged10-14|No Education,million,,,,,,,,,,,,,9.661107,10.30651221,10.84428715,9.660181296,9.499494091,9.06723921,8.449580596,8.349071094,8.230519391,7.901859308,7.436647549,7.079845228,6.750648453,6.492675449,6.277240621,6.019705505,5.701742527,5.371707808,5.069687193,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged100+,million,,,,,,,,,,,,,0.048266,0.079815372,0.116109742,0.148582974,0.164090188,0.155587896,0.171515718,0.218292101,0.302452529,0.381321883,0.465026894,0.537417713,0.559013992,0.624147731,0.709980492,0.881283873,1.037423538,1.176707786,1.254752914,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged100+|No Education,million,,,,,,,,,,,,,9.92E-04,0.001501312,0.001882133,0.002118652,0.00224299,0.001896197,0.001768832,0.001482208,0.001628708,0.001888582,0.001956955,0.002213881,0.001888381,0.001856729,0.002198191,0.002214243,0.00128257,0.001142769,0.001161386,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged100+|Primary Education,million,,,,,,,,,,,,,0.012220701,0.016795467,0.018127563,0.01804792,0.01640683,0.012650046,0.010448205,0.00934159,0.00981816,0.010188017,0.011534048,0.013276375,0.014055779,0.016091913,0.011873372,0.01354367,0.015439089,0.017381531,0.018477895,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged100+|Secondary Education,million,,,,,,,,,,,,,0.030862336,0.053242795,0.079905332,0.10617824,0.117068389,0.110276053,0.118736837,0.14303278,0.180509447,0.216073453,0.264977778,0.300064525,0.295707061,0.318480928,0.352740202,0.453157952,0.538826135,0.612096751,0.652691541,,,,,,,,,,
