"Year","Unit","Source","Region","Aeo_year","Aeo_case","Value","Mix"
2020,"BkWh","Coal","BASN",2021,"REF",38.714302,0.334615321054647
2021,"BkWh","Coal","BASN",2021,"REF",40.041809,0.346242247613192
2022,"BkWh","Coal","BASN",2021,"REF",39.031994,0.342318490552032
2023,"BkWh","Coal","BASN",2021,"REF",37.779976,0.329764755031329
2024,"BkWh","Coal","BASN",2021,"REF",34.763775,0.283272028221782
2025,"BkWh","Coal","BASN",2021,"REF",34.209179,0.263878665477176
2026,"BkWh","Coal","BASN",2021,"REF",35.484898,0.259969524758665
2027,"BkWh","Coal","BASN",2021,"REF",34.93729,0.260053044962007
2028,"BkWh","Coal","BASN",2021,"REF",34.98587,0.261323346012809
2029,"BkWh","Coal","BASN",2021,"REF",31.489277,0.234096707339717
2030,"BkWh","Coal","BASN",2021,"REF",31.492624,0.22491653124532
2031,"BkWh","Coal","BASN",2021,"REF",27.920465,0.195600074817184
2032,"BkWh","Coal","BASN",2021,"REF",27.898628,0.193026809213713
2033,"BkWh","Coal","BASN",2021,"REF",27.954857,0.193134361986508
2034,"BkWh","Coal","BASN",2021,"REF",27.860165,0.190583102513777
2035,"BkWh","Coal","BASN",2021,"REF",27.837709,0.189864131280845
2036,"BkWh","Coal","BASN",2021,"REF",27.822329,0.188070418431792
2037,"BkWh","Coal","BASN",2021,"REF",27.80232,0.187165454100665
2038,"BkWh","Coal","BASN",2021,"REF",21.655355,0.148284105415117
2039,"BkWh","Coal","BASN",2021,"REF",21.643074,0.144278677375628
2040,"BkWh","Coal","BASN",2021,"REF",21.629419,0.142028279909971
2041,"BkWh","Coal","BASN",2021,"REF",21.616816,0.140784279772508
2042,"BkWh","Coal","BASN",2021,"REF",21.604778,0.139030395213902
2043,"BkWh","Coal","BASN",2021,"REF",21.593018,0.137021869555467
2044,"BkWh","Coal","BASN",2021,"REF",21.578512,0.13536680676759
2045,"BkWh","Coal","BASN",2021,"REF",21.565353,0.137369292375443
2046,"BkWh","Coal","BASN",2021,"REF",21.551233,0.135838492621127
2047,"BkWh","Coal","BASN",2021,"REF",21.538166,0.13285855487487
2048,"BkWh","Coal","BASN",2021,"REF",21.506521,0.133343125811294
2049,"BkWh","Coal","BASN",2021,"REF",21.512472,0.129129708510485
2050,"BkWh","Coal","BASN",2021,"REF",21.499601,0.127401330771298
2020,"BkWh","Distributed Generation","BASN",2021,"REF",0,0
2021,"BkWh","Distributed Generation","BASN",2021,"REF",0,0
2022,"BkWh","Distributed Generation","BASN",2021,"REF",0.085604,0.000750764413040649
2023,"BkWh","Distributed Generation","BASN",2021,"REF",0.096398,0.000841415644507293
2024,"BkWh","Distributed Generation","BASN",2021,"REF",0.129981,0.00105914796365744
2025,"BkWh","Distributed Generation","BASN",2021,"REF",0.163432,0.00126066217655401
2026,"BkWh","Distributed Generation","BASN",2021,"REF",0.192318,0.00140896048404977
2027,"BkWh","Distributed Generation","BASN",2021,"REF",0.220805,0.00164354512307154
2028,"BkWh","Distributed Generation","BASN",2021,"REF",0.249688,0.00186501875240622
2029,"BkWh","Distributed Generation","BASN",2021,"REF",0.278422,0.00206983708933484
2030,"BkWh","Distributed Generation","BASN",2021,"REF",0.308296,0.0022018129361595
2031,"BkWh","Distributed Generation","BASN",2021,"REF",0.33978,0.00238036842944352
2032,"BkWh","Distributed Generation","BASN",2021,"REF",0.36931,0.00255520561479641
2033,"BkWh","Distributed Generation","BASN",2021,"REF",0.398995,0.00275657445719743
2034,"BkWh","Distributed Generation","BASN",2021,"REF",0.43028,0.0029434175048722
2035,"BkWh","Distributed Generation","BASN",2021,"REF",0.461961,0.00315075583089939
2036,"BkWh","Distributed Generation","BASN",2021,"REF",0.493555,0.00333628055972967
2037,"BkWh","Distributed Generation","BASN",2021,"REF",0.527601,0.00355181440789707
2038,"BkWh","Distributed Generation","BASN",2021,"REF",0.562069,0.00384874313289111
2039,"BkWh","Distributed Generation","BASN",2021,"REF",0.597064,0.003980192657873
2040,"BkWh","Distributed Generation","BASN",2021,"REF",0.633084,0.00415710803690678
2041,"BkWh","Distributed Generation","BASN",2021,"REF",0.669359,0.00435934805219445
2042,"BkWh","Distributed Generation","BASN",2021,"REF",0.707884,0.00455535309298703
2043,"BkWh","Distributed Generation","BASN",2021,"REF",0.74886,0.00475200813685733
2044,"BkWh","Distributed Generation","BASN",2021,"REF",0.791527,0.00496542497741875
2045,"BkWh","Distributed Generation","BASN",2021,"REF",0.833635,0.00531017739655838
2046,"BkWh","Distributed Generation","BASN",2021,"REF",0.877264,0.00552943858900232
2047,"BkWh","Distributed Generation","BASN",2021,"REF",0.921137,0.00568204974656491
2048,"BkWh","Distributed Generation","BASN",2021,"REF",0.966602,0.00599305355317341
2049,"BkWh","Distributed Generation","BASN",2021,"REF",1.012351,0.00607668842243226
2050,"BkWh","Distributed Generation","BASN",2021,"REF",1.060866,0.0062864301607283
2020,"BkWh","Natural Gas","BASN",2021,"REF",47.34153,0.409182148245065
