"Model_year","Size","Technology","Fuel_type","Value","Source","Unit"
"1975","All","All","Gasoline","18.0107149879393","epa","L/100km"
"1975","Car","All","Gasoline","17.4817916337844","epa","L/100km"
"1975","Light truck","All","Gasoline","20.2173171015721","epa","L/100km"
"1976","All","All","Gasoline","16.5395246676824","epa","L/100km"
"1976","Car","All","Gasoline","15.8272230610993","epa","L/100km"
"1976","Light truck","All","Gasoline","19.2056861099695","epa","L/100km"
"1977","All","All","Gasoline","15.6107932492795","epa","L/100km"
"1977","Car","All","Gasoline","15.0917275577673","epa","L/100km"
"1977","Light truck","All","Gasoline","17.705564904198","epa","L/100km"
"1978","All","All","Gasoline","14.8514932675491","epa","L/100km"
"1978","Car","All","Gasoline","13.8871230001884","epa","L/100km"
"1978","Light truck","All","Gasoline","18.1652483301663","epa","L/100km"
"1979","All","All","Gasoline","14.7815510072132","epa","L/100km"
"1979","Car","All","Gasoline","13.6434078644277","epa","L/100km"
"1979","Light truck","All","Gasoline","18.786473179653","epa","L/100km"
"1980","All","All","Gasoline","12.2731747273792","epa","L/100km"
"1980","Car","All","Gasoline","11.7537861156982","epa","L/100km"
"1980","Light truck","All","Gasoline","14.9064686101332","epa","L/100km"
"1981","All","All","Gasoline","11.4623782150297","epa","L/100km"
"1981","Car","All","Gasoline","10.9830858102346","epa","L/100km"
"1981","Light truck","All","Gasoline","13.7616741474369","epa","L/100km"
"1982","All","All","Gasoline","11.1623944764743","epa","L/100km"
"1982","Car","All","Gasoline","10.5917187301526","epa","L/100km"
"1982","Light truck","All","Gasoline","13.5135566453055","epa","L/100km"
"1983","All","All","Gasoline","11.2261433911831","epa","L/100km"
"1983","Car","All","Gasoline","10.6504396896345","epa","L/100km"
"1983","Light truck","All","Gasoline","13.2669276567322","epa","L/100km"
"1984","All","All","Gasoline","11.2005694474771","epa","L/100km"
"1984","Car","All","Gasoline","10.4898639714611","epa","L/100km"
"1984","Light truck","All","Gasoline","13.518954652112","epa","L/100km"
"1985","All","All","Gasoline","11.0328768103443","epa","L/100km"
"1985","Car","All","Gasoline","10.2317012861912","epa","L/100km"
"1985","Light truck","All","Gasoline","13.4667945242995","epa","L/100km"
"1986","All","All","Gasoline","10.7677614524223","epa","L/100km"
"1986","Car","All","Gasoline","9.92808218053099","epa","L/100km"
"1986","Car","ICEV-G","Gasoline","9.92433099374693","epa","L/100km"
"1986","Car","ICEV-D","Diesel","5.98984873636045","epa","L/100km"
"1986","Light truck","All","Gasoline","12.934742128304","epa","L/100km"
"1987","All","All","Gasoline","10.7052091609442","epa","L/100km"
"1987","Car","All","Gasoline","9.89971828489524","epa","L/100km"
"1987","Car","ICEV-G","Gasoline","9.8820465355675","epa","L/100km"
"1987","Car","ICEV-D","Diesel","7.99946973157464","epa","L/100km"
"1987","Light truck","All","Gasoline","12.8640857972747","epa","L/100km"
"1988","All","All","Gasoline","10.7583054761967","epa","L/100km"
"1988","Car","All","Gasoline","9.7652878144042","epa","L/100km"
"1988","Car","ICEV-G","Gasoline","9.74044728558416","epa","L/100km"
"1988","Car","ICEV-D","Diesel","6.55752447356469","epa","L/100km"
"1988","Light truck","All","Gasoline","13.1783258245044","epa","L/100km"
"1989","All","All","Gasoline","10.9808195110379","epa","L/100km"
"1989","Car","All","Gasoline","9.94594486887307","epa","L/100km"
"1989","Car","ICEV-G","Gasoline","9.92209728763206","epa","L/100km"
"1989","Car","ICEV-D","Diesel","5.42066174243847","epa","L/100km"
"1989","Light truck","All","Gasoline","13.402468849333","epa","L/100km"
"1990","All","All","Gasoline","11.117301769205","epa","L/100km"
"1990","Car","All","Gasoline","10.0978874107041","epa","L/100km"
"1990","Car","ICEV-G","Gasoline","10.0811918484915","epa","L/100km"
"1990","Car","ICEV-D","Diesel","6.74149762237887","epa","L/100km"
"1990","Light truck","All","Gasoline","13.5364676219871","epa","L/100km"
"1991","All","All","Gasoline","11.0655761660708","epa","L/100km"
"1991","Car","All","Gasoline","10.1133743487871","epa","L/100km"
"1991","Car","ICEV-G","Gasoline","10.0423233047174","epa","L/100km"
"1991","Car","ICEV-D","Diesel","7.0410662391238","epa","L/100km"
"1991","Light truck","All","Gasoline","13.2430773460526","epa","L/100km"
"1992","All","All","Gasoline","11.3118444586684","epa","L/100km"
"1992","Car","All","Gasoline","10.2824767403062","epa","L/100km"
"1992","Car","ICEV-G","Gasoline","10.196555933196","epa","L/100km"
"1992","Car","ICEV-D","Diesel","7.70407611009546","epa","L/100km"
"1992","Light truck","All","Gasoline","13.5609026510729","epa","L/100km"
"1993","All","All","Gasoline","11.2653876322112","epa","L/100km"
"1993","Car","All","Gasoline","10.2269990233642","epa","L/100km"
"1993","Car","ICEV-G","Gasoline","10.026564164641","epa","L/100km"
"1993","Light truck","All","Gasoline","13.4309913839114","epa","L/100km"
"1994","All","All","Gasoline","11.542844002999","epa","L/100km"
"1994","Car","All","Gasoline","10.2179758592644","epa","L/100km"
"1994","Car","ICEV-G","Gasoline","10.106746088017","epa","L/100km"
"1994","Car","ICEV-D","Diesel","8.93473329026617","epa","L/100km"
"1994","Light truck","All","Gasoline","13.6974742491162","epa","L/100km"
"1995","All","All","Gasoline","11.4819282847533","epa","L/100km"
"1995","Car","All","Gasoline","10.1059006532765","epa","L/100km"
"1995","Car","ICEV-G","Gasoline","10.0341525602076","epa","L/100km"
"1995","Car","ICEV-D","Diesel","7.41969141156968","epa","L/100km"
"1995","Light truck","All","Gasoline","13.8751709677623","epa","L/100km"
"1996","All","All","Gasoline","11.5122464000998","epa","L/100km"
"1996","Car","All","Gasoline","10.1741935126218","epa","L/100km"
"1996","Car","ICEV-G","Gasoline","10.0832066730649","epa","L/100km"
