"Model_year","Size","Technology","Value","Source","Unit"
"1975","All","All",1841.76600555563,"epa","kg"
"1975","Car","All",1840.44831972078,"epa","kg"
"1975","Light truck","All",1847.26309148766,"epa","kg"
"1976","All","All",1850.29308851926,"epa","kg"
"1976","Car","All",1841.06747330583,"epa","kg"
"1976","Light truck","All",1884.82462205499,"epa","kg"
"1977","All","All",1806.12226352866,"epa","kg"
"1977","Car","All",1788.79276703281,"epa","kg"
"1977","Light truck","All",1876.05894950474,"epa","kg"
"1978","All","All",1685.20360953406,"epa","kg"
"1978","Car","All",1627.53977231307,"epa","kg"
"1978","Light truck","All",1883.34591092879,"epa","kg"
"1979","All","All",1658.09103280205,"epa","kg"
"1979","Car","All",1580.56801443772,"epa","kg"
"1979","Light truck","All",1930.88057693531,"epa","kg"
"1980","All","All",1464.13992490612,"epa","kg"
"1980","Car","All",1406.81582837026,"epa","kg"
"1980","Light truck","All",1754.77016413622,"epa","kg"
"1981","All","All",1452.29345297883,"epa","kg"
"1981","Car","All",1395.19932777456,"epa","kg"
"1981","Light truck","All",1726.18930890252,"epa","kg"
"1982","All","All",1452.33155473791,"epa","kg"
"1982","Car","All",1384.99304585719,"epa","kg"
"1982","Light truck","All",1729.76679192471,"epa","kg"
"1983","All","All",1477.5045704958,"epa","kg"
"1983","Car","All",1411.58489854844,"epa","kg"
"1983","Light truck","All",1711.17993737922,"epa","kg"
"1984","All","All",1479.42598777512,"epa","kg"
"1984","Car","All",1406.36359677737,"epa","kg"
"1984","Light truck","All",1717.76020189081,"epa","kg"
"1985","All","All",1483.75824850099,"epa","kg"
"1985","Car","All",1404.31063771075,"epa","kg"
"1985","Light truck","All",1725.11656294747,"epa","kg"
"1986","All","All",1468.72030065838,"epa","kg"
"1986","Car","All",1380.29201453451,"epa","kg"
"1986","Car","ICEV-G",1379.42005906753,"epa","kg"
"1986","Car","ICEV-D",1318.18569364174,"epa","kg"
"1986","Light truck","All",1696.92897229856,"epa","kg"
"1987","All","All",1460.79740273159,"epa","kg"
"1987","Car","All",1376.62381303832,"epa","kg"
"1987","Car","ICEV-G",1374.16431203839,"epa","kg"
"1987","Car","ICEV-D",1625.57027424253,"epa","kg"
"1987","Light truck","All",1686.39837183664,"epa","kg"
"1988","All","All",1489.35467116205,"epa","kg"
"1988","Car","All",1383.93345408087,"epa","kg"
"1988","Car","ICEV-G",1381.88725256966,"epa","kg"
"1988","Car","ICEV-D",1360.77711,"epa","kg"
"1988","Light truck","All",1746.27029671479,"epa","kg"
"1989","All","All",1520.19532358309,"epa","kg"
"1989","Car","All",1407.72573466448,"epa","kg"
"1989","Car","ICEV-G",1405.85800378694,"epa","kg"
"1989","Car","ICEV-D",1276.02428285024,"epa","kg"
"1989","Light truck","All",1783.37823491212,"epa","kg"
