"Year","Value","Size","Technology","Fuel","Unit","Model"
2011,21.0504006422219,"Car","BEV100","Electricity","kWh/100km","Sales weighted"
2011,22.369362912,"Car","PHEV40","Electricity","kWh/100km","Sales weighted"
2012,20.9006167958402,"Car","BEV100","Electricity","kWh/100km","Sales weighted"
2012,21.74799172,"Car","BEV300","Electricity","kWh/100km","Sales weighted"
2012,18.019764568,"Car","PHEV20","Electricity","kWh/100km","Sales weighted"
2012,22.4264612363587,"Car","PHEV40","Electricity","kWh/100km","Sales weighted"
2012,27.340332448,"Light truck","BEV100","Electricity","kWh/100km","Sales weighted"
2013,18.2094366151951,"Car","BEV100","Electricity","kWh/100km","Sales weighted"
2013,21.74799172,"Car","BEV300","Electricity","kWh/100km","Sales weighted"
2013,18.077314383098,"Car","PHEV20","Electricity","kWh/100km","Sales weighted"
2013,22.2014492428854,"Car","PHEV40","Electricity","kWh/100km","Sales weighted"
2013,27.340332448,"Light truck","BEV100","Electricity","kWh/100km","Sales weighted"
2014,18.5670811219584,"Car","BEV100","Electricity","kWh/100km","Sales weighted"
2014,21.74799172,"Car","BEV300","Electricity","kWh/100km","Sales weighted"
2014,19.1678675290156,"Car","PHEV20","Electricity","kWh/100km","Sales weighted"
2014,22.4891184252868,"Car","PHEV40","Electricity","kWh/100km","Sales weighted"
2014,27.340332448,"Light truck","BEV100","Electricity","kWh/100km","Sales weighted"
2014,42.874612248,"Light truck","PHEV20","Electricity","kWh/100km","Sales weighted"
2015,18.3075580251183,"Car","BEV100","Electricity","kWh/100km","Sales weighted"
2015,21.74799172,"Car","BEV300","Electricity","kWh/100km","Sales weighted"
2015,22.0101791981685,"Car","PHEV20","Electricity","kWh/100km","Sales weighted"
2015,22.4994610097859,"Car","PHEV40","Electricity","kWh/100km","Sales weighted"
2015,27.340332448,"Light truck","BEV100","Electricity","kWh/100km","Sales weighted"
2015,24.233476488,"Light truck","BEV300","Electricity","kWh/100km","Sales weighted"
2015,40.2066784003915,"Light truck","PHEV20","Electricity","kWh/100km","Sales weighted"
2016,18.2313557333886,"Car","BEV100","Electricity","kWh/100km","Sales weighted"
2016,21.6696839964423,"Car","BEV300","Electricity","kWh/100km","Sales weighted"
2016,24.933601188274,"Car","PHEV20","Electricity","kWh/100km","Sales weighted"
2016,21.1282642410903,"Car","PHEV40","Electricity","kWh/100km","Sales weighted"
2016,27.340332448,"Light truck","BEV100","Electricity","kWh/100km","Sales weighted"
2016,24.233476488,"Light truck","BEV300","Electricity","kWh/100km","Sales weighted"
2016,37.9239080842737,"Light truck","PHEV20","Electricity","kWh/100km","Sales weighted"
2017,18.3880107640953,"Car","BEV100","Electricity","kWh/100km","Sales weighted"
2017,19.6930026777573,"Car","BEV300","Electricity","kWh/100km","Sales weighted"
2017,29.0618597640375,"Car","PHEV20","Electricity","kWh/100km","Sales weighted"
2017,19.0493587439367,"Car","PHEV40","Electricity","kWh/100km","Sales weighted"
2017,27.340332448,"Light truck","BEV100","Electricity","kWh/100km","Sales weighted"
2017,24.233476488,"Light truck","BEV300","Electricity","kWh/100km","Sales weighted"
2017,38.0358546016656,"Light truck","PHEV20","Electricity","kWh/100km","Sales weighted"
2017,24.85484768,"Light truck","PHEV40","Electricity","kWh/100km","Sales weighted"
2018,18.2546303656453,"Car","BEV100","Electricity","kWh/100km","Sales weighted"
2018,18.4363241922783,"Car","BEV300","Electricity","kWh/100km","Sales weighted"
2018,29.5159322032308,"Car","PHEV20","Electricity","kWh/100km","Sales weighted"
2018,18.3608445407746,"Car","PHEV40","Electricity","kWh/100km","Sales weighted"
2018,27.340332448,"Light truck","BEV100","Electricity","kWh/100km","Sales weighted"
2018,24.6134575316133,"Light truck","BEV300","Electricity","kWh/100km","Sales weighted"
2018,37.1829408046486,"Light truck","PHEV20","Electricity","kWh/100km","Sales weighted"
2018,26.5640494526833,"Light truck","PHEV40","Electricity","kWh/100km","Sales weighted"
2019,18.0117318336203,"Car","BEV100","Electricity","kWh/100km","Sales weighted"
2019,18.2221041960239,"Car","BEV300","Electricity","kWh/100km","Sales weighted"
2019,30.2240185686054,"Car","PHEV20","Electricity","kWh/100km","Sales weighted"
2019,17.7903353897259,"Car","PHEV40","Electricity","kWh/100km","Sales weighted"
2019,27.340332448,"Light truck","BEV100","Electricity","kWh/100km","Sales weighted"
2019,25.1721406300079,"Light truck","BEV300","Electricity","kWh/100km","Sales weighted"
2019,36.2796429460626,"Light truck","PHEV20","Electricity","kWh/100km","Sales weighted"
2019,26.2947132113976,"Light truck","PHEV40","Electricity","kWh/100km","Sales weighted"
2011,6.3571495818376,"Car","PHEV40","Gasoline","L/100km","Sales weighted"
2012,4.70429069055982,"Car","PHEV20","Gasoline","L/100km","Sales weighted"
2012,6.34177684889954,"Car","PHEV40","Gasoline","L/100km","Sales weighted"
2013,4.74022349677516,"Car","PHEV20","Gasoline","L/100km","Sales weighted"
