"Model_year","Size","Technology","Material","Value"
"1975","Car","ICEV-G","HSS/AHSS","161.425354033046"
"1975","Car","ICEV-G","Cast Iron","232.173501523213"
"1975","Car","ICEV-G","Mild steel and other steels","937.452791524307"
"1975","Car","ICEV-G","Wrought Aluminum","10.9273812972145"
"1975","Car","ICEV-G","Cast Aluminum","27.1471179962159"
"1975","Car","ICEV-G","Other","471.322175187233"
"1975","Car","ICEV-G","Total","1840.44831972078"
"1975","Car","BEV100","HSS/AHSS","329.672136102412"
"1975","Car","BEV100","Cast Iron","13.7771579654915"
"1975","Car","BEV100","Mild steel and other steels","575.493790445109"
"1975","Car","BEV100","Wrought Aluminum","45.3661741464988"
"1975","Car","BEV100","Cast Aluminum","131.350644849465"
"1975","Car","BEV100","Other","677.464565492958"
"1975","Car","BEV100","Total","1773.12446900193"
"1975","Car","BEV300","HSS/AHSS","330.283933228708"
"1975","Car","BEV300","Cast Iron","13.8027252632057"
"1975","Car","BEV300","Mild steel and other steels","593.074464245133"
"1975","Car","BEV300","Wrought Aluminum","45.4503637175621"
"1975","Car","BEV300","Cast Aluminum","150.619832159557"
"1975","Car","BEV300","Other","1201.78257790502"
"1975","Car","BEV300","Total","2335.01389651919"
"1975","Car","FFV","HSS/AHSS","161.425354033046"
"1975","Car","FFV","Cast Iron","232.173501523213"
"1975","Car","FFV","Mild steel and other steels","937.452791524307"
"1975","Car","FFV","Wrought Aluminum","10.9273812972145"
"1975","Car","FFV","Cast Aluminum","27.1471179962159"
"1975","Car","FFV","Other","471.322175187233"
"1975","Car","FFV","Total","1840.44831972078"
"1975","Car","ICEV-D","HSS/AHSS","161.425354033046"
"1975","Car","ICEV-D","Cast Iron","232.173501523213"
"1975","Car","ICEV-D","Mild steel and other steels","937.452791524307"
"1975","Car","ICEV-D","Wrought Aluminum","10.9273812972145"
"1975","Car","ICEV-D","Cast Aluminum","27.1471179962159"
"1975","Car","ICEV-D","Other","471.322175187233"
"1975","Car","ICEV-D","Total","1840.44831972078"
"1975","Car","CNG","HSS/AHSS","326.791134613074"
"1975","Car","CNG","Cast Iron","110.114404054405"
"1975","Car","CNG","Mild steel and other steels","634.90364075173"
"1975","Car","CNG","Wrought Aluminum","51.9917591014301"
"1975","Car","CNG","Cast Aluminum","126.130743315543"
"1975","Car","CNG","Other","511.06622389351"
"1975","Car","CNG","Total","1760.99790572969"
"1975","Car","HEV","HSS/AHSS","330.418600023242"
"1975","Car","HEV","Cast Iron","78.7474544626553"
"1975","Car","HEV","Mild steel and other steels","718.676349600353"
"1975","Car","HEV","Wrought Aluminum","45.4688952776546"
"1975","Car","HEV","Cast Aluminum","144.568895963767"
"1975","Car","HEV","Other","582.367611698081"
"1975","Car","HEV","Total","1900.24780702575"
"1975","Car","PHEV20","HSS/AHSS","330.550074498057"
"1975","Car","PHEV20","Cast Iron","76.46341577455"
"1975","Car","PHEV20","Mild steel and other steels","729.294317265094"
"1975","Car","PHEV20","Wrought Aluminum","45.4869872783536"
"1975","Car","PHEV20","Cast Aluminum","143.59415889208"
"1975","Car","PHEV20","Other","581.504626441672"
"1975","Car","PHEV20","Total","1906.8935801498"
"1975","Car","PHEV40","HSS/AHSS","331.338394983126"
"1975","Car","PHEV40","Cast Iron","82.2547124067843"
"1975","Car","PHEV40","Mild steel and other steels","763.512603553145"
"1975","Car","PHEV40","Wrought Aluminum","45.5954681966241"
"1975","Car","PHEV40","Cast Aluminum","164.627254917073"
"1975","Car","PHEV40","Other","652.736228467843"
"1975","Car","PHEV40","Total","2040.0646625246"
"1975","Car","FCV","HSS/AHSS","360.112368787073"
"1975","Car","FCV","Cast Iron","15.0492700073554"
"1975","Car","FCV","Mild steel and other steels","636.547647066584"
"1975","Car","FCV","Wrought Aluminum","74.0564276702233"
"1975","Car","FCV","Cast Aluminum","117.305399049141"
"1975","Car","FCV","Other","799.426543399401"
"1975","Car","FCV","Total","2002.49765597978"
"1975","Light truck","ICEV-G","HSS/AHSS","162.023076301764"
"1975","Light truck","ICEV-G","Cast Iron","233.033188484397"
"1975","Light truck","ICEV-G","Mild steel and other steels","940.923971208087"
"1975","Light truck","ICEV-G","Wrought Aluminum","10.9678429655767"
"1975","Light truck","ICEV-G","Cast Aluminum","27.2476377507183"
"1975","Light truck","ICEV-G","Other","473.06737662438"
"1975","Light truck","ICEV-G","Total","1847.26309148766"
"1975","Light truck","BEV100","HSS/AHSS","395.721208887632"
"1975","Light truck","BEV100","Cast Iron","16.5373806521717"
"1975","Light truck","BEV100","Mild steel and other steels","669.87667081952"
"1975","Light truck","BEV100","Wrought Aluminum","51.7341620400607"
"1975","Light truck","BEV100","Cast Aluminum","151.151410379155"
"1975","Light truck","BEV100","Other","910.285211643206"
"1975","Light truck","BEV100","Total","2195.30604442175"
"1975","Light truck","BEV300","HSS/AHSS","396.430882085148"
"1975","Light truck","BEV300","Cast Iron","16.5670382382257"
"1975","Light truck","BEV300","Mild steel and other steels","693.175061613204"
"1975","Light truck","BEV300","Wrought Aluminum","51.8269402716105"
"1975","Light truck","BEV300","Cast Aluminum","176.894274781197"
"1975","Light truck","BEV300","Other","1621.14108872979"
"1975","Light truck","BEV300","Total","2956.03528571917"
"1975","Light truck","FFV","HSS/AHSS","162.023076301764"
"1975","Light truck","FFV","Cast Iron","233.033188484397"
"1975","Light truck","FFV","Mild steel and other steels","940.923971208087"
"1975","Light truck","FFV","Wrought Aluminum","10.9678429655767"
"1975","Light truck","FFV","Cast Aluminum","27.2476377507183"
"1975","Light truck","FFV","Other","473.06737662438"
"1975","Light truck","FFV","Total","1847.26309148766"
"1975","Light truck","ICEV-D","HSS/AHSS","162.023076301764"
"1975","Light truck","ICEV-D","Cast Iron","233.033188484397"
"1975","Light truck","ICEV-D","Mild steel and other steels","940.923971208087"
"1975","Light truck","ICEV-D","Wrought Aluminum","10.9678429655767"
"1975","Light truck","ICEV-D","Cast Aluminum","27.2476377507183"
"1975","Light truck","ICEV-D","Other","473.06737662438"
"1975","Light truck","ICEV-D","Total","1847.26309148766"
"1975","Light truck","CNG","HSS/AHSS","392.668133239019"
"1975","Light truck","CNG","Cast Iron","121.013264463742"
"1975","Light truck","CNG","Mild steel and other steels","742.710459779416"
"1975","Light truck","CNG","Wrought Aluminum","58.4226013560277"
"1975","Light truck","CNG","Cast Aluminum","137.164922721696"
"1975","Light truck","CNG","Other","585.018195936627"
"1975","Light truck","CNG","Total","2036.99757749653"
"1975","Light truck","HEV","HSS/AHSS","396.36316095983"
"1975","Light truck","HEV","Cast Iron","86.6726218468701"
"1975","Light truck","HEV","Mild steel and other steels","830.53115861093"
"1975","Light truck","HEV","Wrought Aluminum","51.818086893305"
"1975","Light truck","HEV","Cast Aluminum","161.07319048439"
"1975","Light truck","HEV","Other","670.78924691619"
"1975","Light truck","HEV","Total","2197.24746571152"
"1975","Light truck","PHEV20","HSS/AHSS","396.533720706894"
"1975","Light truck","PHEV20","Cast Iron","84.5569219905413"
"1975","Light truck","PHEV20","Mild steel and other steels","844.062273305508"
"1975","Light truck","PHEV20","Wrought Aluminum","51.8403846863405"
"1975","Light truck","PHEV20","Cast Aluminum","161.321130524458"
"1975","Light truck","PHEV20","Other","684.451373487208"
"1975","Light truck","PHEV20","Total","2222.76580470095"
"1975","Light truck","PHEV40","HSS/AHSS","397.432152769139"
"1975","Light truck","PHEV40","Cast Iron","91.6386722784689"
"1975","Light truck","PHEV40","Mild steel and other steels","887.920574299165"
"1975","Light truck","PHEV40","Wrought Aluminum","51.9578400071142"
"1975","Light truck","PHEV40","Cast Aluminum","189.207459372682"
"1975","Light truck","PHEV40","Other","841.230448846504"
"1975","Light truck","PHEV40","Total","2459.38714757307"
"1975","Light truck","FCV","HSS/AHSS","429.456963167862"
"1975","Light truck","FCV","Cast Iron","17.9472141349122"
"1975","Light truck","FCV","Mild steel and other steels","754.06620971285"
"1975","Light truck","FCV","Wrought Aluminum","87.4958500718528"
"1975","Light truck","FCV","Cast Aluminum","131.958976296135"
"1975","Light truck","FCV","Other","928.772034682237"
"1975","Light truck","FCV","Total","2349.69724806585"
"1976","Car","ICEV-G","HSS/AHSS","161.47965987016"
"1976","Car","ICEV-G","Cast Iron","232.251608066212"
"1976","Car","ICEV-G","Mild steel and other steels","934.694108422392"
"1976","Car","ICEV-G","Wrought Aluminum","11.8133114581092"
"1976","Car","ICEV-G","Cast Aluminum","29.3480525074281"
"1976","Car","ICEV-G","Other","471.480734822597"
"1976","Car","ICEV-G","Total","1841.06747330583"
"1976","Car","BEV100","HSS/AHSS","329.672136102412"
"1976","Car","BEV100","Cast Iron","13.7771579654915"
"1976","Car","BEV100","Mild steel and other steels","575.493790445109"
"1976","Car","BEV100","Wrought Aluminum","45.3661741464988"
"1976","Car","BEV100","Cast Aluminum","131.350644849465"
"1976","Car","BEV100","Other","677.464565492958"
"1976","Car","BEV100","Total","1773.12446900193"
"1976","Car","BEV300","HSS/AHSS","330.283933228708"
"1976","Car","BEV300","Cast Iron","13.8027252632057"
"1976","Car","BEV300","Mild steel and other steels","593.074464245133"
"1976","Car","BEV300","Wrought Aluminum","45.4503637175621"
"1976","Car","BEV300","Cast Aluminum","150.619832159557"
"1976","Car","BEV300","Other","1201.78257790502"
"1976","Car","BEV300","Total","2335.01389651919"
"1976","Car","FFV","HSS/AHSS","161.47965987016"
"1976","Car","FFV","Cast Iron","232.251608066212"
"1976","Car","FFV","Mild steel and other steels","934.694108422392"
"1976","Car","FFV","Wrought Aluminum","11.8133114581092"
"1976","Car","FFV","Cast Aluminum","29.3480525074281"
"1976","Car","FFV","Other","471.480734822597"
"1976","Car","FFV","Total","1841.06747330583"
"1976","Car","ICEV-D","HSS/AHSS","161.47965987016"
"1976","Car","ICEV-D","Cast Iron","232.251608066212"
"1976","Car","ICEV-D","Mild steel and other steels","934.694108422392"
"1976","Car","ICEV-D","Wrought Aluminum","11.8133114581092"
"1976","Car","ICEV-D","Cast Aluminum","29.3480525074281"
"1976","Car","ICEV-D","Other","471.480734822597"
"1976","Car","ICEV-D","Total","1841.06747330583"
"1976","Car","CNG","HSS/AHSS","326.791134613074"
"1976","Car","CNG","Cast Iron","110.114404054405"
"1976","Car","CNG","Mild steel and other steels","634.90364075173"
"1976","Car","CNG","Wrought Aluminum","51.9917591014301"
"1976","Car","CNG","Cast Aluminum","126.130743315543"
"1976","Car","CNG","Other","511.06622389351"
"1976","Car","CNG","Total","1760.99790572969"
"1976","Car","HEV","HSS/AHSS","330.418600023242"
"1976","Car","HEV","Cast Iron","78.7474544626553"
"1976","Car","HEV","Mild steel and other steels","718.676349600353"
"1976","Car","HEV","Wrought Aluminum","45.4688952776546"
"1976","Car","HEV","Cast Aluminum","144.568895963767"
"1976","Car","HEV","Other","582.367611698081"
"1976","Car","HEV","Total","1900.24780702575"
"1976","Car","PHEV20","HSS/AHSS","330.550074498057"
"1976","Car","PHEV20","Cast Iron","76.46341577455"
"1976","Car","PHEV20","Mild steel and other steels","729.294317265094"
"1976","Car","PHEV20","Wrought Aluminum","45.4869872783536"
"1976","Car","PHEV20","Cast Aluminum","143.59415889208"
"1976","Car","PHEV20","Other","581.504626441672"
"1976","Car","PHEV20","Total","1906.8935801498"
"1976","Car","PHEV40","HSS/AHSS","331.338394983126"
"1976","Car","PHEV40","Cast Iron","82.2547124067843"
"1976","Car","PHEV40","Mild steel and other steels","763.512603553145"
"1976","Car","PHEV40","Wrought Aluminum","45.5954681966241"
"1976","Car","PHEV40","Cast Aluminum","164.627254917073"
"1976","Car","PHEV40","Other","652.736228467843"
"1976","Car","PHEV40","Total","2040.0646625246"
"1976","Car","FCV","HSS/AHSS","360.112368787073"
"1976","Car","FCV","Cast Iron","15.0492700073554"
"1976","Car","FCV","Mild steel and other steels","636.547647066584"
"1976","Car","FCV","Wrought Aluminum","74.0564276702233"
"1976","Car","FCV","Cast Aluminum","117.305399049141"
"1976","Car","FCV","Other","799.426543399401"
"1976","Car","FCV","Total","2002.49765597978"
"1976","Light truck","ICEV-G","HSS/AHSS","165.317590635519"
"1976","Light truck","ICEV-G","Cast Iron","237.771594872093"
"1976","Light truck","ICEV-G","Mild steel and other steels","956.909236183985"
"1976","Light truck","ICEV-G","Wrought Aluminum","12.0940816276916"
"1976","Light truck","ICEV-G","Cast Aluminum","30.0455756116518"
"1976","Light truck","ICEV-G","Other","482.686545008875"
"1976","Light truck","ICEV-G","Total","1884.82462205499"
"1976","Light truck","BEV100","HSS/AHSS","395.721208887632"
"1976","Light truck","BEV100","Cast Iron","16.5373806521717"
"1976","Light truck","BEV100","Mild steel and other steels","669.87667081952"
"1976","Light truck","BEV100","Wrought Aluminum","51.7341620400607"
"1976","Light truck","BEV100","Cast Aluminum","151.151410379155"
"1976","Light truck","BEV100","Other","910.285211643206"
"1976","Light truck","BEV100","Total","2195.30604442175"
"1976","Light truck","BEV300","HSS/AHSS","396.430882085148"
"1976","Light truck","BEV300","Cast Iron","16.5670382382257"
"1976","Light truck","BEV300","Mild steel and other steels","693.175061613204"
"1976","Light truck","BEV300","Wrought Aluminum","51.8269402716105"
"1976","Light truck","BEV300","Cast Aluminum","176.894274781197"
"1976","Light truck","BEV300","Other","1621.14108872979"
"1976","Light truck","BEV300","Total","2956.03528571917"
"1976","Light truck","FFV","HSS/AHSS","165.317590635519"
"1976","Light truck","FFV","Cast Iron","237.771594872093"
"1976","Light truck","FFV","Mild steel and other steels","956.909236183985"
"1976","Light truck","FFV","Wrought Aluminum","12.0940816276916"
"1976","Light truck","FFV","Cast Aluminum","30.0455756116518"
"1976","Light truck","FFV","Other","482.686545008875"
"1976","Light truck","FFV","Total","1884.82462205499"
"1976","Light truck","ICEV-D","HSS/AHSS","165.317590635519"
"1976","Light truck","ICEV-D","Cast Iron","237.771594872093"
"1976","Light truck","ICEV-D","Mild steel and other steels","956.909236183985"
"1976","Light truck","ICEV-D","Wrought Aluminum","12.0940816276916"
"1976","Light truck","ICEV-D","Cast Aluminum","30.0455756116518"
"1976","Light truck","ICEV-D","Other","482.686545008875"
"1976","Light truck","ICEV-D","Total","1884.82462205499"
"1976","Light truck","CNG","HSS/AHSS","392.668133239019"
"1976","Light truck","CNG","Cast Iron","121.013264463742"
"1976","Light truck","CNG","Mild steel and other steels","742.710459779416"
"1976","Light truck","CNG","Wrought Aluminum","58.4226013560277"
"1976","Light truck","CNG","Cast Aluminum","137.164922721696"
