"Technology","Size","Year","Data_type","Aeo_year","Unit","Value"
"BEV100","Car",2011,"sales",2014,"vehicle",10225
"BEV300","Car",2011,"sales",2014,"vehicle",0
"CNG","Car",2011,"sales",2014,"vehicle",10622
"FCV","Car",2011,"sales",2014,"vehicle",0
"FFV","Car",2011,"sales",2014,"vehicle",397567
"HEV","Car",2011,"sales",2014,"vehicle",224128
"ICEV-D","Car",2011,"sales",2014,"vehicle",85066
"ICEV-G","Car",2011,"sales",2014,"vehicle",5867118
"PHEV20","Car",2011,"sales",2014,"vehicle",0
"PHEV40","Car",2011,"sales",2014,"vehicle",8257
"BEV100","Light truck",2011,"sales",2014,"vehicle",842
"BEV300","Light truck",2011,"sales",2014,"vehicle",0
"CNG","Light truck",2011,"sales",2014,"vehicle",42089
"FCV","Light truck",2011,"sales",2014,"vehicle",0
"FFV","Light truck",2011,"sales",2014,"vehicle",1246037
"HEV","Light truck",2011,"sales",2014,"vehicle",31347
"ICEV-D","Light truck",2011,"sales",2014,"vehicle",33774
"ICEV-G","Light truck",2011,"sales",2014,"vehicle",4299644
"PHEV20","Light truck",2011,"sales",2014,"vehicle",0
"PHEV40","Light truck",2011,"sales",2014,"vehicle",0
"BEV100","Car",2012,"sales",2015,"vehicle",18354
"BEV300","Car",2012,"sales",2015,"vehicle",0
"CNG","Car",2012,"sales",2015,"vehicle",12216
"FCV","Car",2012,"sales",2015,"vehicle",0
"FFV","Car",2012,"sales",2015,"vehicle",313124
"HEV","Car",2012,"sales",2015,"vehicle",376724
"ICEV-D","Car",2012,"sales",2015,"vehicle",188578
"ICEV-G","Car",2012,"sales",2015,"vehicle",6523116
"PHEV20","Car",2012,"sales",2015,"vehicle",17844
"PHEV40","Car",2012,"sales",2015,"vehicle",29020
"BEV100","Light truck",2012,"sales",2015,"vehicle",1133
"BEV300","Light truck",2012,"sales",2015,"vehicle",0
"CNG","Light truck",2012,"sales",2015,"vehicle",46022
"FCV","Light truck",2012,"sales",2015,"vehicle",0
"FFV","Light truck",2012,"sales",2015,"vehicle",1247478
"HEV","Light truck",2012,"sales",2015,"vehicle",23825
"ICEV-D","Light truck",2012,"sales",2015,"vehicle",25696
"ICEV-G","Light truck",2012,"sales",2015,"vehicle",4879696
"PHEV20","Light truck",2012,"sales",2015,"vehicle",0
"PHEV40","Light truck",2012,"sales",2015,"vehicle",0
"BEV100","Car",2013,"sales",2015,"vehicle",21597
"BEV300","Car",2013,"sales",2015,"vehicle",18
"CNG","Car",2013,"sales",2015,"vehicle",15218
"FCV","Car",2013,"sales",2015,"vehicle",0
"FFV","Car",2013,"sales",2015,"vehicle",334837
"HEV","Car",2013,"sales",2015,"vehicle",385497
"ICEV-D","Car",2013,"sales",2015,"vehicle",197940
"ICEV-G","Car",2013,"sales",2015,"vehicle",6736720
"PHEV20","Car",2013,"sales",2015,"vehicle",19578
"PHEV40","Car",2013,"sales",2015,"vehicle",32857
"BEV100","Light truck",2013,"sales",2015,"vehicle",1268
"BEV300","Light truck",2013,"sales",2015,"vehicle",0
"CNG","Light truck",2013,"sales",2015,"vehicle",54600
"FCV","Light truck",2013,"sales",2015,"vehicle",0
"FFV","Light truck",2013,"sales",2015,"vehicle",1366945
"HEV","Light truck",2013,"sales",2015,"vehicle",24743
"ICEV-D","Light truck",2013,"sales",2015,"vehicle",31658
"ICEV-G","Light truck",2013,"sales",2015,"vehicle",5157055
"PHEV20","Light truck",2013,"sales",2015,"vehicle",0
"PHEV40","Light truck",2013,"sales",2015,"vehicle",0
"BEV100","Car",2014,"sales",2016,"vehicle",70970
"BEV300","Car",2014,"sales",2016,"vehicle",22019
"CNG","Car",2014,"sales",2016,"vehicle",34110
"FCV","Car",2014,"sales",2016,"vehicle",0
"FFV","Car",2014,"sales",2016,"vehicle",310660
"HEV","Car",2014,"sales",2016,"vehicle",471245
"ICEV-D","Car",2014,"sales",2016,"vehicle",211468
"ICEV-G","Car",2014,"sales",2016,"vehicle",7466999
"PHEV20","Car",2014,"sales",2016,"vehicle",41920
"PHEV40","Car",2014,"sales",2016,"vehicle",26663
"BEV100","Light truck",2014,"sales",2016,"vehicle",1299
"BEV300","Light truck",2014,"sales",2016,"vehicle",0
"CNG","Light truck",2014,"sales",2016,"vehicle",54898
"FCV","Light truck",2014,"sales",2016,"vehicle",0
"FFV","Light truck",2014,"sales",2016,"vehicle",1466910
"HEV","Light truck",2014,"sales",2016,"vehicle",25646
"ICEV-D","Light truck",2014,"sales",2016,"vehicle",79572
"ICEV-G","Light truck",2014,"sales",2016,"vehicle",4967346
"PHEV20","Light truck",2014,"sales",2016,"vehicle",0
"PHEV40","Light truck",2014,"sales",2016,"vehicle",0
"BEV100","Car",2015,"sales",2017,"vehicle",81004
"BEV300","Car",2015,"sales",2017,"vehicle",44783
"CNG","Car",2015,"sales",2017,"vehicle",40051
"FCV","Car",2015,"sales",2017,"vehicle",1613
"FFV","Car",2015,"sales",2017,"vehicle",268636
"HEV","Car",2015,"sales",2017,"vehicle",361529
"ICEV-D","Car",2015,"sales",2017,"vehicle",169444
"ICEV-G","Car",2015,"sales",2017,"vehicle",6572323
"PHEV20","Car",2015,"sales",2017,"vehicle",46427
"PHEV40","Car",2015,"sales",2017,"vehicle",36691
"BEV100","Light truck",2015,"sales",2017,"vehicle",7676
"BEV300","Light truck",2015,"sales",2017,"vehicle",4838
"CNG","Light truck",2015,"sales",2017,"vehicle",77847
"FCV","Light truck",2015,"sales",2017,"vehicle",1612
"FFV","Light truck",2015,"sales",2017,"vehicle",1675798
"HEV","Light truck",2015,"sales",2017,"vehicle",21994
"ICEV-D","Light truck",2015,"sales",2017,"vehicle",51820
"ICEV-G","Light truck",2015,"sales",2017,"vehicle",6798411
"PHEV20","Light truck",2015,"sales",2017,"vehicle",10919
