"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV100","Car",2020,"sales","REF",2021,"vehicle",2102
"BEV300","Car",2020,"sales","REF",2021,"vehicle",113403
"CNG","Car",2020,"sales","REF",2021,"vehicle",3709
"FCV","Car",2020,"sales","REF",2021,"vehicle",182
"FFV","Car",2020,"sales","REF",2021,"vehicle",84711
"HEV","Car",2020,"sales","REF",2021,"vehicle",124642
"ICEV-D","Car",2020,"sales","REF",2021,"vehicle",96
"ICEV-G","Car",2020,"sales","REF",2021,"vehicle",4530612
"PHEV20","Car",2020,"sales","REF",2021,"vehicle",21782
"PHEV40","Car",2020,"sales","REF",2021,"vehicle",5689
"BEV100","Light truck",2020,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2020,"sales","REF",2021,"vehicle",37232
"CNG","Light truck",2020,"sales","REF",2021,"vehicle",9516
"FCV","Light truck",2020,"sales","REF",2021,"vehicle",5
"FFV","Light truck",2020,"sales","REF",2021,"vehicle",648889
"HEV","Light truck",2020,"sales","REF",2021,"vehicle",216244
"ICEV-D","Light truck",2020,"sales","REF",2021,"vehicle",49744
"ICEV-G","Light truck",2020,"sales","REF",2021,"vehicle",6408522
"PHEV20","Light truck",2020,"sales","REF",2021,"vehicle",3729
"PHEV40","Light truck",2020,"sales","REF",2021,"vehicle",20690
"BEV100","Car",2021,"sales","REF",2021,"vehicle",2162
"BEV300","Car",2021,"sales","REF",2021,"vehicle",104687
"CNG","Car",2021,"sales","REF",2021,"vehicle",3855
"FCV","Car",2021,"sales","REF",2021,"vehicle",188
"FFV","Car",2021,"sales","REF",2021,"vehicle",90697
"HEV","Car",2021,"sales","REF",2021,"vehicle",140875
"ICEV-D","Car",2021,"sales","REF",2021,"vehicle",95
"ICEV-G","Car",2021,"sales","REF",2021,"vehicle",4867296
"PHEV20","Car",2021,"sales","REF",2021,"vehicle",28945
"PHEV40","Car",2021,"sales","REF",2021,"vehicle",5803
"BEV100","Light truck",2021,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2021,"sales","REF",2021,"vehicle",44126
"CNG","Light truck",2021,"sales","REF",2021,"vehicle",10714
"FCV","Light truck",2021,"sales","REF",2021,"vehicle",7
"FFV","Light truck",2021,"sales","REF",2021,"vehicle",663125
"HEV","Light truck",2021,"sales","REF",2021,"vehicle",256559
"ICEV-D","Light truck",2021,"sales","REF",2021,"vehicle",89708
"ICEV-G","Light truck",2021,"sales","REF",2021,"vehicle",7185056
"PHEV20","Light truck",2021,"sales","REF",2021,"vehicle",4120
"PHEV40","Light truck",2021,"sales","REF",2021,"vehicle",24874
"BEV100","Car",2022,"sales","REF",2021,"vehicle",2206
"BEV300","Car",2022,"sales","REF",2021,"vehicle",113765
"CNG","Car",2022,"sales","REF",2021,"vehicle",4291
"FCV","Car",2022,"sales","REF",2021,"vehicle",221
"FFV","Car",2022,"sales","REF",2021,"vehicle",98941
"HEV","Car",2022,"sales","REF",2021,"vehicle",164036
"ICEV-D","Car",2022,"sales","REF",2021,"vehicle",97
"ICEV-G","Car",2022,"sales","REF",2021,"vehicle",5296187
"PHEV20","Car",2022,"sales","REF",2021,"vehicle",34307
"PHEV40","Car",2022,"sales","REF",2021,"vehicle",5297
"BEV100","Light truck",2022,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2022,"sales","REF",2021,"vehicle",49922
