"Technology","Region","Aeo_case","Aeo_year","Data_type","Size","Year","Unit","Value"
"BEV100","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",1274
"BEV300","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"CNG","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",1656
"FCV","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"FFV","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",67843
"HEV","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",38365
"ICEV-D","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",14580
"ICEV-G","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",993389
"PHEV20","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"PHEV40","East North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",1446
"BEV100","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",316
"BEV300","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"CNG","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",610
"FCV","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"FFV","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",19529
"HEV","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",10648
"ICEV-D","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",3988
"ICEV-G","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",296360
"PHEV20","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"PHEV40","East South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",395
"BEV100","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",907
"BEV300","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"CNG","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",1348
"FCV","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"FFV","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",56221
"HEV","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",32268
"ICEV-D","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",11776
"ICEV-G","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",816463
"PHEV20","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
"PHEV40","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",1034
"BEV100","Mountain","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",483
"BEV300","Mountain","Reference","AEO2014","Light-Duty Vehicle Sales ","Car",2011,"vehicle",0
