Technology,Region,Aeo_case,Aeo_year,Data_type,Size,Year,Unit,Value
BEV100,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,2693
BEV300,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,6028
CNG,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,2328
FCV,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,229
FFV,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,32397
HEV,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,51143
ICEV-D,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,285
ICEV-G,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1066069
PHEV20,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,2336
PHEV40,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,2212
BEV100,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,586
BEV300,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1200
CNG,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,987
FCV,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,98
FFV,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,11785
HEV,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,17632
ICEV-D,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,107
ICEV-G,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,373457
PHEV20,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,973
PHEV40,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,749
BEV100,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,5084
BEV300,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,11331
CNG,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1937
FCV,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,190
FFV,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,31412
HEV,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,68513
ICEV-D,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,259
ICEV-G,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1015042
PHEV20,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,4313
PHEV40,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,11535
BEV100,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,708
BEV300,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1378
CNG,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1238
FCV,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,121
FFV,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,14766
HEV,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,22327
ICEV-D,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,135
ICEV-G,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,470137
PHEV20,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1206
PHEV40,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,963
BEV100,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,2073
BEV300,New England,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,4187
