"Technology","Size","Year","Data_type","Value","Unit"
"BEV100","Car",1970,"stock",0,"vehicle"
"BEV300","Car",1970,"stock",0,"vehicle"
"CNG","Car",1970,"stock",0,"vehicle"
"FCV","Car",1970,"stock",0,"vehicle"
"FFV","Car",1970,"stock",0,"vehicle"
"HEV","Car",1970,"stock",0,"vehicle"
"ICEV-D","Car",1970,"stock",0,"vehicle"
"ICEV-G","Car",1970,"stock",90858748,"vehicle"
"PHEV20","Car",1970,"stock",0,"vehicle"
"PHEV40","Car",1970,"stock",0,"vehicle"
"BEV100","Light truck",1970,"stock",0,"vehicle"
"BEV300","Light truck",1970,"stock",0,"vehicle"
"CNG","Light truck",1970,"stock",0,"vehicle"
"FCV","Light truck",1970,"stock",0,"vehicle"
"FFV","Light truck",1970,"stock",0,"vehicle"
"HEV","Light truck",1970,"stock",0,"vehicle"
"ICEV-D","Light truck",1970,"stock",0,"vehicle"
"ICEV-G","Light truck",1970,"stock",17334029,"vehicle"
"PHEV20","Light truck",1970,"stock",0,"vehicle"
"PHEV40","Light truck",1970,"stock",0,"vehicle"
"BEV100","Car",1971,"stock",0,"vehicle"
"BEV300","Car",1971,"stock",0,"vehicle"
"CNG","Car",1971,"stock",0,"vehicle"
"FCV","Car",1971,"stock",0,"vehicle"
"FFV","Car",1971,"stock",0,"vehicle"
"HEV","Car",1971,"stock",0,"vehicle"
"ICEV-D","Car",1971,"stock",0,"vehicle"
"ICEV-G","Car",1971,"stock",94770600,"vehicle"
"PHEV20","Car",1971,"stock",0,"vehicle"
"PHEV40","Car",1971,"stock",0,"vehicle"
"BEV100","Light truck",1971,"stock",0,"vehicle"
"BEV300","Light truck",1971,"stock",0,"vehicle"
"CNG","Light truck",1971,"stock",0,"vehicle"
"FCV","Light truck",1971,"stock",0,"vehicle"
"FFV","Light truck",1971,"stock",0,"vehicle"
"HEV","Light truck",1971,"stock",0,"vehicle"
"ICEV-D","Light truck",1971,"stock",0,"vehicle"
"ICEV-G","Light truck",1971,"stock",18518153,"vehicle"
"PHEV20","Light truck",1971,"stock",0,"vehicle"
"PHEV40","Light truck",1971,"stock",0,"vehicle"
"BEV100","Car",1972,"stock",0,"vehicle"
"BEV300","Car",1972,"stock",0,"vehicle"
"CNG","Car",1972,"stock",0,"vehicle"
"FCV","Car",1972,"stock",0,"vehicle"
"FFV","Car",1972,"stock",0,"vehicle"
"HEV","Car",1972,"stock",0,"vehicle"
"ICEV-D","Car",1972,"stock",0,"vehicle"
"ICEV-G","Car",1972,"stock",99444372,"vehicle"
"PHEV20","Car",1972,"stock",0,"vehicle"
"PHEV40","Car",1972,"stock",0,"vehicle"
"BEV100","Light truck",1972,"stock",0,"vehicle"
"BEV300","Light truck",1972,"stock",0,"vehicle"
"CNG","Light truck",1972,"stock",0,"vehicle"
"FCV","Light truck",1972,"stock",0,"vehicle"
"FFV","Light truck",1972,"stock",0,"vehicle"
"HEV","Light truck",1972,"stock",0,"vehicle"
"ICEV-D","Light truck",1972,"stock",0,"vehicle"
"ICEV-G","Light truck",1972,"stock",20039148,"vehicle"
"PHEV20","Light truck",1972,"stock",0,"vehicle"
"PHEV40","Light truck",1972,"stock",0,"vehicle"
"BEV100","Car",1973,"stock",0,"vehicle"
