"Technology","Size","Year","Data_type","Aeo_year","Unit","Value"
"BEV100","Car",2011,"stock",2014,"vehicle",19338
"BEV300","Car",2011,"stock",2014,"vehicle",0
"CNG","Car",2011,"stock",2014,"vehicle",143013
"FCV","Car",2011,"stock",2014,"vehicle",0
"FFV","Car",2011,"stock",2014,"vehicle",2261552
"HEV","Car",2011,"stock",2014,"vehicle",1731752
"ICEV-D","Car",2011,"stock",2014,"vehicle",759377
"ICEV-G","Car",2011,"stock",2014,"vehicle",124265495
"PHEV20","Car",2011,"stock",2014,"vehicle",0
"PHEV40","Car",2011,"stock",2014,"vehicle",8258
"BEV100","Light truck",2011,"stock",2014,"vehicle",12129
"BEV300","Light truck",2011,"stock",2014,"vehicle",0
"CNG","Light truck",2011,"stock",2014,"vehicle",651604
"FCV","Light truck",2011,"stock",2014,"vehicle",0
"FFV","Light truck",2011,"stock",2014,"vehicle",7676745
"HEV","Light truck",2011,"stock",2014,"vehicle",379413
"ICEV-D","Light truck",2011,"stock",2014,"vehicle",119615
"ICEV-G","Light truck",2011,"stock",2014,"vehicle",86264290
"PHEV20","Light truck",2011,"stock",2014,"vehicle",0
"PHEV40","Light truck",2011,"stock",2014,"vehicle",0
"BEV100","Car",2012,"stock",2015,"vehicle",38188
"BEV300","Car",2012,"stock",2015,"vehicle",0
"CNG","Car",2012,"stock",2015,"vehicle",149044
"FCV","Car",2012,"stock",2015,"vehicle",0
"FFV","Car",2012,"stock",2015,"vehicle",2386782
"HEV","Car",2012,"stock",2015,"vehicle",2088203
"ICEV-D","Car",2012,"stock",2015,"vehicle",949765
"ICEV-G","Car",2012,"stock",2015,"vehicle",122996346
"PHEV20","Car",2012,"stock",2015,"vehicle",17844
"PHEV40","Car",2012,"stock",2015,"vehicle",38751
"BEV100","Light truck",2012,"stock",2015,"vehicle",12698
"BEV300","Light truck",2012,"stock",2015,"vehicle",0
"CNG","Light truck",2012,"stock",2015,"vehicle",655993
"FCV","Light truck",2012,"stock",2015,"vehicle",0
"FFV","Light truck",2012,"stock",2015,"vehicle",8182166
"HEV","Light truck",2012,"stock",2015,"vehicle",396327
"ICEV-D","Light truck",2012,"stock",2015,"vehicle",158176
"ICEV-G","Light truck",2012,"stock",2015,"vehicle",86073349
"PHEV20","Light truck",2012,"stock",2015,"vehicle",0
"PHEV40","Light truck",2012,"stock",2015,"vehicle",0
"BEV100","Car",2013,"stock",2015,"vehicle",59357
"BEV300","Car",2013,"stock",2015,"vehicle",18
"CNG","Car",2013,"stock",2015,"vehicle",158088
"FCV","Car",2013,"stock",2015,"vehicle",0
"FFV","Car",2013,"stock",2015,"vehicle",2676175
"HEV","Car",2013,"stock",2015,"vehicle",2441319
"ICEV-D","Car",2013,"stock",2015,"vehicle",1119795
"ICEV-G","Car",2013,"stock",2015,"vehicle",122009819
"PHEV20","Car",2013,"stock",2015,"vehicle",37423
"PHEV40","Car",2013,"stock",2015,"vehicle",71609
"BEV100","Light truck",2013,"stock",2015,"vehicle",13406
"BEV300","Light truck",2013,"stock",2015,"vehicle",0
"CNG","Light truck",2013,"stock",2015,"vehicle",670573
"FCV","Light truck",2013,"stock",2015,"vehicle",0
"FFV","Light truck",2013,"stock",2015,"vehicle",9272322
"HEV","Light truck",2013,"stock",2015,"vehicle",410206
"ICEV-D","Light truck",2013,"stock",2015,"vehicle",186725
"ICEV-G","Light truck",2013,"stock",2015,"vehicle",85844093
"PHEV20","Light truck",2013,"stock",2015,"vehicle",0
"PHEV40","Light truck",2013,"stock",2015,"vehicle",0
"BEV100","Car",2014,"stock",2016,"vehicle",106784
"BEV300","Car",2014,"stock",2016,"vehicle",45578
"CNG","Car",2014,"stock",2016,"vehicle",109032
"FCV","Car",2014,"stock",2016,"vehicle",123
"FFV","Car",2014,"stock",2016,"vehicle",3323921
"HEV","Car",2014,"stock",2016,"vehicle",2865110
"ICEV-D","Car",2014,"stock",2016,"vehicle",799793
"ICEV-G","Car",2014,"stock",2016,"vehicle",112976730
"PHEV20","Car",2014,"stock",2016,"vehicle",77828
"PHEV40","Car",2014,"stock",2016,"vehicle",68106
"BEV100","Light truck",2014,"stock",2016,"vehicle",4165
"BEV300","Light truck",2014,"stock",2016,"vehicle",0
"CNG","Light truck",2014,"stock",2016,"vehicle",151269
"FCV","Light truck",2014,"stock",2016,"vehicle",0
"FFV","Light truck",2014,"stock",2016,"vehicle",13607767
"HEV","Light truck",2014,"stock",2016,"vehicle",420261
"ICEV-D","Light truck",2014,"stock",2016,"vehicle",290173
"ICEV-G","Light truck",2014,"stock",2016,"vehicle",103111488
"PHEV20","Light truck",2014,"stock",2016,"vehicle",0
"PHEV40","Light truck",2014,"stock",2016,"vehicle",0
"BEV100","Car",2015,"stock",2017,"vehicle",187508
"BEV300","Car",2015,"stock",2017,"vehicle",90334
"CNG","Car",2015,"stock",2017,"vehicle",121040
"FCV","Car",2015,"stock",2017,"vehicle",1734
"FFV","Car",2015,"stock",2017,"vehicle",3518017
"HEV","Car",2015,"stock",2017,"vehicle",3168993
"ICEV-D","Car",2015,"stock",2017,"vehicle",929748
"ICEV-G","Car",2015,"stock",2017,"vehicle",112544098
"PHEV20","Car",2015,"stock",2017,"vehicle",124255
"PHEV40","Car",2015,"stock",2017,"vehicle",104797
