"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV100","Car",2020,"stock","REF",2021,"vehicle",208812
"BEV300","Car",2020,"stock","REF",2021,"vehicle",575824
"CNG","Car",2020,"stock","REF",2021,"vehicle",61177
"FCV","Car",2020,"stock","REF",2021,"vehicle",7635
"FFV","Car",2020,"stock","REF",2021,"vehicle",4821700
"HEV","Car",2020,"stock","REF",2021,"vehicle",3827562
"ICEV-D","Car",2020,"stock","REF",2021,"vehicle",551325
"ICEV-G","Car",2020,"stock","REF",2021,"vehicle",119595665
"PHEV20","Car",2020,"stock","REF",2021,"vehicle",331304
"PHEV40","Car",2020,"stock","REF",2021,"vehicle",177029
"BEV100","Light truck",2020,"stock","REF",2021,"vehicle",668
"BEV300","Light truck",2020,"stock","REF",2021,"vehicle",96450
"CNG","Light truck",2020,"stock","REF",2021,"vehicle",118747
"FCV","Light truck",2020,"stock","REF",2021,"vehicle",5
"FFV","Light truck",2020,"stock","REF",2021,"vehicle",15778391
"HEV","Light truck",2020,"stock","REF",2021,"vehicle",958276
"ICEV-D","Light truck",2020,"stock","REF",2021,"vehicle",536533
"ICEV-G","Light truck",2020,"stock","REF",2021,"vehicle",109668213
"PHEV20","Light truck",2020,"stock","REF",2021,"vehicle",56162
"PHEV40","Light truck",2020,"stock","REF",2021,"vehicle",46153
"BEV100","Car",2021,"stock","REF",2021,"vehicle",207839
"BEV300","Car",2021,"stock","REF",2021,"vehicle",678633
"CNG","Car",2021,"stock","REF",2021,"vehicle",59098
"FCV","Car",2021,"stock","REF",2021,"vehicle",7779
"FFV","Car",2021,"stock","REF",2021,"vehicle",4754150
"HEV","Car",2021,"stock","REF",2021,"vehicle",3851543
"ICEV-D","Car",2021,"stock","REF",2021,"vehicle",515426
"ICEV-G","Car",2021,"stock","REF",2021,"vehicle",117732666
"PHEV20","Car",2021,"stock","REF",2021,"vehicle",357387
"PHEV40","Car",2021,"stock","REF",2021,"vehicle",180845
"BEV100","Light truck",2021,"stock","REF",2021,"vehicle",601
"BEV300","Light truck",2021,"stock","REF",2021,"vehicle",140452
"CNG","Light truck",2021,"stock","REF",2021,"vehicle",115810
"FCV","Light truck",2021,"stock","REF",2021,"vehicle",13
"FFV","Light truck",2021,"stock","REF",2021,"vehicle",15772833
"HEV","Light truck",2021,"stock","REF",2021,"vehicle",1188482
"ICEV-D","Light truck",2021,"stock","REF",2021,"vehicle",612029
"ICEV-G","Light truck",2021,"stock","REF",2021,"vehicle",110529121
"PHEV20","Light truck",2021,"stock","REF",2021,"vehicle",60121
"PHEV40","Light truck",2021,"stock","REF",2021,"vehicle",70971
"BEV100","Car",2022,"stock","REF",2021,"vehicle",206306
