"Fuel","Year","Value","Unit","Scenario"
"biomass liquids",1975,0,"EJ","SSP1"
"coal to liquids",1975,0,"EJ","SSP1"
"gas to liquids",1975,0,"EJ","SSP1"
"oil refining",1975,23.7865,"EJ","SSP1"
"biomass liquids",1990,0,"EJ","SSP1"
"coal to liquids",1990,0,"EJ","SSP1"
"gas to liquids",1990,0,"EJ","SSP1"
"oil refining",1990,31.688,"EJ","SSP1"
"biomass liquids",2005,0.3378266,"EJ","SSP1"
"coal to liquids",2005,0,"EJ","SSP1"
"gas to liquids",2005,0,"EJ","SSP1"
"oil refining",2005,38.9652,"EJ","SSP1"
"biomass liquids",2010,1.0622751,"EJ","SSP1"
"coal to liquids",2010,0,"EJ","SSP1"
"gas to liquids",2010,0,"EJ","SSP1"
"oil refining",2010,34.1005,"EJ","SSP1"
"biomass liquids",2015,1.2340116,"EJ","SSP1"
"coal to liquids",2015,0,"EJ","SSP1"
"gas to liquids",2015,0,"EJ","SSP1"
"oil refining",2015,34.311704,"EJ","SSP1"
"biomass liquids",2020,1.3650479,"EJ","SSP1"
"coal to liquids",2020,0.00255368,"EJ","SSP1"
"gas to liquids",2020,0.00563571,"EJ","SSP1"
"oil refining",2020,34.981539,"EJ","SSP1"
"biomass liquids",2025,1.4646659,"EJ","SSP1"
"coal to liquids",2025,0.00690185,"EJ","SSP1"
"gas to liquids",2025,0.01553615,"EJ","SSP1"
"oil refining",2025,34.828663,"EJ","SSP1"
"biomass liquids",2030,1.71126164,"EJ","SSP1"
"coal to liquids",2030,0.02314391,"EJ","SSP1"
"gas to liquids",2030,0.05354502,"EJ","SSP1"
"oil refining",2030,34.390265,"EJ","SSP1"
"biomass liquids",2035,2.23897026,"EJ","SSP1"
"coal to liquids",2035,0.07051039,"EJ","SSP1"
"gas to liquids",2035,0.16583601,"EJ","SSP1"
"oil refining",2035,33.400686,"EJ","SSP1"
"biomass liquids",2040,3.12018373,"EJ","SSP1"
"coal to liquids",2040,0.17410228,"EJ","SSP1"
"gas to liquids",2040,0.40984889,"EJ","SSP1"
"oil refining",2040,32.317766,"EJ","SSP1"
"biomass liquids",2045,3.977729725,"EJ","SSP1"
"coal to liquids",2045,0.3038352,"EJ","SSP1"
"gas to liquids",2045,0.7114822,"EJ","SSP1"
"oil refining",2045,30.974076,"EJ","SSP1"
"biomass liquids",2050,4.52629636,"EJ","SSP1"
"coal to liquids",2050,0.4072858,"EJ","SSP1"
"gas to liquids",2050,0.94749331,"EJ","SSP1"
"oil refining",2050,29.707029,"EJ","SSP1"
"biomass liquids",2055,4.840701927,"EJ","SSP1"
"coal to liquids",2055,0.485562936,"EJ","SSP1"
"gas to liquids",2055,1.12111143,"EJ","SSP1"
"oil refining",2055,29.2735166,"EJ","SSP1"
"biomass liquids",2060,5.114335113,"EJ","SSP1"
"coal to liquids",2060,0.566719841,"EJ","SSP1"
"gas to liquids",2060,1.293161289,"EJ","SSP1"
"oil refining",2060,29.050655,"EJ","SSP1"
"biomass liquids",2065,5.219870171,"EJ","SSP1"
"coal to liquids",2065,0.638933436,"EJ","SSP1"
"gas to liquids",2065,1.434623383,"EJ","SSP1"
"oil refining",2065,29.1246251,"EJ","SSP1"
"biomass liquids",2070,5.36550647,"EJ","SSP1"
"coal to liquids",2070,0.743367784,"EJ","SSP1"
"gas to liquids",2070,1.62783518,"EJ","SSP1"
"oil refining",2070,29.0834941,"EJ","SSP1"
"biomass liquids",2075,5.54472365,"EJ","SSP1"
"coal to liquids",2075,0.8684123,"EJ","SSP1"
"gas to liquids",2075,1.84624389,"EJ","SSP1"
"oil refining",2075,28.924115,"EJ","SSP1"
"biomass liquids",2080,5.71138734,"EJ","SSP1"
"coal to liquids",2080,0.98536929,"EJ","SSP1"
"gas to liquids",2080,2.0389022,"EJ","SSP1"
"oil refining",2080,28.674286,"EJ","SSP1"
"biomass liquids",2085,5.84593525,"EJ","SSP1"
