Unit,Year,Value,Scenario
kg CO2/kWh,1990,0.62245748,SSP1
kg CO2/kWh,2005,0.602653645,SSP1
kg CO2/kWh,2010,0.555163019,SSP1
kg CO2/kWh,2015,0.544901093,SSP1
kg CO2/kWh,2020,0.531341347,SSP1
kg CO2/kWh,2025,0.508966129,SSP1
kg CO2/kWh,2030,0.480795862,SSP1
kg CO2/kWh,2035,0.449142925,SSP1
kg CO2/kWh,2040,0.421541217,SSP1
kg CO2/kWh,2045,0.394851439,SSP1
kg CO2/kWh,2050,0.371586061,SSP1
kg CO2/kWh,2055,0.356175248,SSP1
kg CO2/kWh,2060,0.344828688,SSP1
kg CO2/kWh,2065,0.340616091,SSP1
kg CO2/kWh,2070,0.331818537,SSP1
kg CO2/kWh,2075,0.310553795,SSP1
kg CO2/kWh,2080,0.306141719,SSP1
kg CO2/kWh,2085,0.299896937,SSP1
kg CO2/kWh,2090,0.295410048,SSP1
kg CO2/kWh,2095,0.289337932,SSP1
kg CO2/kWh,2100,0.284908204,SSP1
kg CO2/kWh,1990,0.62245748,SSP1_26
kg CO2/kWh,2005,0.602653645,SSP1_26
kg CO2/kWh,2010,0.555163019,SSP1_26
kg CO2/kWh,2015,0.544901093,SSP1_26
kg CO2/kWh,2020,0.528907902,SSP1_26
kg CO2/kWh,2025,0.497348938,SSP1_26
kg CO2/kWh,2030,0.456680011,SSP1_26
kg CO2/kWh,2035,0.40967132,SSP1_26
kg CO2/kWh,2040,0.360769587,SSP1_26
kg CO2/kWh,2045,0.311184054,SSP1_26
kg CO2/kWh,2050,0.263001241,SSP1_26
kg CO2/kWh,2055,0.218934042,SSP1_26
kg CO2/kWh,2060,0.168916141,SSP1_26
kg CO2/kWh,2065,0.119221216,SSP1_26
kg CO2/kWh,2070,0.064925361,SSP1_26
kg CO2/kWh,2075,0.021808733,SSP1_26
kg CO2/kWh,2080,-0.005312675,SSP1_26
kg CO2/kWh,2085,-0.027269151,SSP1_26
kg CO2/kWh,2090,-0.050870949,SSP1_26
kg CO2/kWh,2095,-0.069142594,SSP1_26
kg CO2/kWh,2100,-0.084808466,SSP1_26
kg CO2/kWh,1990,0.62245748,SSP2
kg CO2/kWh,2005,0.602653645,SSP2
kg CO2/kWh,2010,0.555163019,SSP2
kg CO2/kWh,2015,0.554797401,SSP2
kg CO2/kWh,2020,0.549998281,SSP2
kg CO2/kWh,2025,0.540717417,SSP2
kg CO2/kWh,2030,0.527334595,SSP2
kg CO2/kWh,2035,0.511110993,SSP2
kg CO2/kWh,2040,0.500852799,SSP2
kg CO2/kWh,2045,0.485814071,SSP2
kg CO2/kWh,2050,0.471900848,SSP2
kg CO2/kWh,2055,0.460963089,SSP2
kg CO2/kWh,2060,0.455003989,SSP2
kg CO2/kWh,2065,0.451472984,SSP2
kg CO2/kWh,2070,0.445352972,SSP2
kg CO2/kWh,2075,0.419981198,SSP2
kg CO2/kWh,2080,0.407894826,SSP2
kg CO2/kWh,2085,0.399634934,SSP2
kg CO2/kWh,2090,0.392324605,SSP2
kg CO2/kWh,2095,0.383909437,SSP2
kg CO2/kWh,2100,0.373876883,SSP2
kg CO2/kWh,1990,0.62245748,SSP2_26
kg CO2/kWh,2005,0.602653645,SSP2_26
kg CO2/kWh,2010,0.555163019,SSP2_26
kg CO2/kWh,2015,0.554797401,SSP2_26
kg CO2/kWh,2020,0.54496394,SSP2_26
kg CO2/kWh,2025,0.523678154,SSP2_26
kg CO2/kWh,2030,0.494728263,SSP2_26
kg CO2/kWh,2035,0.462653576,SSP2_26
kg CO2/kWh,2040,0.414117233,SSP2_26
kg CO2/kWh,2045,0.356022368,SSP2_26
kg CO2/kWh,2050,0.289564516,SSP2_26
kg CO2/kWh,2055,0.219111014,SSP2_26
kg CO2/kWh,2060,0.125285685,SSP2_26
kg CO2/kWh,2065,0.049373462,SSP2_26
kg CO2/kWh,2070,-0.005999711,SSP2_26
kg CO2/kWh,2075,-0.042713298,SSP2_26
kg CO2/kWh,2080,-0.064759775,SSP2_26
kg CO2/kWh,2085,-0.08307872,SSP2_26
kg CO2/kWh,2090,-0.095843585,SSP2_26
kg CO2/kWh,2095,-0.098963495,SSP2_26
kg CO2/kWh,2100,-0.099208682,SSP2_26
kg CO2/kWh,1990,0.62245748,SSP3
kg CO2/kWh,2005,0.602653645,SSP3
kg CO2/kWh,2010,0.555163019,SSP3
kg CO2/kWh,2015,0.555040423,SSP3
kg CO2/kWh,2020,0.551446794,SSP3
kg CO2/kWh,2025,0.54447255,SSP3
kg CO2/kWh,2030,0.534449566,SSP3
kg CO2/kWh,2035,0.522072925,SSP3
kg CO2/kWh,2040,0.517561472,SSP3
kg CO2/kWh,2045,0.507324536,SSP3
kg CO2/kWh,2050,0.497561373,SSP3
kg CO2/kWh,2055,0.490138717,SSP3
kg CO2/kWh,2060,0.490576866,SSP3
kg CO2/kWh,2065,0.492226348,SSP3
kg CO2/kWh,2070,0.490965155,SSP3
kg CO2/kWh,2075,0.46673072,SSP3
kg CO2/kWh,2080,0.457295985,SSP3
kg CO2/kWh,2085,0.453114355,SSP3
kg CO2/kWh,2090,0.449602698,SSP3
kg CO2/kWh,2095,0.442869198,SSP3
kg CO2/kWh,2100,0.432369401,SSP3
kg CO2/kWh,1990,0.62245748,SSP4
