"Input","Year","Value","Unit","Scenario"
"delivered gas",1975,0,"kg CO2","SSP1"
"elect_td_trn",1975,0,"kg CO2","SSP1"
"H2 enduse",1975,0,"kg CO2","SSP1"
"refined liquids enduse",1975,724838450162.182,"kg CO2","SSP1"
"delivered gas",1990,0,"kg CO2","SSP1"
"elect_td_trn",1990,0,"kg CO2","SSP1"
"H2 enduse",1990,0,"kg CO2","SSP1"
"refined liquids enduse",1990,840796099606.855,"kg CO2","SSP1"
"delivered gas",2005,0,"kg CO2","SSP1"
"elect_td_trn",2005,0,"kg CO2","SSP1"
"H2 enduse",2005,0,"kg CO2","SSP1"
"refined liquids enduse",2005,1087884780631.24,"kg CO2","SSP1"
"delivered gas",2010,0,"kg CO2","SSP1"
"elect_td_trn",2010,0,"kg CO2","SSP1"
"H2 enduse",2010,0,"kg CO2","SSP1"
"refined liquids enduse",2010,1020721986948.77,"kg CO2","SSP1"
"delivered gas",2015,6039530990,"kg CO2","SSP1"
"elect_td_trn",2015,479606654.922235,"kg CO2","SSP1"
"H2 enduse",2015,0,"kg CO2","SSP1"
"refined liquids enduse",2015,1023118076869.08,"kg CO2","SSP1"
"delivered gas",2020,15179691364,"kg CO2","SSP1"
"elect_td_trn",2020,4837395681.04438,"kg CO2","SSP1"
"H2 enduse",2020,0,"kg CO2","SSP1"
"refined liquids enduse",2020,987913291370.532,"kg CO2","SSP1"
"delivered gas",2025,29312157619,"kg CO2","SSP1"
"elect_td_trn",2025,11865453984.9189,"kg CO2","SSP1"
"H2 enduse",2025,0,"kg CO2","SSP1"
"refined liquids enduse",2025,912800822870.417,"kg CO2","SSP1"
"delivered gas",2030,42851913955,"kg CO2","SSP1"
"elect_td_trn",2030,19201717974.2738,"kg CO2","SSP1"
"H2 enduse",2030,0,"kg CO2","SSP1"
"refined liquids enduse",2030,837045805816.234,"kg CO2","SSP1"
"delivered gas",2035,55752534062,"kg CO2","SSP1"
"elect_td_trn",2035,26775700802.6106,"kg CO2","SSP1"
"H2 enduse",2035,0,"kg CO2","SSP1"
"refined liquids enduse",2035,753077823645.73,"kg CO2","SSP1"
"delivered gas",2040,63759009898,"kg CO2","SSP1"
"elect_td_trn",2040,32721440576.7762,"kg CO2","SSP1"
"H2 enduse",2040,0,"kg CO2","SSP1"
"refined liquids enduse",2040,700301205724.006,"kg CO2","SSP1"
"delivered gas",2045,70961333175,"kg CO2","SSP1"
"elect_td_trn",2045,38964371055.5576,"kg CO2","SSP1"
"H2 enduse",2045,0,"kg CO2","SSP1"
"refined liquids enduse",2045,646993857142.634,"kg CO2","SSP1"
"delivered gas",2050,76653715092,"kg CO2","SSP1"
"elect_td_trn",2050,45530218159.196,"kg CO2","SSP1"
"H2 enduse",2050,0,"kg CO2","SSP1"
"refined liquids enduse",2050,597508086459.394,"kg CO2","SSP1"
"delivered gas",2055,82383711646,"kg CO2","SSP1"
"elect_td_trn",2055,51074843995.5597,"kg CO2","SSP1"
"H2 enduse",2055,0,"kg CO2","SSP1"
"refined liquids enduse",2055,563775148419.365,"kg CO2","SSP1"
"delivered gas",2060,88211128427,"kg CO2","SSP1"
"elect_td_trn",2060,55923272540.6927,"kg CO2","SSP1"
"H2 enduse",2060,0,"kg CO2","SSP1"
"refined liquids enduse",2060,539433726950.542,"kg CO2","SSP1"
"delivered gas",2065,93828245121,"kg CO2","SSP1"
"elect_td_trn",2065,60983181178.3879,"kg CO2","SSP1"
"H2 enduse",2065,0,"kg CO2","SSP1"
"refined liquids enduse",2065,522896659937.395,"kg CO2","SSP1"
"delivered gas",2070,99195034340,"kg CO2","SSP1"
"elect_td_trn",2070,64895274912.3921,"kg CO2","SSP1"
"H2 enduse",2070,0,"kg CO2","SSP1"
"refined liquids enduse",2070,508164623377.803,"kg CO2","SSP1"
"delivered gas",2075,104062200710,"kg CO2","SSP1"
"elect_td_trn",2075,65888024027.904,"kg CO2","SSP1"
"H2 enduse",2075,0,"kg CO2","SSP1"
"refined liquids enduse",2075,493443610494.409,"kg CO2","SSP1"
"delivered gas",2080,107896463740,"kg CO2","SSP1"
"elect_td_trn",2080,70022960388.9064,"kg CO2","SSP1"
"H2 enduse",2080,0,"kg CO2","SSP1"
"refined liquids enduse",2080,476054227641.082,"kg CO2","SSP1"
"delivered gas",2085,110717475550,"kg CO2","SSP1"
"elect_td_trn",2085,73454089263.5156,"kg CO2","SSP1"
"H2 enduse",2085,0,"kg CO2","SSP1"
"refined liquids enduse",2085,455985527478.236,"kg CO2","SSP1"
"delivered gas",2090,112719282590,"kg CO2","SSP1"
"elect_td_trn",2090,77075048285.4952,"kg CO2","SSP1"
"H2 enduse",2090,0,"kg CO2","SSP1"
"refined liquids enduse",2090,433485486948.258,"kg CO2","SSP1"
"delivered gas",2095,114050458430,"kg CO2","SSP1"
"elect_td_trn",2095,79982404553.509,"kg CO2","SSP1"
"H2 enduse",2095,0,"kg CO2","SSP1"
"refined liquids enduse",2095,407378808623.54,"kg CO2","SSP1"
"delivered gas",2100,115926636740,"kg CO2","SSP1"
"elect_td_trn",2100,80651840521.9746,"kg CO2","SSP1"
"H2 enduse",2100,0,"kg CO2","SSP1"
"refined liquids enduse",2100,383232355246.776,"kg CO2","SSP1"
"delivered gas",1975,0,"kg CO2","SSP1_26"
"elect_td_trn",1975,0,"kg CO2","SSP1_26"
"H2 enduse",1975,0,"kg CO2","SSP1_26"
"refined liquids enduse",1975,724838450162.182,"kg CO2","SSP1_26"
"delivered gas",1990,0,"kg CO2","SSP1_26"
"elect_td_trn",1990,0,"kg CO2","SSP1_26"
"H2 enduse",1990,0,"kg CO2","SSP1_26"
"refined liquids enduse",1990,840796099606.855,"kg CO2","SSP1_26"
"delivered gas",2005,0,"kg CO2","SSP1_26"
"elect_td_trn",2005,0,"kg CO2","SSP1_26"
"H2 enduse",2005,0,"kg CO2","SSP1_26"
"refined liquids enduse",2005,1087884780631.24,"kg CO2","SSP1_26"
"delivered gas",2010,0,"kg CO2","SSP1_26"
"elect_td_trn",2010,0,"kg CO2","SSP1_26"
"H2 enduse",2010,0,"kg CO2","SSP1_26"
"refined liquids enduse",2010,1020721986948.77,"kg CO2","SSP1_26"
"delivered gas",2015,6039530990,"kg CO2","SSP1_26"
"elect_td_trn",2015,479606654.922235,"kg CO2","SSP1_26"
"H2 enduse",2015,0,"kg CO2","SSP1_26"
"refined liquids enduse",2015,1023118076869.08,"kg CO2","SSP1_26"
"delivered gas",2020,15171631494,"kg CO2","SSP1_26"
"elect_td_trn",2020,4848046817.99856,"kg CO2","SSP1_26"
"H2 enduse",2020,0,"kg CO2","SSP1_26"
"refined liquids enduse",2020,982278419492.905,"kg CO2","SSP1_26"
"delivered gas",2025,29485124409,"kg CO2","SSP1_26"
"elect_td_trn",2025,11701761333.281,"kg CO2","SSP1_26"
"H2 enduse",2025,0,"kg CO2","SSP1_26"
"refined liquids enduse",2025,907491933454.371,"kg CO2","SSP1_26"
"delivered gas",2030,43131336675,"kg CO2","SSP1_26"
"elect_td_trn",2030,18412427245.8944,"kg CO2","SSP1_26"
"H2 enduse",2030,0,"kg CO2","SSP1_26"
"refined liquids enduse",2030,828554402896.517,"kg CO2","SSP1_26"
"delivered gas",2035,56180059889,"kg CO2","SSP1_26"
"elect_td_trn",2035,24724383762.2282,"kg CO2","SSP1_26"
"H2 enduse",2035,0,"kg CO2","SSP1_26"
"refined liquids enduse",2035,736370553469.796,"kg CO2","SSP1_26"
"delivered gas",2040,64324301150,"kg CO2","SSP1_26"
"elect_td_trn",2040,28484430192.5189,"kg CO2","SSP1_26"
"H2 enduse",2040,0,"kg CO2","SSP1_26"
"refined liquids enduse",2040,667362724492.85,"kg CO2","SSP1_26"
"delivered gas",2045,71677053278,"kg CO2","SSP1_26"
"elect_td_trn",2045,31464800795.7208,"kg CO2","SSP1_26"
"H2 enduse",2045,0,"kg CO2","SSP1_26"
