"scenario","region","sector","mode","technology","input","year","value","Units"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2015,76.8791521416837,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2020,76.3893417119204,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2025,76.0020995362118,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2030,75.6221055061325,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2035,75.1992702617998,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2040,74.7763959420442,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2045,74.2994618925312,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2050,73.8101157384661,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2055,73.4838411426722,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2060,73.2440473406419,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2065,73.0592536585909,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2070,72.9010492744693,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2075,72.7567122601099,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2080,72.6139188886784,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2085,72.4732598045483,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2090,72.3335121927548,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2095,72.1943565840408,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2100,72.1073773305409,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2020,115.808705329541,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2025,113.595270812079,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2030,111.451498692795,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2035,109.108887494838,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2040,106.903612082186,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2045,104.481421349838,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2050,102.005337444538,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2055,100.53098379378,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2060,99.6586871089105,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2065,99.1635948067432,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2070,98.8539485228566,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2075,98.6293298019258,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2080,98.4065460356053,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2085,98.1845214503533,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2090,97.9620235559722,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2095,97.7387268848264,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2100,97.6000610675289,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",1975,218.599239571362,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",1990,218.599099493684,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2005,218.599170731071,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2010,207.850138051075,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2015,197.444421164529,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2020,189.501431298634,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2025,183.55257770349,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2030,177.929960658379,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2035,171.633811411834,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2040,165.459442958764,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2045,158.83157591488,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2050,152.224154962454,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2055,147.569566084242,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2060,144.409986293594,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2065,142.40608027279,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2070,141.035097222512,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2075,139.996883810456,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2080,138.97629246832,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2085,137.979443570432,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2090,136.998017639243,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2095,136.026635967386,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids","refined liquids enduse",2100,135.361343002022,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",1975,291.362576626874,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",1990,291.361710569028,"MJ/100km"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2005,291.362342466612,"MJ/100km"
