"Units","scenario","region","sector","mode","technology","input","year","value"
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2015,0.00121435
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2020,0.011091452
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2025,0.027769118
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2030,0.04677436
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2035,0.068687161
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2040,0.08812217
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2045,0.11039399
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2050,0.13510795
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2055,0.15632078
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2060,0.17483419
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2065,0.19105374
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2070,0.2063616
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2075,0.2212399
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2080,0.2357671
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2085,0.2493598
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2090,0.2622728
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2095,0.2741291
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV","elect_td_trn",2100,0.2781386
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2020,0.002371
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV","H2 enduse",2025,0.00763898
