"scenario","region","sector","subsector","technology","year","value","Units"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2015,82251.456052141,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2020,756073.365517205,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2025,1902588.20024309,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2030,3220826.95060892,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2035,4756310.98742614,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2040,6136616.11900474,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2045,7736919.2599643,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2050,9531764.87493376,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2055,11077280.8407531,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2060,12429748.2855629,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2065,13617225.0506883,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2070,14740201.1448037,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2075,15834293.4884346,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2080,16907197.6038747,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2085,17916655.6809104,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2090,18880870.0191679,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2095,19772436.6495377,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","BEV",2100,20085833.9111841,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2020,106610.173513429,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2025,350173.618892688,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2030,665470.867092562,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2035,1051777.8469148,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2040,1421561.93066318,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2045,1851107.29832129,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2050,2326267.07516103,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2055,2832972.89066887,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2060,3381349.87700347,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2065,3962723.68098418,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2070,4569995.30688491,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2075,5191920.72326704,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2080,5807637.3197567,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2085,6397860.80958872,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2090,6959789.82490462,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2095,7493748.00608523,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","FCEV",2100,7890204.17687244,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",1975,145103.604470588,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",1990,169305.115759111,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2005,227247.949398728,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2010,226079.614215393,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2015,5576266.74558834,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2020,15489562.7625046,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2025,25526071.5067272,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2030,32233704.3772526,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2035,36616774.8543948,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2040,36858763.6014649,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2045,36150597.5812001,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2050,35198554.3623559,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2055,34399409.8012281,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2060,33785850.9171349,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2065,33263883.5791067,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2070,32727092.0615167,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2075,32119748.9183424,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2080,31313360.3495052,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2085,30266953.8782796,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2090,29041009.3888668,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2095,27583124.8236786,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Hybrid Liquids",2100,26148056.5757661,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids",1975,46988496.594855,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids",1990,54825735.1448406,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids",2005,73588967.4883133,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids",2010,74582958.7190432,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids",2015,71790324.5368185,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids",2020,64208109.3337622,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids",2025,54558847.1810989,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids",2030,47192666.8758355,"vehicle"
"SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids",2035,41032943.4268705,"vehicle"
