"Technology","Year","Value","Scenario","Unit"
"backup_electricity",1990,0,"SSP1","EJ"
"elec_biomass (conv)",1990,0.0791349,"SSP1","EJ"
"elec_biomass (IGCC)",1990,0,"SSP1","EJ"
"elec_coal (conv pul)",1990,6.02909,"SSP1","EJ"
"elec_coal (IGCC)",1990,0,"SSP1","EJ"
"elec_CSP",1990,0.0023869,"SSP1","EJ"
"elec_CSP_storage",1990,0,"SSP1","EJ"
"elec_gas (CC)",1990,0.5903,"SSP1","EJ"
"elec_gas (steam/CT)",1990,0.435995,"SSP1","EJ"
"elec_Gen_II_LWR",1990,2.20139,"SSP1","EJ"
"elec_Gen_III",1990,0,"SSP1","EJ"
"elec_geothermal",1990,0.0576456,"SSP1","EJ"
"elec_refined liquids (CC)",1990,0,"SSP1","EJ"
"elec_refined liquids (steam/CT)",1990,0.450767,"SSP1","EJ"
"global solar resource",1990,1.08004e-05,"SSP1","EJ"
"onshore wind resource",1990,0.0110381,"SSP1","EJ"
"water_td_elec_C",1990,4.643580060003,"SSP1","EJ"
"water_td_elec_W",1990,6.0003e-08,"SSP1","EJ"
"backup_electricity",2005,0,"SSP1","EJ"
"elec_biomass (conv)",2005,0.110634,"SSP1","EJ"
"elec_biomass (IGCC)",2005,0,"SSP1","EJ"
"elec_coal (conv pul)",2005,7.68047,"SSP1","EJ"
"elec_coal (IGCC)",2005,0,"SSP1","EJ"
"elec_CSP",2005,0.00214559,"SSP1","EJ"
"elec_CSP_storage",2005,0,"SSP1","EJ"
"elec_gas (CC)",2005,1.90249,"SSP1","EJ"
"elec_gas (steam/CT)",2005,0.666933,"SSP1","EJ"
"elec_Gen_II_LWR",2005,2.91859,"SSP1","EJ"
"elec_Gen_III",2005,0,"SSP1","EJ"
"elec_geothermal",2005,0.0604004,"SSP1","EJ"
"elec_refined liquids (CC)",2005,0,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2005,0.454965,"SSP1","EJ"
"global solar resource",2005,0.00188639,"SSP1","EJ"
"onshore wind resource",2005,0.0643712,"SSP1","EJ"
"water_td_elec_C",2005,4.63630048,"SSP1","EJ"
"water_td_elec_W",2005,1.048e-05,"SSP1","EJ"
"backup_electricity",2010,0,"SSP1","EJ"
"elec_biomass (conv)",2010,0.115436,"SSP1","EJ"
"elec_biomass (IGCC)",2010,0,"SSP1","EJ"
"elec_coal (conv pul)",2010,7.10527,"SSP1","EJ"
"elec_coal (IGCC)",2010,0,"SSP1","EJ"
"elec_CSP",2010,0.00316435,"SSP1","EJ"
"elec_CSP_storage",2010,0,"SSP1","EJ"
"elec_gas (CC)",2010,1.84213,"SSP1","EJ"
"elec_gas (steam/CT)",2010,1.54243,"SSP1","EJ"
"elec_Gen_II_LWR",2010,3.0201,"SSP1","EJ"
