"Source","Year","Value","Unit"
"Melaina (2011)",2015,1033.8,"Mt CO2"
"Winkler (2014)",2015,1033.8,"Mt CO2"
"Meier (2015)",2015,1033.8,"Mt CO2"
"Miotti (2016)",2015,1033.8,"Mt CO2"
"INDC",2015,1033.8,"Mt CO2"
"Grimes-Casey (2009)",2015,1033.8,"Mt CO2"
"Melaina (2011)",2016,1058.2,"Mt CO2"
"Winkler (2014)",2016,1058.2,"Mt CO2"
"Meier (2015)",2016,1058.2,"Mt CO2"
"Miotti (2016)",2016,1058.2,"Mt CO2"
"INDC",2016,1058.2,"Mt CO2"
"Grimes-Casey (2009)",2016,1058.2,"Mt CO2"
"Melaina (2011)",2017,1054.4,"Mt CO2"
"Winkler (2014)",2017,1054.4,"Mt CO2"
"Meier (2015)",2017,1054.4,"Mt CO2"
"Miotti (2016)",2017,1054.4,"Mt CO2"
"INDC",2017,1054.4,"Mt CO2"
"Grimes-Casey (2009)",2017,1054.4,"Mt CO2"
"Melaina (2011)",2018,1028.29184848485,"Mt CO2"
"Winkler (2014)",2018,1030.50139393939,"Mt CO2"
"Meier (2015)",2018,1028.53151515152,"Mt CO2"
"Miotti (2016)",2018,1021.65076923077,"Mt CO2"
"INDC",2018,962.3005,"Mt CO2"
"Grimes-Casey (2009)",2018,1030.64924242424,"Mt CO2"
"Melaina (2011)",2019,1002.1836969697,"Mt CO2"
"Winkler (2014)",2019,1006.60278787879,"Mt CO2"
"Meier (2015)",2019,1002.66303030303,"Mt CO2"
"Miotti (2016)",2019,988.901538461539,"Mt CO2"
"INDC",2019,870.201,"Mt CO2"
"Grimes-Casey (2009)",2019,1006.89848484848,"Mt CO2"
"Melaina (2011)",2020,976.075545454546,"Mt CO2"
"Winkler (2014)",2020,982.704181818182,"Mt CO2"
"Meier (2015)",2020,976.794545454546,"Mt CO2"
"Miotti (2016)",2020,956.152307692308,"Mt CO2"
"INDC",2020,778.1015,"Mt CO2"
"Grimes-Casey (2009)",2020,983.147727272727,"Mt CO2"
"Melaina (2011)",2021,949.967393939394,"Mt CO2"
"Winkler (2014)",2021,958.805575757576,"Mt CO2"
"Meier (2015)",2021,950.926060606061,"Mt CO2"
"Miotti (2016)",2021,923.403076923077,"Mt CO2"
"INDC",2021,686.002,"Mt CO2"
"Grimes-Casey (2009)",2021,959.39696969697,"Mt CO2"
"Melaina (2011)",2022,923.859242424242,"Mt CO2"
"Winkler (2014)",2022,934.90696969697,"Mt CO2"
"Meier (2015)",2022,925.057575757576,"Mt CO2"
"Miotti (2016)",2022,890.653846153846,"Mt CO2"
"INDC",2022,593.9025,"Mt CO2"
"Grimes-Casey (2009)",2022,935.646212121212,"Mt CO2"
"Melaina (2011)",2023,897.751090909091,"Mt CO2"
"Winkler (2014)",2023,911.008363636364,"Mt CO2"
"Meier (2015)",2023,899.189090909091,"Mt CO2"
"Miotti (2016)",2023,857.904615384615,"Mt CO2"
"INDC",2023,501.803,"Mt CO2"
"Grimes-Casey (2009)",2023,911.895454545455,"Mt CO2"
"Melaina (2011)",2024,871.64293939394,"Mt CO2"
"Winkler (2014)",2024,887.109757575758,"Mt CO2"
"Meier (2015)",2024,873.320606060606,"Mt CO2"
"Miotti (2016)",2024,825.155384615385,"Mt CO2"
"INDC",2024,409.7035,"Mt CO2"
"Grimes-Casey (2009)",2024,888.144696969697,"Mt CO2"
"Melaina (2011)",2025,845.534787878788,"Mt CO2"
"Winkler (2014)",2025,863.211151515152,"Mt CO2"
"Meier (2015)",2025,847.452121212121,"Mt CO2"
"Miotti (2016)",2025,792.406153846154,"Mt CO2"
"INDC",2025,317.604,"Mt CO2"
"Grimes-Casey (2009)",2025,864.393939393939,"Mt CO2"
"Melaina (2011)",2026,819.426636363636,"Mt CO2"
"Winkler (2014)",2026,839.312545454546,"Mt CO2"
"Meier (2015)",2026,821.583636363637,"Mt CO2"
"Miotti (2016)",2026,759.656923076923,"Mt CO2"
"INDC",2026,NA,"Mt CO2"
"Grimes-Casey (2009)",2026,840.643181818182,"Mt CO2"
"Melaina (2011)",2027,793.318484848485,"Mt CO2"
"Winkler (2014)",2027,815.413939393939,"Mt CO2"
"Meier (2015)",2027,795.715151515152,"Mt CO2"
"Miotti (2016)",2027,726.907692307692,"Mt CO2"
