"Source","Data","Size","Age","Value"
"TEDB","Annual Survival rate","Car",0,1
"TEDB","Annual Survival rate","Car",1,0.997
"TEDB","Annual Survival rate","Car",2,0.996990973
"TEDB","Annual Survival rate","Car",3,0.996981891
"TEDB","Annual Survival rate","Car",4,0.992936428
"TEDB","Annual Survival rate","Car",5,0.989837398
"TEDB","Annual Survival rate","Car",6,0.986652977
"TEDB","Annual Survival rate","Car",7,0.980228928
"TEDB","Annual Survival rate","Car",8,0.976645435
"TEDB","Annual Survival rate","Car",9,0.970652174
"TEDB","Annual Survival rate","Car",10,0.965285554
"TEDB","Annual Survival rate","Car",11,0.958236659
"TEDB","Annual Survival rate","Car",12,0.953995157
"TEDB","Annual Survival rate","Car",13,0.911167513
"TEDB","Annual Survival rate","Car",14,0.853760446
"TEDB","Annual Survival rate","Car",15,0.831973899
"TEDB","Annual Survival rate","Car",16,0.81372549
"TEDB","Annual Survival rate","Car",17,0.8
"TEDB","Annual Survival rate","Car",18,0.786144578
"TEDB","Annual Survival rate","Car",19,0.777777778
"TEDB","Annual Survival rate","Car",20,0.773399015
"TEDB","Annual Survival rate","Car",21,0.76433121
"TEDB","Annual Survival rate","Car",22,0.766666667
"TEDB","Annual Survival rate","Car",23,0.760869565
"TEDB","Annual Survival rate","Car",24,0.757142857
"TEDB","Annual Survival rate","Car",25,0.754716981
"TEDB","Annual Survival rate","Car",26,0.75
"TEDB","Annual Survival rate","Car",27,0.766666667
"TEDB","Annual Survival rate","Car",28,0.565217391
"TEDB","Annual Survival rate","Car",29,0.769230769
"TEDB","Annual Survival rate","Car",30,0.7
"TEDB","Annual Survival rate","Car",31,0.285714286
"TEDB","Annual Survival rate","Light truck",0,1
"TEDB","Annual Survival rate","Light truck",1,0.991
"TEDB","Annual Survival rate","Light truck",2,0.990918264
"TEDB","Annual Survival rate","Light truck",3,0.990835031
"TEDB","Annual Survival rate","Light truck",4,0.98663926
"TEDB","Annual Survival rate","Light truck",5,0.980208333
"TEDB","Annual Survival rate","Light truck",6,0.976620616
"TEDB","Annual Survival rate","Light truck",7,0.9695321
"TEDB","Annual Survival rate","Light truck",8,0.964085297
"TEDB","Annual Survival rate","Light truck",9,0.958090803
"TEDB","Annual Survival rate","Light truck",10,0.952612394
"TEDB","Annual Survival rate","Light truck",11,0.945153061
"TEDB","Annual Survival rate","Light truck",12,0.940620783
"TEDB","Annual Survival rate","Light truck",13,0.934002869
"TEDB","Annual Survival rate","Light truck",14,0.929339478
"TEDB","Annual Survival rate","Light truck",15,0.914049587
"TEDB","Annual Survival rate","Light truck",16,0.907775769
"TEDB","Annual Survival rate","Light truck",17,0.902390438
"TEDB","Annual Survival rate","Light truck",18,0.898454746
"TEDB","Annual Survival rate","Light truck",19,0.894348894
"TEDB","Annual Survival rate","Light truck",20,0.89010989
"TEDB","Annual Survival rate","Light truck",21,0.888888889
"TEDB","Annual Survival rate","Light truck",22,0.885416667
"TEDB","Annual Survival rate","Light truck",23,0.882352941
"TEDB","Annual Survival rate","Light truck",24,0.88
"TEDB","Annual Survival rate","Light truck",25,0.878787879
"TEDB","Annual Survival rate","Light truck",26,0.879310345
"TEDB","Annual Survival rate","Light truck",27,0.869281046
"TEDB","Annual Survival rate","Light truck",28,0.879699248
"TEDB","Annual Survival rate","Light truck",29,0.871794872
"TEDB","Annual Survival rate","Light truck",30,0.87254902
"TEDB","Annual Survival rate","Light truck",31,0.303370787
"VISION","Annual Survival rate","Car",0,1
"VISION","Annual Survival rate","Car",1,1
"VISION","Annual Survival rate","Car",2,1
"VISION","Annual Survival rate","Car",3,1
"VISION","Annual Survival rate","Car",4,0.988
"VISION","Annual Survival rate","Car",5,0.963
"VISION","Annual Survival rate","Car",6,0.957
"VISION","Annual Survival rate","Car",7,0.951
"VISION","Annual Survival rate","Car",8,0.946
"VISION","Annual Survival rate","Car",9,0.94
"VISION","Annual Survival rate","Car",10,0.934
"VISION","Annual Survival rate","Car",11,0.927
"VISION","Annual Survival rate","Car",12,0.921
"VISION","Annual Survival rate","Car",13,0.914
"VISION","Annual Survival rate","Car",14,0.91
"VISION","Annual Survival rate","Car",15,0.9
"VISION","Annual Survival rate","Car",16,0.9
"VISION","Annual Survival rate","Car",17,0.89
"VISION","Annual Survival rate","Car",18,0.88
"VISION","Annual Survival rate","Car",19,0.87
"VISION","Annual Survival rate","Car",20,0.87
"VISION","Annual Survival rate","Car",21,0.858
"VISION","Annual Survival rate","Car",22,0.854
"VISION","Annual Survival rate","Car",23,0.841
"VISION","Annual Survival rate","Car",24,0.813
"VISION","Annual Survival rate","Light truck",0,1
"VISION","Annual Survival rate","Light truck",1,1
"VISION","Annual Survival rate","Light truck",2,0.99
"VISION","Annual Survival rate","Light truck",3,0.973
"VISION","Annual Survival rate","Light truck",4,0.968
"VISION","Annual Survival rate","Light truck",5,0.961
"VISION","Annual Survival rate","Light truck",6,0.955
"VISION","Annual Survival rate","Light truck",7,0.949
"VISION","Annual Survival rate","Light truck",8,0.943
"VISION","Annual Survival rate","Light truck",9,0.936
"VISION","Annual Survival rate","Light truck",10,0.929
"VISION","Annual Survival rate","Light truck",11,0.923
"VISION","Annual Survival rate","Light truck",12,0.914
"VISION","Annual Survival rate","Light truck",13,0.908
"VISION","Annual Survival rate","Light truck",14,0.901
"VISION","Annual Survival rate","Light truck",15,0.89
"VISION","Annual Survival rate","Light truck",16,0.88
"VISION","Annual Survival rate","Light truck",17,0.88
"VISION","Annual Survival rate","Light truck",18,0.87
"VISION","Annual Survival rate","Light truck",19,0.86
"VISION","Annual Survival rate","Light truck",20,0.85
"VISION","Annual Survival rate","Light truck",21,0.843
"VISION","Annual Survival rate","Light truck",22,0.837
"VISION","Annual Survival rate","Light truck",23,0.918
"VISION","Annual Survival rate","Light truck",24,0.931
"own","Annual Survival rate","Car",1,0.985442665999957
"own","Annual Survival rate","Car",2,0.990687976605421
"own","Annual Survival rate","Car",3,0.99091455216291
"own","Annual Survival rate","Car",4,0.979957266638362
"own","Annual Survival rate","Car",5,0.957151939965795
"own","Annual Survival rate","Car",6,0.952045615313332
"own","Annual Survival rate","Car",7,0.946606813924263
"own","Annual Survival rate","Car",8,0.941945586101137
"own","Annual Survival rate","Car",9,0.93649442521516
"own","Annual Survival rate","Car",10,0.930982781968893
"own","Annual Survival rate","Car",11,0.924533240449093
"own","Annual Survival rate","Car",12,0.918989910775187
"own","Annual Survival rate","Car",13,0.91257949977187
"own","Annual Survival rate","Car",14,0.908896847864896
"own","Annual Survival rate","Car",15,0.899737995242041
"own","Annual Survival rate","Car",16,0.89972605812991
"own","Annual Survival rate","Car",17,0.890569673945685
"own","Annual Survival rate","Car",18,0.881382058688437
"own","Annual Survival rate","Car",19,0.872157860312754
"own","Annual Survival rate","Car",20,0.872200339367654
"own","Annual Survival rate","Car",21,0.861183079811672
"own","Annual Survival rate","Car",22,0.857480487614059
"own","Annual Survival rate","Car",23,0.845564862238809
"own","Annual Survival rate","Car",24,0.819875548533078
"own","Annual Survival rate","Car",25,0.819851824112705
"own","Annual Survival rate","Car",26,0.819893322880412
"own","Annual Survival rate","Car",27,0.819892593980436
"own","Annual Survival rate","Car",28,0.819892896968515
"own","Annual Survival rate","Car",29,0.819906272321777
"own","Annual Survival rate","Car",30,0.819909665552322
"own","Annual Survival rate","Light truck",1,0.989069327899693
"own","Annual Survival rate","Light truck",2,0.992716753520544
"own","Annual Survival rate","Light truck",3,0.982959264884642
"own","Annual Survival rate","Light truck",4,0.979906853176909
"own","Annual Survival rate","Light truck",5,0.975969523735138
"own","Annual Survival rate","Light truck",6,0.972515630748877
"own","Annual Survival rate","Light truck",7,0.969300906560773
"own","Annual Survival rate","Light truck",8,0.965653078143798
"own","Annual Survival rate","Light truck",9,0.961994971127131
"own","Annual Survival rate","Light truck",10,0.957390345256712
"own","Annual Survival rate","Light truck",11,0.954706336533438
"own","Annual Survival rate","Light truck",12,0.948935205341705
"own","Annual Survival rate","Light truck",13,0.945532420661839
"own","Annual Survival rate","Light truck",14,0.941292612850077
"own","Annual Survival rate","Light truck",15,0.934918846397948
"own","Annual Survival rate","Light truck",16,0.929003948590472
"own","Annual Survival rate","Light truck",17,0.928790983847225
"own","Annual Survival rate","Light truck",18,0.922748132984862
"own","Annual Survival rate","Light truck",19,0.917432400745713
"own","Annual Survival rate","Light truck",20,0.911675376443147
"own","Annual Survival rate","Light truck",21,0.908307323611446
"own","Annual Survival rate","Light truck",22,0.904834579390267
"own","Annual Survival rate","Light truck",23,0.951553838309666
"own","Annual Survival rate","Light truck",24,0.95904090432615
"own","Annual Survival rate","Light truck",25,0.959039402791396
"own","Annual Survival rate","Light truck",26,0.959037697162333
"own","Annual Survival rate","Light truck",27,0.959036202885598
"own","Annual Survival rate","Light truck",28,0.959037916397783
"own","Annual Survival rate","Light truck",29,0.959037370153736
"own","Annual Survival rate","Light truck",30,0.959035455890508
