"Year","Region","Source","Mix"
2001,"ASCC","Coal",0.0579298501693051
2001,"ASCC","Natural Gas",0.54166691190071
2001,"ASCC","Other",0.157986084587812
2001,"ASCC","Renewable",0.242417153342174
2002,"ASCC","Coal",0.100132736414548
2002,"ASCC","Natural Gas",0.486995689446796
2002,"ASCC","Other",0.160227145656346
2002,"ASCC","Renewable",0.25264442848231
2003,"ASCC","Coal",0.0749735069620826
2003,"ASCC","Natural Gas",0.526240346453085
2003,"ASCC","Other",0.138070396424948
2003,"ASCC","Renewable",0.260715750159884
2004,"ASCC","Coal",0.0994556604183884
2004,"ASCC","Natural Gas",0.55528837206301
2004,"ASCC","Other",0.114273082440893
2004,"ASCC","Renewable",0.230982885077709
2005,"ASCC","Coal",0.094974862882682
2005,"ASCC","Natural Gas",0.566459648455256
2005,"ASCC","Other",0.114972983182434
2005,"ASCC","Renewable",0.223592505479628
2006,"ASCC","Coal",0.0925522822842673
2006,"ASCC","Natural Gas",0.608261462581804
2006,"ASCC","Other",0.11464810188089
2006,"ASCC","Renewable",0.184538153253039
2007,"ASCC","Coal",0.0940291053379015
2007,"ASCC","Natural Gas",0.566972211036015
2007,"ASCC","Other",0.148062194572568
2007,"ASCC","Renewable",0.190936489053516
2008,"ASCC","Coal",0.0913247119964353
2008,"ASCC","Natural Gas",0.591562542040307
2008,"ASCC","Other",0.143219389054724
2008,"ASCC","Renewable",0.173893356908534
2009,"ASCC","Coal",0.0940878322044931
2009,"ASCC","Natural Gas",0.533768738008746
2009,"ASCC","Other",0.172613286234097
2009,"ASCC","Renewable",0.199530143552663
2010,"ASCC","Coal",0.0919559672154457
2010,"ASCC","Natural Gas",0.555791396676281
2010,"ASCC","Other",0.138800542851692
2010,"ASCC","Renewable",0.213452093256581
2011,"ASCC","Coal",0.0957782313856562
2011,"ASCC","Natural Gas",0.570017676251677
2011,"ASCC","Other",0.137619598545233
2011,"ASCC","Renewable",0.196584493817434
2012,"ASCC","Coal",0.0988640359319969
2012,"ASCC","Natural Gas",0.520479742609371
2012,"ASCC","Other",0.150169718189762
2012,"ASCC","Renewable",0.23048650326887
2013,"ASCC","Coal",0.0972277998150698
2013,"ASCC","Natural Gas",0.521430749935512
2013,"ASCC","Other",0.127430521108772
2013,"ASCC","Renewable",0.253910929140646
2014,"ASCC","Coal",0.0923538475869433
2014,"ASCC","Natural Gas",0.543911454334686
2014,"ASCC","Other",0.0737156216732169
2014,"ASCC","Renewable",0.290019076405153
2015,"ASCC","Coal",0.106462440800741
2015,"ASCC","Natural Gas",0.490034422581238
2015,"ASCC","Other",0.119063658128021
2015,"ASCC","Renewable",0.28443947849
2016,"ASCC","Coal",0.0937508353106075
2016,"ASCC","Natural Gas",0.479766949472089
2016,"ASCC","Other",0.131177816935561
2016,"ASCC","Renewable",0.295304398281742
2017,"ASCC","Coal",0.212509407339705
2017,"ASCC","Natural Gas",0.188184859384806
2017,"ASCC","Other",0.554886204253204
2017,"ASCC","Renewable",0.0444195290222853
2001,"FRCC","Coal",0.336251707782514
2001,"FRCC","Natural Gas",0.234295847546738
2001,"FRCC","Nuclear",0.173383065612881
2001,"FRCC","Other",0.244859484399501
2001,"FRCC","Renewable",0.0112098946583662
2002,"FRCC","Coal",0.306632832732878
2002,"FRCC","Natural Gas",0.3110130703802
2002,"FRCC","Nuclear",0.174096570683386
2002,"FRCC","Other",0.197568734380671
2002,"FRCC","Renewable",0.0106887918228656
2003,"FRCC","Coal",0.299583242638979
2003,"FRCC","Natural Gas",0.330564605248505
2003,"FRCC","Nuclear",0.157869061744745
2003,"FRCC","Other",0.204146758382662
2003,"FRCC","Renewable",0.00783633198510993
