"Year","Source","Region","Aeo_year","Aeo_case","Mix"
2020,"Coal","BASN",2021,"HOP",0.335197407385945
2021,"Coal","BASN",2021,"HOP",0.338635586931166
2022,"Coal","BASN",2021,"HOP",0.332034710090866
2023,"Coal","BASN",2021,"HOP",0.331587229138175
2024,"Coal","BASN",2021,"HOP",0.277735087216623
2025,"Coal","BASN",2021,"HOP",0.268744297988635
2026,"Coal","BASN",2021,"HOP",0.260836408411816
2027,"Coal","BASN",2021,"HOP",0.254327401581687
2028,"Coal","BASN",2021,"HOP",0.252404103803572
2029,"Coal","BASN",2021,"HOP",0.229025626927713
2030,"Coal","BASN",2021,"HOP",0.223925624099911
2031,"Coal","BASN",2021,"HOP",0.198871087709649
2032,"Coal","BASN",2021,"HOP",0.195431392313536
2033,"Coal","BASN",2021,"HOP",0.195014021248579
2034,"Coal","BASN",2021,"HOP",0.196122910297922
2035,"Coal","BASN",2021,"HOP",0.195566635612686
2036,"Coal","BASN",2021,"HOP",0.192337227239305
2037,"Coal","BASN",2021,"HOP",0.193554890907302
2038,"Coal","BASN",2021,"HOP",0.147488293947254
2039,"Coal","BASN",2021,"HOP",0.147950522632917
2040,"Coal","BASN",2021,"HOP",0.145981762424067
2041,"Coal","BASN",2021,"HOP",0.144087572696999
2042,"Coal","BASN",2021,"HOP",0.141912052274941
2043,"Coal","BASN",2021,"HOP",0.139105684017611
2044,"Coal","BASN",2021,"HOP",0.132125331568409
2045,"Coal","BASN",2021,"HOP",0.134110656613231
2046,"Coal","BASN",2021,"HOP",0.131539020329418
2047,"Coal","BASN",2021,"HOP",0.127475141460142
2048,"Coal","BASN",2021,"HOP",0.125628231794966
2049,"Coal","BASN",2021,"HOP",0.126000015356269
2050,"Coal","BASN",2021,"HOP",0.123490527837196
2020,"Natural Gas","BASN",2021,"HOP",0.408160077133072
2021,"Natural Gas","BASN",2021,"HOP",0.348933397833379
2022,"Natural Gas","BASN",2021,"HOP",0.336115951789367
2023,"Natural Gas","BASN",2021,"HOP",0.293410786293859
