Year,Census,Source,Value
2001,East North Central,Coal,0.698477505
2001,East North Central,Natural Gas,0.037856245
2001,East North Central,Nuclear,0.237583408
2001,East North Central,Other,0.010576395
2001,East North Central,Renewable,0.015506447
2001,East South Central,Coal,0.653084329
2001,East South Central,Natural Gas,0.076800132
2001,East South Central,Nuclear,0.185884405
2001,East South Central,Other,0.015091494
2001,East South Central,Renewable,0.06913964
2001,Middle Atlantic,Coal,0.361707731
2001,Middle Atlantic,Natural Gas,0.146136274
2001,Middle Atlantic,Nuclear,0.361566708
2001,Middle Atlantic,Other,0.057341097
2001,Middle Atlantic,Renewable,0.07324819
2001,Mountain,Coal,0.677358316
2001,Mountain,Natural Gas,0.132277269
2001,Mountain,Nuclear,0.090189729
2001,Mountain,Other,0.00727741
2001,Mountain,Renewable,0.092897276
2001,New England,Coal,0.163150857
2001,New England,Natural Gas,0.285552301
2001,New England,Nuclear,0.286777326
2001,New England,Other,0.152408404
2001,New England,Renewable,0.112111112
2001,Pacific,Coal,0.052109851
2001,Pacific,Natural Gas,0.395802192
2001,Pacific,Nuclear,0.120526423
2001,Pacific,Other,0.040498339
2001,Pacific,Renewable,0.391063195
2001,South Atlantic,Coal,0.552648323
2001,South Atlantic,Natural Gas,0.079637373
2001,South Atlantic,Nuclear,0.264282078
2001,South Atlantic,Other,0.074178803
2001,South Atlantic,Renewable,0.029253422
2001,West North Central,Coal,0.769377955
2001,West North Central,Natural Gas,0.029370103
2001,West North Central,Nuclear,0.152998935
2001,West North Central,Other,0.007997462
2001,West North Central,Renewable,0.040255546
2001,West South Central,Coal,0.384512707
2001,West South Central,Natural Gas,0.446131396
2001,West South Central,Nuclear,0.124849539
2001,West South Central,Other,0.020606835
2001,West South Central,Renewable,0.023899524
2002,East North Central,Coal,0.696654471
2002,East North Central,Natural Gas,0.051106623
2002,East North Central,Nuclear,0.228021078
2002,East North Central,Other,0.009401056
2002,East North Central,Renewable,0.014816772
2002,East South Central,Coal,0.631471239
2002,East South Central,Natural Gas,0.095373198
2002,East South Central,Nuclear,0.190891493
2002,East South Central,Other,0.008997167
2002,East South Central,Renewable,0.073266904
2002,Middle Atlantic,Coal,0.36191471
2002,Middle Atlantic,Natural Gas,0.158418315
2002,Middle Atlantic,Nuclear,0.361474471
2002,Middle Atlantic,Other,0.039304434
2002,Middle Atlantic,Renewable,0.078888069
2002,Mountain,Coal,0.656231017
2002,Mountain,Natural Gas,0.139603657
2002,Mountain,Nuclear,0.097008798
2002,Mountain,Other,0.002929449
2002,Mountain,Renewable,0.10422708
2002,New England,Coal,0.153260176
2002,New England,Natural Gas,0.360104815
2002,New England,Nuclear,0.272995345
2002,New England,Other,0.103431811
2002,New England,Renewable,0.110207852
2002,Pacific,Coal,0.04791247
2002,Pacific,Natural Gas,0.300519014
2002,Pacific,Nuclear,0.123121186
2002,Pacific,Other,0.041027393
2002,Pacific,Renewable,0.487419937
2002,South Atlantic,Coal,0.542101727
2002,South Atlantic,Natural Gas,0.111488822
2002,South Atlantic,Nuclear,0.254519623
2002,South Atlantic,Other,0.056873214
2002,South Atlantic,Renewable,0.035016613
2002,West North Central,Coal,0.764255911
2002,West North Central,Natural Gas,0.027137344
2002,West North Central,Nuclear,0.155663514
2002,West North Central,Other,0.007154995
2002,West North Central,Renewable,0.045788235
2002,West South Central,Coal,0.379576706
2002,West South Central,Natural Gas,0.459633557
2002,West South Central,Nuclear,0.114883964
2002,West South Central,Other,0.018584017
2002,West South Central,Renewable,0.027321755
2003,East North Central,Coal,0.711970089
2003,East North Central,Natural Gas,0.035754094
2003,East North Central,Nuclear,0.226844129
2003,East North Central,Other,0.010552138
2003,East North Central,Renewable,0.01487955
2003,East South Central,Coal,0.643739506
2003,East South Central,Natural Gas,0.063035759
2003,East South Central,Nuclear,0.18455862
2003,East South Central,Other,0.013414599
2003,East South Central,Renewable,0.095251517
2003,Middle Atlantic,Coal,0.372155982
2003,Middle Atlantic,Natural Gas,0.120706036
2003,Middle Atlantic,Nuclear,0.36061805
2003,Middle Atlantic,Other,0.065816533
2003,Middle Atlantic,Renewable,0.080703399
2003,Mountain,Coal,0.662694392
2003,Mountain,Natural Gas,0.147543474
2003,Mountain,Nuclear,0.087864521
2003,Mountain,Other,0.006628299
2003,Mountain,Renewable,0.095269314
2003,New England,Coal,0.149035184
2003,New England,Natural Gas,0.357644895
2003,New England,Nuclear,0.26720741
2003,New England,Other,0.1167651
2003,New England,Renewable,0.10934741
2003,Pacific,Coal,0.05544744
2003,Pacific,Natural Gas,0.312149367
2003,Pacific,Nuclear,0.120302811
2003,Pacific,Other,0.037833849
2003,Pacific,Renewable,0.474266533
2003,South Atlantic,Coal,0.535799891
2003,South Atlantic,Natural Gas,0.10583973
2003,South Atlantic,Nuclear,0.246372501
2003,South Atlantic,Other,0.06754923
2003,South Atlantic,Renewable,0.044438648
2003,West North Central,Coal,0.78025863
2003,West North Central,Natural Gas,0.021863646
2003,West North Central,Nuclear,0.146293009
2003,West North Central,Other,0.008223332
2003,West North Central,Renewable,0.043361382
2003,West South Central,Coal,0.393187392
2003,West South Central,Natural Gas,0.443451508
2003,West South Central,Nuclear,0.109813414
2003,West South Central,Other,0.02714066
2003,West South Central,Renewable,0.026407027
2004,East North Central,Coal,0.701667896
2004,East North Central,Natural Gas,0.037365321
2004,East North Central,Nuclear,0.232528274
2004,East North Central,Other,0.013127034
2004,East North Central,Renewable,0.015311475
2004,East South Central,Coal,0.633778926
2004,East South Central,Natural Gas,0.076292461
2004,East South Central,Nuclear,0.188884794
2004,East South Central,Other,0.017029637
2004,East South Central,Renewable,0.084014182
2004,Middle Atlantic,Coal,0.368051154
2004,Middle Atlantic,Natural Gas,0.129912252
2004,Middle Atlantic,Nuclear,0.355394125
2004,Middle Atlantic,Other,0.067878162
2004,Middle Atlantic,Renewable,0.078764308
2004,Mountain,Coal,0.641882186
2004,Mountain,Natural Gas,0.17780652
2004,Mountain,Nuclear,0.081790982
2004,Mountain,Other,0.005899808
2004,Mountain,Renewable,0.092620504
2004,New England,Coal,0.143927161
2004,New England,Natural Gas,0.367729274
2004,New England,Nuclear,0.273470179
2004,New England,Other,0.107216071
2004,New England,Renewable,0.107657315
2004,Pacific,Coal,0.050388629
2004,Pacific,Natural Gas,0.343576533
2004,Pacific,Nuclear,0.107161749
2004,Pacific,Other,0.039243648
2004,Pacific,Renewable,0.45962944
2004,South Atlantic,Coal,0.522028903
2004,South Atlantic,Natural Gas,0.12366898
2004,South Atlantic,Nuclear,0.249637089
2004,South Atlantic,Other,0.065025548
2004,South Atlantic,Renewable,0.039639481
2004,West North Central,Coal,0.771431708
2004,West North Central,Natural Gas,0.0213617
2004,West North Central,Nuclear,0.155030991
2004,West North Central,Other,0.008733818
2004,West North Central,Renewable,0.043441782
2004,West South Central,Coal,0.385437329
2004,West South Central,Natural Gas,0.43797372
2004,West South Central,Nuclear,0.12138035
2004,West South Central,Other,0.023824924
2004,West South Central,Renewable,0.031383677
2005,East North Central,Coal,0.697800947
2005,East North Central,Natural Gas,0.050496675
2005,East North Central,Nuclear,0.226884446
2005,East North Central,Other,0.010895607
2005,East North Central,Renewable,0.013922325
2005,East South Central,Coal,0.642665218
2005,East South Central,Natural Gas,0.08311752
2005,East South Central,Nuclear,0.184082928
2005,East South Central,Other,0.014010816
2005,East South Central,Renewable,0.076123518
2005,Middle Atlantic,Coal,0.35992054
2005,Middle Atlantic,Natural Gas,0.136410762
2005,Middle Atlantic,Nuclear,0.352795173
2005,Middle Atlantic,Other,0.072762422
2005,Middle Atlantic,Renewable,0.078111104
2005,Mountain,Coal,0.634146791
2005,Mountain,Natural Gas,0.191911677
2005,Mountain,Nuclear,0.073959352
2005,Mountain,Other,0.0028344
2005,Mountain,Renewable,0.09714778
2005,New England,Coal,0.1500067
2005,New England,Natural Gas,0.370242104
2005,New England,Nuclear,0.253872983
2005,New England,Other,0.107836883
2005,New England,Renewable,0.11804133
2005,Pacific,Coal,0.049641171
2005,Pacific,Natural Gas,0.321483467
2005,Pacific,Nuclear,0.120095203
2005,Pacific,Other,0.043172702
2005,Pacific,Renewable,0.465607457
2005,South Atlantic,Coal,0.521305944
2005,South Atlantic,Natural Gas,0.138591885
2005,South Atlantic,Nuclear,0.238323358
2005,South Atlantic,Other,0.063162361
2005,South Atlantic,Renewable,0.038616453
2005,West North Central,Coal,0.76762632
2005,West North Central,Natural Gas,0.037110243
2005,West North Central,Nuclear,0.141636382
2005,West North Central,Other,0.00895397
2005,West North Central,Renewable,0.044673086
2005,West South Central,Coal,0.381039598
2005,West South Central,Natural Gas,0.456388554
2005,West South Central,Nuclear,0.111606015
2005,West South Central,Other,0.019676933
2005,West South Central,Renewable,0.031288899
2006,East North Central,Coal,0.699705548
2006,East North Central,Natural Gas,0.041542391
2006,East North Central,Nuclear,0.233394169
2006,East North Central,Other,0.01044784
2006,East North Central,Renewable,0.014910052
2006,East South Central,Coal,0.65269207
2006,East South Central,Natural Gas,0.097291511
2006,East South Central,Nuclear,0.176418179
2006,East South Central,Other,0.009655833
2006,East South Central,Renewable,0.063942406
2006,Middle Atlantic,Coal,0.36604084
2006,Middle Atlantic,Natural Gas,0.169150884
2006,Middle Atlantic,Nuclear,0.355850028
2006,Middle Atlantic,Other,0.023105796
2006,Middle Atlantic,Renewable,0.085852453
2006,Mountain,Coal,0.597826052
2006,Mountain,Natural Gas,0.218766133
2006,Mountain,Nuclear,0.068117902
2006,Mountain,Other,0.00307096
