"Year","Data_type","Source","Aeo_year","Aeo_case"
2019,"Electricity Generation","Coal",2020,"HOP"
2020,"Electricity Generation","Coal",2020,"HOP"
2021,"Electricity Generation","Coal",2020,"HOP"
2022,"Electricity Generation","Coal",2020,"HOP"
2023,"Electricity Generation","Coal",2020,"HOP"
2024,"Electricity Generation","Coal",2020,"HOP"
2025,"Electricity Generation","Coal",2020,"HOP"
2026,"Electricity Generation","Coal",2020,"HOP"
2027,"Electricity Generation","Coal",2020,"HOP"
2028,"Electricity Generation","Coal",2020,"HOP"
2029,"Electricity Generation","Coal",2020,"HOP"
2030,"Electricity Generation","Coal",2020,"HOP"
2031,"Electricity Generation","Coal",2020,"HOP"
2032,"Electricity Generation","Coal",2020,"HOP"
2033,"Electricity Generation","Coal",2020,"HOP"
2034,"Electricity Generation","Coal",2020,"HOP"
2035,"Electricity Generation","Coal",2020,"HOP"
2036,"Electricity Generation","Coal",2020,"HOP"
2037,"Electricity Generation","Coal",2020,"HOP"
2038,"Electricity Generation","Coal",2020,"HOP"
2039,"Electricity Generation","Coal",2020,"HOP"
2040,"Electricity Generation","Coal",2020,"HOP"
2041,"Electricity Generation","Coal",2020,"HOP"
2042,"Electricity Generation","Coal",2020,"HOP"
2043,"Electricity Generation","Coal",2020,"HOP"
2044,"Electricity Generation","Coal",2020,"HOP"
2045,"Electricity Generation","Coal",2020,"HOP"
2046,"Electricity Generation","Coal",2020,"HOP"
2047,"Electricity Generation","Coal",2020,"HOP"
2048,"Electricity Generation","Coal",2020,"HOP"
2049,"Electricity Generation","Coal",2020,"HOP"
2050,"Electricity Generation","Coal",2020,"HOP"
2019,"Electricity Generation","Distributed Generation",2020,"HOP"
2020,"Electricity Generation","Distributed Generation",2020,"HOP"
2021,"Electricity Generation","Distributed Generation",2020,"HOP"
2022,"Electricity Generation","Distributed Generation",2020,"HOP"
2023,"Electricity Generation","Distributed Generation",2020,"HOP"
2024,"Electricity Generation","Distributed Generation",2020,"HOP"
2025,"Electricity Generation","Distributed Generation",2020,"HOP"
2026,"Electricity Generation","Distributed Generation",2020,"HOP"
2027,"Electricity Generation","Distributed Generation",2020,"HOP"
2028,"Electricity Generation","Distributed Generation",2020,"HOP"
2029,"Electricity Generation","Distributed Generation",2020,"HOP"
2030,"Electricity Generation","Distributed Generation",2020,"HOP"
2031,"Electricity Generation","Distributed Generation",2020,"HOP"
