US,EV % of new car sales,Light truck,Car
2016,0.35,0,100
2017,0.95,0,100
2018,2.2,0,100
2019,2,0,100
2020,2,0,100
2021,3,2.5,97.5
2022,4,5,95
2023,5,10,90
2024,7,15,85
2025,9,20,80
2026,12,21,79
2027,16,22,78
2028,19,23,77
2029,23,24,76
2030,26,25,75
2031,30,26,74
2032,33,27,73
2033,37,28,72
2034,40,29,71
2035,44,30,70
2036,47,30,70
2037,51,31,69
2038,54,31,69
2039,57,32,68
2040,60,33,67
2041,63,34,66
2042,66,35,65
2043,69,36,64
2044,72,37,63
2045,75,38,62
2046,78,39,61
2047,81,40,60
2048,83,41,59
2049,85,42,58
2050,87,43,57
